2.16	 D0:13	 D1:160	 D2:72	 T:nan

2.13	 A0:20	 A1:146	 A2:60	 T:22.20
2.25	 B0:67	 B1:114	 B2:101	 T:nan
2.30	 C0:12	 C1:55	 C2:15	 T:22.60
2.23	 D0:13	 D1:160	 D2:72	 T:nan

2.21	 A0:21	 A1:146	 A2:60	 T:22.20
2.33	 B0:67	 B1:114	 B2:93	 T:nan
2.37	 C0:12	 C1:55	 C2:14	 T:22.60
2.31	 D0:12	 D1:160	 D2:72	 T:nan

2.29	 A0:21	 A1:146	 A2:60	 T:22.20
2.40	 B0:67	 B1:114	 B2:96	 T:nan
2.45	 C0:12	 C1:55	 C2:14	 T:22.60
2.38	 D0:13	 D1:160	 D2:72	 T:nan

2.36	 A0:20	 A1:146	 A2:60	 T:22.20
2.47	 B0:67	 B1:115	 B2:104	 T:nan
2.52	 C0:12	 C1:54	 C2:14	 T:22.60
2.45	 D0:13	 D1:160	 D2:72	 T:nan

2.44	 A0:20	 A1:146	 A2:60	 T:22.20
2.55	 B0:67	 B1:115	 B2:83	 T:nan
2.60	 C0:12	 C1:55	 C2:14	 T:22.60
2.53	 D0:13	 D1:160	 D2:72	 T:nan

2.52	 A0:20	 A1:146	 A2:60	 T:22.20
2.62	 B0:67	 B1:114	 B2:101	 T:nan
2.67	 C0:12	 C1:55	 C2:14	 T:22.60
2.60	 D0:13	 D1:160	 D2:72	 T:nan

2.59	 A0:20	 A1:146	 A2:60	 T:22.20
2.69	 B0:67	 B1:114	 B2:93	 T:nan
2.75	 C0:12	 C1:55	 C2:14	 T:22.60
2.67	 D0:13	 D1:160	 D2:72	 T:nan

2.67	 A0:20	 A1:146	 A2:60	 T:22.20
2.77	 B0:67	 B1:114	 B2:96	 T:nan
2.82	 C0:12	 C1:55	 C2:14	 T:22.60
2.74	 D0:12	 D1:160	 D2:72	 T:nan

2.75	 A0:21	 A1:146	 A2:60	 T:22.20
2.84	 B0:67	 B1:114	 B2:104	 T:nan
2.90	 C0:12	 C1:55	 C2:14	 T:22.60
2.82	 D0:13	 D1:160	 D2:72	 T:nan

2.83	 A0:20	 A1:146	 A2:60	 T:22.20
2.92	 B0:67	 B1:114	 B2:83	 T:nan
2.97	 C0:12	 C1:55	 C2:14	 T:22.60
2.89	 D0:13	 D1:160	 D2:73	 T:nan

2.90	 A0:20	 A1:146	 A2:60	 T:22.20
2.99	 B0:67	 B1:114	 B2:101	 T:nan
3.05	 C0:12	 C1:55	 C2:14	 T:22.60
2.96	 D0:13	 D1:159	 D2:73	 T:nan

2.98	 A0:21	 A1:146	 A2:60	 T:22.20
3.06	 B0:67	 B1:114	 B2:93	 T:nan
3.12	 C0:12	 C1:55	 C2:14	 T:22.60
3.03	 D0:13	 D1:160	 D2:72	 T:nan

3.06	 A0:20	 A1:146	 A2:60	 T:22.20
3.14	 B0:67	 B1:115	 B2:97	 T:nan
3.20	 C0:12	 C1:55	 C2:14	 T:22.60
3.11	 D0:13	 D1:159	 D2:72	 T:nan

3.13	 A0:20	 A1:146	 A2:60	 T:22.20
3.21	 B0:67	 B1:115	 B2:104	 T:nan
3.27	 C0:12	 C1:55	 C2:14	 T:22.60
3.18	 D0:13	 D1:159	 D2:72	 T:nan

3.21	 A0:21	 A1:146	 A2:59	 T:22.20
3.28	 B0:67	 B1:114	 B2:84	 T:nan
3.35	 C0:12	 C1:55	 C2:14	 T:22.60
3.25	 D0:13	 D1:160	 D2:72	 T:nan

3.29	 A0:20	 A1:146	 A2:60	 T:22.20
3.36	 B0:67	 B1:114	 B2:102	 T:nan
3.42	 C0:12	 C1:55	 C2:14	 T:22.60
3.33	 D0:13	 D1:160	 D2:73	 T:nan

3.36	 A0:21	 A1:146	 A2:60	 T:22.20
3.43	 B0:67	 B1:114	 B2:94	 T:nan
3.50	 C0:12	 C1:55	 C2:14	 T:22.60
3.40	 D0:13	 D1:160	 D2:73	 T:nan

3.44	 A0:21	 A1:146	 A2:60	 T:22.20
3.50	 B0:67	 B1:114	 B2:97	 T:nan
3.57	 C0:12	 C1:55	 C2:14	 T:22.60
3.47	 D0:13	 D1:160	 D2:72	 T:nan

3.52	 A0:20	 A1:146	 A2:60	 T:22.20
3.58	 B0:67	 B1:114	 B2:104	 T:nan
3.65	 C0:12	 C1:55	 C2:14	 T:22.60
3.54	 D0:13	 D1:160	 D2:73	 T:nan

3.60	 A0:20	 A1:146	 A2:60	 T:22.20
3.65	 B0:67	 B1:115	 B2:83	 T:nan
3.72	 C0:12	 C1:55	 C2:14	 T:22.60
3.62	 D0:13	 D1:160	 D2:72	 T:nan

3.67	 A0:21	 A1:146	 A2:60	 T:22.20
3.72	 B0:67	 B1:114	 B2:102	 T:nan
3.80	 C0:12	 C1:55	 C2:14	 T:22.60
3.69	 D0:13	 D1:160	 D2:72	 T:nan

3.75	 A0:21	 A1:146	 A2:60	 T:22.20
3.80	 B0:67	 B1:114	 B2:94	 T:nan
3.87	 C0:12	 C1:55	 C2:14	 T:22.60
3.76	 D0:13	 D1:160	 D2:72	 T:nan

3.83	 A0:21	 A1:146	 A2:59	 T:22.20
3.87	 B0:67	 B1:114	 B2:97	 T:nan
3.95	 C0:12	 C1:55	 C2:14	 T:22.60
3.83	 D0:13	 D1:159	 D2:72	 T:nan

3.90	 A0:21	 A1:146	 A2:60	 T:22.20
3.95	 B0:67	 B1:115	 B2:104	 T:nan
4.02	 C0:12	 C1:55	 C2:14	 T:22.60
3.91	 D0:13	 D1:160	 D2:72	 T:nan

3.98	 A0:21	 A1:146	 A2:60	 T:22.20
4.02	 B0:67	 B1:114	 B2:84	 T:nan
4.09	 C0:12	 C1:55	 C2:14	 T:22.60
3.98	 D0:13	 D1:159	 D2:73	 T:nan

4.06	 A0:21	 A1:146	 A2:60	 T:22.20
4.09	 B0:67	 B1:114	 B2:103	 T:nan
4.17	 C0:12	 C1:55	 C2:14	 T:22.60
4.07	 D0:13	 D1:160	 D2:72	 T:nan

4.13	 A0:21	 A1:146	 A2:60	 T:22.20
4.17	 B0:67	 B1:114	 B2:91	 T:nan
4.25	 C0:12	 C1:54	 C2:14	 T:22.60
4.13	 D0:13	 D1:160	 D2:72	 T:nan

4.21	 A0:21	 A1:146	 A2:60	 T:22.20
4.24	 B0:67	 B1:115	 B2:100	 T:nan
4.32	 C0:12	 C1:55	 C2:14	 T:22.60
4.20	 D0:12	 D1:160	 D2:73	 T:nan

4.29	 A0:21	 A1:146	 A2:59	 T:22.20
4.32	 B0:67	 B1:115	 B2:82	 T:nan
4.40	 C0:12	 C1:55	 C2:14	 T:22.60
4.27	 D0:13	 D1:160	 D2:72	 T:nan

4.36	 A0:21	 A1:146	 A2:60	 T:22.20
4.39	 B0:67	 B1:114	 B2:101	 T:nan
4.47	 C0:12	 C1:55	 C2:14	 T:22.60
4.34	 D0:13	 D1:160	 D2:73	 T:nan

4.44	 A0:21	 A1:146	 A2:59	 T:22.20
4.46	 B0:67	 B1:114	 B2:95	 T:nan
4.54	 C0:12	 C1:54	 C2:14	 T:22.60
4.42	 D0:13	 D1:160	 D2:72	 T:nan

4.52	 A0:21	 A1:146	 A2:59	 T:22.20
