0.13	 A0:22	 A1:212	 A2:60	 T:23.00
0.00	 B0:76	 B1:178	 B2:81	 T:nan
0.13	 C0:11	 C1:57	 C2:14	 T:23.00
0.05	 D0:16	 D1:248	 D2:84	 T:22.60

0.21	 A0:22	 A1:212	 A2:61	 T:23.00
0.04	 B0:75	 B1:178	 B2:81	 T:nan
0.20	 C0:11	 C1:57	 C2:14	 T:23.00
0.10	 D0:16	 D1:248	 D2:84	 T:22.60

0.29	 A0:22	 A1:212	 A2:61	 T:23.00
0.09	 B0:75	 B1:178	 B2:81	 T:nan
0.28	 C0:11	 C1:57	 C2:15	 T:23.00
0.17	 D0:16	 D1:248	 D2:84	 T:22.60

0.36	 A0:22	 A1:212	 A2:60	 T:23.00
0.16	 B0:76	 B1:178	 B2:81	 T:nan
0.35	 C0:11	 C1:57	 C2:15	 T:23.00
0.25	 D0:16	 D1:248	 D2:84	 T:22.60

0.44	 A0:22	 A1:212	 A2:60	 T:23.00
0.23	 B0:75	 B1:178	 B2:81	 T:nan
0.43	 C0:11	 C1:57	 C2:15	 T:23.00
0.32	 D0:16	 D1:248	 D2:84	 T:22.60

0.52	 A0:22	 A1:212	 A2:61	 T:23.00
0.30	 B0:75	 B1:178	 B2:81	 T:nan
0.50	 C0:11	 C1:57	 C2:15	 T:23.00
0.40	 D0:16	 D1:248	 D2:84	 T:22.60

0.59	 A0:22	 A1:212	 A2:61	 T:23.00
0.38	 B0:76	 B1:178	 B2:81	 T:nan
0.58	 C0:11	 C1:57	 C2:14	 T:23.00
0.48	 D0:16	 D1:248	 D2:84	 T:22.60

0.67	 A0:22	 A1:212	 A2:61	 T:23.00
0.45	 B0:76	 B1:178	 B2:81	 T:nan
0.65	 C0:11	 C1:56	 C2:15	 T:23.00
0.56	 D0:16	 D1:248	 D2:84	 T:22.60

0.75	 A0:22	 A1:212	 A2:61	 T:23.00
0.52	 B0:75	 B1:178	 B2:81	 T:nan
0.73	 C0:11	 C1:57	 C2:14	 T:23.00
0.63	 D0:16	 D1:248	 D2:84	 T:22.60

0.83	 A0:22	 A1:212	 A2:60	 T:23.00
0.60	 B0:75	 B1:178	 B2:81	 T:nan
0.80	 C0:11	 C1:57	 C2:15	 T:23.00
0.71	 D0:16	 D1:248	 D2:84	 T:22.60

0.90	 A0:22	 A1:212	 A2:60	 T:23.00
0.67	 B0:75	 B1:178	 B2:81	 T:nan
0.88	 C0:11	 C1:57	 C2:14	 T:23.00
0.79	 D0:16	 D1:248	 D2:84	 T:22.60

0.98	 A0:22	 A1:212	 A2:60	 T:23.00
0.74	 B0:76	 B1:178	 B2:81	 T:nan
0.95	 C0:11	 C1:57	 C2:15	 T:23.00
0.86	 D0:16	 D1:248	 D2:84	 T:22.60

1.06	 A0:22	 A1:212	 A2:61	 T:23.00
0.81	 B0:75	 B1:178	 B2:81	 T:nan
1.03	 C0:11	 C1:57	 C2:14	 T:23.00
0.94	 D0:16	 D1:248	 D2:84	 T:22.60

1.13	 A0:22	 A1:212	 A2:61	 T:23.00
0.89	 B0:76	 B1:178	 B2:81	 T:nan
1.10	 C0:11	 C1:57	 C2:14	 T:23.00
1.02	 D0:16	 D1:248	 D2:84	 T:22.60

1.21	 A0:22	 A1:212	 A2:61	 T:23.00
0.96	 B0:75	 B1:178	 B2:81	 T:nan
1.18	 C0:11	 C1:57	 C2:15	 T:23.00
1.10	 D0:16	 D1:248	 D2:84	 T:22.60

1.29	 A0:22	 A1:212	 A2:60	 T:23.00
1.03	 B0:75	 B1:178	 B2:81	 T:nan
1.25	 C0:11	 C1:56	 C2:15	 T:23.00
1.17	 D0:16	 D1:248	 D2:84	 T:22.60

1.36	 A0:22	 A1:212	 A2:61	 T:23.00
1.11	 B0:76	 B1:178	 B2:81	 T:nan
1.33	 C0:11	 C1:56	 C2:14	 T:23.00
1.25	 D0:16	 D1:248	 D2:84	 T:22.60

1.44	 A0:22	 A1:212	 A2:60	 T:23.00
1.18	 B0:76	 B1:178	 B2:81	 T:nan
1.40	 C0:11	 C1:57	 C2:15	 T:23.00
1.33	 D0:16	 D1:248	 D2:84	 T:22.60

1.52	 A0:22	 A1:212	 A2:60	 T:23.00
1.25	 B0:75	 B1:178	 B2:81	 T:nan
1.48	 C0:11	 C1:57	 C2:15	 T:23.00
1.40	 D0:16	 D1:248	 D2:84	 T:22.60

1.60	 A0:22	 A1:212	 A2:61	 T:23.00
1.32	 B0:75	 B1:178	 B2:81	 T:nan
1.55	 C0:12	 C1:57	 C2:14	 T:23.00
1.48	 D0:16	 D1:248	 D2:84	 T:22.60

1.67	 A0:22	 A1:212	 A2:61	 T:23.00
1.40	 B0:75	 B1:178	 B2:81	 T:nan
1.63	 C0:11	 C1:57	 C2:15	 T:23.00
1.56	 D0:16	 D1:248	 D2:84	 T:22.60

1.75	 A0:22	 A1:212	 A2:61	 T:23.00
1.47	 B0:76	 B1:178	 B2:81	 T:nan
1.70	 C0:11	 C1:57	 C2:15	 T:23.00
1.63	 D0:16	 D1:248	 D2:84	 T:22.60

1.83	 A0:22	 A1:212	 A2:61	 T:23.00
1.54	 B0:75	 B1:178	 B2:81	 T:nan
1.77	 C0:12	 C1:57	 C2:15	 T:23.00
1.71	 D0:16	 D1:248	 D2:84	 T:22.60

1.90	 A0:22	 A1:212	 A2:61	 T:23.00
1.61	 B0:76	 B1:178	 B2:81	 T:nan
1.85	 C0:11	 C1:56	 C2:14	 T:23.00
1.79	 D0:16	 D1:248	 D2:84	 T:22.60

1.98	 A0:22	 A1:212	 A2:61	 T:23.00
1.69	 B0:76	 B1:178	 B2:81	 T:nan
1.92	 C0:11	 C1:57	 C2:15	 T:23.00
1.86	 D0:16	 D1:248	 D2:84	 T:22.60

2.06	 A0:22	 A1:212	 A2:61	 T:23.00
1.76	 B0:76	 B1:178	 B2:81	 T:nan
2.00	 C0:11	 C1:57	 C2:15	 T:23.00
1.94	 D0:16	 D1:248	 D2:84	 T:22.60

2.13	 A0:22	 A1:212	 A2:60	 T:23.00
1.83	 B0:76	 B1:178	 B2:81	 T:nan
2.07	 C0:11	 C1:57	 C2:15	 T:23.00
2.03	 D0:16	 D1:248	 D2:85	 T:22.60

2.21	 A0:22	 A1:212	 A2:61	 T:23.00
1.91	 B0:75	 B1:178	 B2:81	 T:nan
2.15	 C0:11	 C1:57	 C2:15	 T:23.00
2.10	 D0:16	 D1:248	 D2:84	 T:22.60

2.29	 A0:22	 A1:212	 A2:61	 T:23.00
1.98	 B0:76	 B1:178	 B2:81	 T:nan
2.23	 C0:11	 C1:57	 C2:14	 T:23.00
2.17	 D0:16	 D1:248	 D2:84	 T:22.60

2.36	 A0:22	 A1:212	 A2:61	 T:23.00
2.07	 B0:76	 B1:178	 B2:81	 T:nan
2.30	 C0:12	 C1:57	 C2:15	 T:23.00
2.25	 D0:16	 D1:248	 D2:84	 T:22.60

2.44	 A0:22	 A1:212	 A2:60	 T:23.00
2.12	 B0:76	 B1:178	 B2:81	 T:nan
2.37	 C0:11	 C1:57	 C2:15	 T:23.00
2.33	 D0:16	 D1:248	 D2:84	 T:22.60

2.52	 A0:22	 A1:212	 A2:61	 T:23.00
2.20	 B0:76	 B1:178	 B2:81	 T:nan
2.45	 C0:11	 C1:57	 C2:14	 T:23.00
2.40	 D0:16	 D1:248	 D2:84	 T:22.60

2.59	 A0:22	 A1:212	 A2:60	 T:23.00
2.27	 B0:76	 B1:178	 B2:81	 T:nan
2.52	 C0:12	 C1:57	 C2:14	 T:23.00
2.48	 D0:16	 D1:248	 D2:84	 T:22.60

2.67	 A0:22	 A1:212	 A2:61	 T:23.00
2.34	 B0:76	 B1:178	 B2:81	 T:nan
2.60	 C0:11	 C1:57	 C2:15	 T:23.00
2.56	 D0:16	 D1:248	 D2:84	 T:22.60

2.75	 A0:22	 A1:212	 A2:60	 T:23.00
2.42	 B0:76	 B1:178	 B2:81	 T:nan
2.67	 C0:11	 C1:57	 C2:14	 T:23.00
2.63	 D0:16	 D1:248	 D2:84	 T:22.60

2.83	 A0:22	 A1:212	 A2:61	 T:23.00
2.49	 B0:76	 B1:178	 B2:81	 T:nan
2.75	 C0:12	 C1:57	 C2:14	 T:23.00
2.71	 D0:16	 D1:248	 D2:84	 T:22.60

2.90	 A0:22	 A1:212	 A2:61	 T:23.00
2.56	 B0:76	 B1:178	 B2:81	 T:nan
2.82	 C0:11	 C1:57	 C2:15	 T:23.00
2.79	 D0:16	 D1:247	 D2:84	 T:22.60

2.98	 A0:22	 A1:212	 A2:61	 T:23.00
2.63	 B0:76	 B1:178	 B2:81	 T:nan
2.90	 C0:11	 C1:56	 C2:14	 T:23.00
2.86	 D0:16	 D1:248	 D2:84	 T:22.60

3.06	 A0:22	 A1:212	 A2:61	 T:23.00
2.71	 B0:76	 B1:178	 B2:81	 T:nan
2.97	 C0:11	 C1:57	 C2:15	 T:23.00
2.94	 D0:16	 D1:248	 D2:84	 T:22.60

3.13	 A0:22	 A1:212	 A2:60	 T:23.00
2.78	 B0:76	 B1:178	 B2:81	 T:nan
3.05	 C0:11	 C1:56	 C2:14	 T:23.00
3.02	 D0:16	 D1:248	 D2:84	 T:22.60

3.21	 A0:22	 A1:212	 A2:61	 T:23.00
2.85	 B0:76	 B1:178	 B2:81	 T:nan
3.12	 C0:11	 C1:57	 C2:15	 T:23.00
3.10	 D0:16	 D1:248	 D2:84	 T:22.60

3.29	 A0:22	 A1:212	 A2:60	 T:23.00
2.93	 B0:76	 B1:178	 B2:81	 T:nan
3.20	 C0:11	 C1:57	 C2:14	 T:23.00
3.17	 D0:16	 D1:248	 D2:84	 T:22.60

3.36	 A0:22	 A1:212	 A2:60	 T:23.00
3.00	 B0:76	 B1:178	 B2:81	 T:nan
3.27	 C0:12	 C1:57	 C2:15	 T:23.00
3.25	 D0:15	 D1:248	 D2:84	 T:22.60

3.44	 A0:22	 A1:212	 A2:60	 T:23.00
3.07	 B0:76	 B1:178	 B2:81	 T:nan
3.35	 C0:12	 C1:57	 C2:15	 T:23.00
3.33	 D0:16	 D1:248	 D2:84	 T:22.60

3.52	 A0:23	 A1:212	 A2:60	 T:23.00
3.14	 B0:76	 B1:178	 B2:81	 T:nan
3.42	 C0:12	 C1:57	 C2:14	 T:23.00
3.40	 D0:16	 D1:248	 D2:84	 T:22.60

3.60	 A0:22	 A1:212	 A2:60	 T:23.00
3.22	 B0:76	 B1:178	 B2:81	 T:nan
3.50	 C0:11	 C1:57	 C2:14	 T:23.00
3.48	 D0:16	 D1:248	 D2:84	 T:22.60

3.67	 A0:22	 A1:212	 A2:61	 T:23.00
3.29	 B0:75	 B1:178	 B2:81	 T:nan
3.57	 C0:12	 C1:56	 C2:14	 T:23.00
3.56	 D0:16	 D1:247	 D2:84	 T:22.60

3.75	 A0:22	 A1:212	 A2:60	 T:23.00
3.36	 B0:75	 B1:178	 B2:81	 T:nan
3.65	 C0:11	 C1:57	 C2:15	 T:23.00
3.63	 D0:16	 D1:248	 D2:84	 T:22.60

3.83	 A0:22	 A1:212	 A2:61	 T:23.00
3.43	 B0:76	 B1:178	 B2:81	 T:nan
3.72	 C0:11	 C1:57	 C2:14	 T:23.00
3.71	 D0:15	 D1:248	 D2:84	 T:22.60

3.90	 A0:22	 A1:212	 A2:61	 T:23.00
3.51	 B0:76	 B1:178	 B2:81	 T:nan
3.80	 C0:12	 C1:57	 C2:14	 T:23.00
3.79	 D0:16	 D1:248	 D2:84	 T:22.60

3.98	 A0:22	 A1:212	 A2:61	 T:23.00
3.58	 B0:76	 B1:178	 B2:81	 T:nan
3.87	 C0:11	 C1:57	 C2:15	 T:23.00
3.86	 D0:16	 D1:248	 D2:84	 T:22.60

4.06	 A0:22	 A1:212	 A2:61	 T:23.00
3.65	 B0:76	 B1:178	 B2:81	 T:nan
3.95	 C0:12	 C1:56	 C2:14	 T:23.00
3.94	 D0:15	 D1:248	 D2:84	 T:22.60

4.13	 A0:22	 A1:212	 A2:61	 T:23.00
3.73	 B0:76	 B1:178	 B2:81	 T:nan
4.02	 C0:11	 C1:56	 C2:15	 T:23.00
4.03	 D0:16	 D1:248	 D2:84	 T:22.60

4.21	 A0:22	 A1:212	 A2:60	 T:23.00
3.80	 B0:75	 B1:178	 B2:81	 T:nan
4.10	 C0:11	 C1:56	 C2:14	 T:23.00
4.09	 D0:16	 D1:248	 D2:84	 T:22.60

4.29	 A0:22	 A1:212	 A2:61	 T:23.00
3.87	 B0:75	 B1:178	 B2:81	 T:nan
4.17	 C0:11	 C1:57	 C2:15	 T:23.00
4.17	 D0:16	 D1:248	 D2:84	 T:22.60

4.36	 A0:22	 A1:212	 A2:61	 T:23.00
3.94	 B0:76	 B1:178	 B2:81	 T:nan
4.25	 C0:11	 C1:57	 C2:15	 T:23.00
4.25	 D0:16	 D1:248	 D2:84	 T:22.60

4.44	 A0:22	 A1:213	 A2:61	 T:23.00
4.02	 B0:76	 B1:178	 B2:81	 T:nan
4.32	 C0:12	 C1:57	 C2:15	 T:23.00
4.32	 D0:16	 D1:248	 D2:84	 T:22.60

4.52	 A0:22	 A1:212	 A2:61	 T:23.00
4.09	 B0:76	 B1:178	 B2:81	 T:nan
4.40	 C0:11	 C1:57	 C2:15	 T:23.00
4.40	 D0:16	 D1:247	 D2:84	 T:22.60

4.60	 A0:22	 A1:212	 A2:61	 T:23.00
4.16	 B0:75	 B1:178	 B2:81	 T:nan
4.47	 C0:11	 C1:57	 C2:14	 T:23.00
4.48	 D0:16	 D1:248	 D2:84	 T:22.60

4.67	 A0:22	 A1:212	 A2:61	 T:23.00
4.23	 B0:75	 B1:178	 B2:81	 T:nan
4.55	 C0:11	 C1:57	 C2:15	 T:23.00
4.56	 D0:16	 D1:247	 D2:84	 T:22.60

4.75	 A0:22	 A1:212	 A2:60	 T:23.00
4.31	 B0:76	 B1:178	 B2:81	 T:nan
4.62	 C0:11	 C1:56	 C2:15	 T:23.00
4.63	 D0:16	 D1:247	 D2:84	 T:22.60

4.83	 A0:22	 A1:212	 A2:60	 T:23.00
4.38	 B0:76	 B1:178	 B2:81	 T:nan
4.70	 C0:11	 C1:57	 C2:15	 T:23.00
4.71	 D0:16	 D1:248	 D2:84	 T:22.60

4.90	 A0:22	 A1:212	 A2:60	 T:23.00
4.45	 B0:76	 B1:178	 B2:81	 T:nan
4.77	 C0:11	 C1:56	 C2:15	 T:23.00
4.79	 D0:16	 D1:247	 D2:84	 T:22.60

4.98	 A0:22	 A1:212	 A2:61	 T:23.00
4.53	 B0:76	 B1:178	 B2:81	 T:nan
4.84	 C0:11	 C1:57	 C2:15	 T:23.00
4.86	 D0:16	 D1:248	 D2:84	 T:22.60

5.06	 A0:22	 A1:212	 A2:61	 T:23.00
4.60	 B0:76	 B1:178	 B2:81	 T:nan
4.92	 C0:11	 C1:56	 C2:14	 T:23.00
4.94	 D0:16	 D1:247	 D2:84	 T:22.60

5.14	 A0:22	 A1:212	 A2:60	 T:23.00
4.67	 B0:76	 B1:178	 B2:81	 T:nan
4.99	 C0:11	 C1:57	 C2:15	 T:23.00
5.02	 D0:16	 D1:248	 D2:84	 T:22.60

5.21	 A0:22	 A1:212	 A2:61	 T:23.00
4.74	 B0:76	 B1:178	 B2:81	 T:nan
5.07	 C0:11	 C1:57	 C2:15	 T:23.00
5.09	 D0:16	 D1:248	 D2:84	 T:22.60

5.29	 A0:22	 A1:212	 A2:60	 T:23.00
4.82	 B0:76	 B1:178	 B2:81	 T:nan
5.14	 C0:12	 C1:57	 C2:15	 T:23.00
5.17	 D0:16	 D1:248	 D2:84	 T:22.60

5.36	 A0:22	 A1:212	 A2:61	 T:23.00
4.89	 B0:75	 B1:178	 B2:81	 T:nan
5.22	 C0:12	 C1:57	 C2:14	 T:23.00
5.25	 D0:16	 D1:248	 D2:84	 T:22.60

5.44	 A0:22	 A1:212	 A2:60	 T:23.00
4.96	 B0:76	 B1:178	 B2:81	 T:nan
5.29	 C0:12	 C1:57	 C2:15	 T:23.00
5.32	 D0:16	 D1:248	 D2:84	 T:22.60

5.52	 A0:22	 A1:212	 A2:60	 T:23.00
5.03	 B0:76	 B1:178	 B2:81	 T:nan
5.37	 C0:11	 C1:57	 C2:14	 T:23.00
5.40	 D0:16	 D1:247	 D2:84	 T:22.60

5.60	 A0:22	 A1:212	 A2:60	 T:23.00
