0.05	 A0:42	 A1:283	 A2:107	 T:22.20
0.10	 B0:62	 B1:102	 B2:30	 T:22.20
0.19	 C0:7	 C1:49	 C2:40	 T:21.90
0.19	 D0:21	 D1:297	 D2:97	 T:nan

0.10	 A0:42	 A1:283	 A2:107	 T:22.20
0.17	 B0:62	 B1:102	 B2:30	 T:22.20
0.27	 C0:6	 C1:49	 C2:40	 T:21.90
0.27	 D0:21	 D1:297	 D2:97	 T:nan

0.18	 A0:43	 A1:283	 A2:107	 T:22.20
0.25	 B0:62	 B1:102	 B2:30	 T:22.20
0.34	 C0:7	 C1:50	 C2:40	 T:21.90
0.34	 D0:21	 D1:297	 D2:97	 T:nan

0.26	 A0:42	 A1:283	 A2:106	 T:22.20
0.32	 B0:62	 B1:102	 B2:30	 T:22.20
0.41	 C0:7	 C1:50	 C2:40	 T:21.90
0.41	 D0:21	 D1:297	 D2:97	 T:nan

0.34	 A0:42	 A1:283	 A2:107	 T:22.20
0.40	 B0:62	 B1:102	 B2:31	 T:22.20
0.49	 C0:7	 C1:50	 C2:40	 T:21.90
0.49	 D0:21	 D1:297	 D2:97	 T:nan

0.41	 A0:42	 A1:283	 A2:106	 T:22.20
0.48	 B0:62	 B1:102	 B2:30	 T:22.20
0.56	 C0:7	 C1:50	 C2:40	 T:21.90
0.56	 D0:21	 D1:297	 D2:97	 T:nan

0.49	 A0:42	 A1:283	 A2:107	 T:22.20
0.56	 B0:62	 B1:102	 B2:30	 T:22.20
0.63	 C0:6	 C1:50	 C2:40	 T:21.90
0.63	 D0:21	 D1:297	 D2:98	 T:nan

0.57	 A0:42	 A1:283	 A2:107	 T:22.20
0.63	 B0:62	 B1:102	 B2:30	 T:22.20
0.70	 C0:7	 C1:50	 C2:40	 T:21.90
0.70	 D0:21	 D1:297	 D2:98	 T:nan

0.65	 A0:42	 A1:283	 A2:106	 T:22.20
0.71	 B0:62	 B1:102	 B2:31	 T:22.20
0.78	 C0:7	 C1:50	 C2:40	 T:21.90
0.78	 D0:21	 D1:297	 D2:97	 T:nan

0.73	 A0:42	 A1:283	 A2:107	 T:22.20
0.79	 B0:62	 B1:102	 B2:30	 T:22.20
0.85	 C0:6	 C1:50	 C2:39	 T:21.90
0.85	 D0:21	 D1:297	 D2:97	 T:nan

0.81	 A0:42	 A1:283	 A2:107	 T:22.20
0.86	 B0:62	 B1:102	 B2:30	 T:22.20
0.92	 C0:7	 C1:49	 C2:40	 T:21.90
0.92	 D0:21	 D1:297	 D2:97	 T:nan

0.89	 A0:42	 A1:283	 A2:107	 T:22.20
0.94	 B0:62	 B1:102	 B2:31	 T:22.20
1.00	 C0:6	 C1:49	 C2:40	 T:21.90
1.00	 D0:21	 D1:297	 D2:98	 T:nan

0.97	 A0:42	 A1:283	 A2:107	 T:22.20
1.02	 B0:62	 B1:102	 B2:30	 T:22.20
1.07	 C0:7	 C1:50	 C2:39	 T:21.90
1.07	 D0:20	 D1:297	 D2:97	 T:nan

1.05	 A0:42	 A1:283	 A2:107	 T:22.20
1.10	 B0:62	 B1:102	 B2:30	 T:22.20
1.14	 C0:7	 C1:49	 C2:39	 T:21.90
1.14	 D0:21	 D1:297	 D2:97	 T:nan

1.13	 A0:42	 A1:283	 A2:107	 T:22.20
1.17	 B0:62	 B1:102	 B2:30	 T:22.20
1.22	 C0:6	 C1:50	 C2:40	 T:21.90
1.21	 D0:21	 D1:297	 D2:97	 T:nan

1.21	 A0:42	 A1:283	 A2:107	 T:22.20
1.25	 B0:62	 B1:102	 B2:30	 T:22.20
1.29	 C0:7	 C1:50	 C2:40	 T:21.90
1.29	 D0:21	 D1:297	 D2:97	 T:nan

1.28	 A0:42	 A1:283	 A2:106	 T:22.20
1.33	 B0:62	 B1:102	 B2:30	 T:22.20
1.36	 C0:7	 C1:49	 C2:39	 T:21.90
1.36	 D0:21	 D1:297	 D2:98	 T:nan

1.36	 A0:42	 A1:283	 A2:107	 T:22.20
1.40	 B0:62	 B1:102	 B2:31	 T:22.20
1.43	 C0:7	 C1:50	 C2:40	 T:21.90
1.43	 D0:21	 D1:297	 D2:97	 T:nan

1.44	 A0:42	 A1:283	 A2:107	 T:22.20
1.48	 B0:62	 B1:102	 B2:30	 T:22.20
1.51	 C0:7	 C1:49	 C2:40	 T:21.90
1.51	 D0:21	 D1:297	 D2:97	 T:nan

1.52	 A0:42	 A1:283	 A2:107	 T:22.20
1.56	 B0:62	 B1:102	 B2:30	 T:22.20
1.58	 C0:7	 C1:50	 C2:39	 T:21.90
1.58	 D0:21	 D1:297	 D2:98	 T:nan

1.60	 A0:42	 A1:283	 A2:107	 T:22.20
1.63	 B0:62	 B1:102	 B2:30	 T:22.20
1.65	 C0:6	 C1:50	 C2:40	 T:21.90
1.65	 D0:21	 D1:297	 D2:97	 T:nan

1.68	 A0:42	 A1:283	 A2:107	 T:22.20
1.71	 B0:62	 B1:102	 B2:31	 T:22.20
1.72	 C0:7	 C1:49	 C2:40	 T:21.90
1.72	 D0:21	 D1:297	 D2:97	 T:nan

1.76	 A0:42	 A1:284	 A2:107	 T:22.20
1.79	 B0:61	 B1:102	 B2:30	 T:22.20
1.80	 C0:7	 C1:49	 C2:39	 T:21.90
1.80	 D0:21	 D1:297	 D2:97	 T:nan

1.84	 A0:42	 A1:283	 A2:107	 T:22.20
1.86	 B0:61	 B1:102	 B2:30	 T:22.20
1.87	 C0:6	 C1:50	 C2:40	 T:21.90
1.87	 D0:21	 D1:297	 D2:98	 T:nan

1.92	 A0:42	 A1:283	 A2:107	 T:22.20
1.94	 B0:62	 B1:102	 B2:30	 T:22.20
1.94	 C0:7	 C1:50	 C2:40	 T:21.90
1.94	 D0:20	 D1:297	 D2:98	 T:nan

2.00	 A0:42	 A1:283	 A2:107	 T:22.20
2.03	 B0:61	 B1:102	 B2:30	 T:22.20
2.02	 C0:7	 C1:50	 C2:40	 T:22.20
2.02	 D0:21	 D1:297	 D2:98	 T:nan

2.07	 A0:42	 A1:283	 A2:107	 T:22.20
2.10	 B0:61	 B1:102	 B2:30	 T:22.20
2.09	 C0:6	 C1:50	 C2:40	 T:22.20
2.09	 D0:21	 D1:297	 D2:98	 T:nan

2.15	 A0:42	 A1:283	 A2:107	 T:22.20
2.17	 B0:62	 B1:102	 B2:30	 T:22.20
2.16	 C0:7	 C1:49	 C2:39	 T:22.20
2.16	 D0:21	 D1:297	 D2:98	 T:nan

2.23	 A0:42	 A1:283	 A2:107	 T:22.20
2.25	 B0:62	 B1:102	 B2:30	 T:22.20
2.23	 C0:6	 C1:49	 C2:39	 T:22.20
2.23	 D0:21	 D1:297	 D2:98	 T:nan

2.31	 A0:42	 A1:283	 A2:107	 T:22.20
2.33	 B0:61	 B1:102	 B2:30	 T:22.20
2.31	 C0:6	 C1:50	 C2:40	 T:22.20
2.31	 D0:21	 D1:297	 D2:98	 T:nan

2.39	 A0:42	 A1:283	 A2:107	 T:22.20
2.40	 B0:61	 B1:102	 B2:30	 T:22.20
2.38	 C0:7	 C1:49	 C2:40	 T:22.20
2.38	 D0:21	 D1:297	 D2:98	 T:nan

2.47	 A0:42	 A1:283	 A2:106	 T:22.20
2.48	 B0:61	 B1:102	 B2:30	 T:22.20
2.45	 C0:6	 C1:50	 C2:40	 T:22.20
2.45	 D0:21	 D1:297	 D2:97	 T:nan

2.55	 A0:42	 A1:283	 A2:107	 T:22.20
2.56	 B0:61	 B1:102	 B2:30	 T:22.20
2.52	 C0:7	 C1:50	 C2:40	 T:22.20
2.53	 D0:21	 D1:297	 D2:98	 T:nan

2.63	 A0:42	 A1:283	 A2:107	 T:22.20
2.63	 B0:61	 B1:102	 B2:30	 T:22.20
2.60	 C0:6	 C1:50	 C2:40	 T:22.20
2.60	 D0:21	 D1:297	 D2:98	 T:nan

2.71	 A0:42	 A1:283	 A2:107	 T:22.20
2.71	 B0:61	 B1:102	 B2:30	 T:22.20
2.67	 C0:6	 C1:50	 C2:39	 T:22.20
2.67	 D0:21	 D1:297	 D2:98	 T:nan

2.79	 A0:42	 A1:283	 A2:107	 T:22.20
2.79	 B0:61	 B1:102	 B2:30	 T:22.20
2.74	 C0:6	 C1:49	 C2:40	 T:22.20
2.74	 D0:21	 D1:297	 D2:98	 T:nan

2.87	 A0:42	 A1:283	 A2:106	 T:22.20
2.86	 B0:61	 B1:102	 B2:30	 T:22.20
2.82	 C0:7	 C1:49	 C2:40	 T:22.20
2.82	 D0:21	 D1:297	 D2:97	 T:nan

2.95	 A0:42	 A1:283	 A2:107	 T:22.20
2.94	 B0:61	 B1:102	 B2:30	 T:22.20
2.89	 C0:7	 C1:50	 C2:39	 T:22.20
2.89	 D0:21	 D1:297	 D2:97	 T:nan

3.02	 A0:42	 A1:283	 A2:107	 T:22.20
3.02	 B0:61	 B1:102	 B2:30	 T:22.20
2.96	 C0:6	 C1:50	 C2:39	 T:22.20
2.96	 D0:21	 D1:297	 D2:98	 T:nan

3.10	 A0:42	 A1:283	 A2:107	 T:22.20
3.10	 B0:61	 B1:102	 B2:30	 T:22.20
3.03	 C0:7	 C1:50	 C2:39	 T:22.20
3.03	 D0:21	 D1:297	 D2:98	 T:nan

3.18	 A0:42	 A1:283	 A2:107	 T:22.20
3.17	 B0:61	 B1:102	 B2:30	 T:22.20
3.11	 C0:7	 C1:50	 C2:40	 T:22.20
3.11	 D0:21	 D1:297	 D2:98	 T:nan

3.26	 A0:42	 A1:283	 A2:107	 T:22.20
3.25	 B0:61	 B1:102	 B2:30	 T:22.20
3.18	 C0:6	 C1:50	 C2:39	 T:22.20
3.18	 D0:21	 D1:297	 D2:98	 T:nan

3.34	 A0:42	 A1:283	 A2:107	 T:22.20
3.33	 B0:61	 B1:102	 B2:30	 T:22.20
3.25	 C0:7	 C1:50	 C2:40	 T:22.20
3.25	 D0:21	 D1:297	 D2:98	 T:nan

3.42	 A0:42	 A1:283	 A2:106	 T:22.20
3.40	 B0:61	 B1:102	 B2:30	 T:22.20
3.32	 C0:7	 C1:50	 C2:39	 T:22.20
3.33	 D0:21	 D1:297	 D2:98	 T:nan

3.50	 A0:42	 A1:283	 A2:106	 T:22.20
3.48	 B0:61	 B1:102	 B2:30	 T:22.20
3.40	 C0:7	 C1:50	 C2:39	 T:22.20
3.40	 D0:21	 D1:297	 D2:97	 T:nan

3.58	 A0:42	 A1:283	 A2:107	 T:22.20
3.56	 B0:61	 B1:102	 B2:30	 T:22.20
3.47	 C0:7	 C1:50	 C2:40	 T:22.20
3.47	 D0:21	 D1:297	 D2:98	 T:nan

3.66	 A0:42	 A1:283	 A2:107	 T:22.20
3.63	 B0:61	 B1:102	 B2:30	 T:22.20
3.54	 C0:6	 C1:49	 C2:39	 T:22.20
3.54	 D0:21	 D1:297	 D2:98	 T:nan

3.73	 A0:42	 A1:283	 A2:107	 T:22.20
3.71	 B0:61	 B1:102	 B2:30	 T:22.20
3.62	 C0:6	 C1:50	 C2:39	 T:22.20
3.62	 D0:21	 D1:297	 D2:98	 T:nan

3.81	 A0:42	 A1:283	 A2:106	 T:22.20
3.79	 B0:61	 B1:102	 B2:30	 T:22.20
3.69	 C0:7	 C1:49	 C2:39	 T:22.20
3.69	 D0:21	 D1:297	 D2:98	 T:nan

3.89	 A0:42	 A1:283	 A2:107	 T:22.20
3.86	 B0:61	 B1:102	 B2:30	 T:22.20
3.76	 C0:7	 C1:49	 C2:40	 T:22.20
3.76	 D0:21	 D1:297	 D2:98	 T:nan

3.97	 A0:42	 A1:283	 A2:106	 T:22.20
3.94	 B0:61	 B1:102	 B2:30	 T:22.20
3.83	 C0:6	 C1:50	 C2:39	 T:22.20
3.83	 D0:21	 D1:297	 D2:98	 T:nan

4.07	 A0:42	 A1:283	 A2:106	 T:22.20
4.03	 B0:61	 B1:102	 B2:30	 T:22.20
3.91	 C0:7	 C1:50	 C2:40	 T:22.20
3.91	 D0:21	 D1:297	 D2:98	 T:nan

4.13	 A0:42	 A1:283	 A2:106	 T:22.20
4.09	 B0:61	 B1:102	 B2:30	 T:22.20
3.98	 C0:7	 C1:49	 C2:40	 T:22.20
3.98	 D0:21	 D1:297	 D2:98	 T:nan

4.21	 A0:42	 A1:283	 A2:106	 T:22.20
4.17	 B0:61	 B1:102	 B2:30	 T:22.20
4.07	 C0:6	 C1:49	 C2:39	 T:22.20
4.07	 D0:21	 D1:297	 D2:98	 T:nan

4.29	 A0:42	 A1:283	 A2:106	 T:22.20
4.25	 B0:61	 B1:102	 B2:30	 T:22.20
4.12	 C0:6	 C1:50	 C2:39	 T:22.20
4.13	 D0:21	 D1:297	 D2:98	 T:nan

4.37	 A0:42	 A1:283	 A2:106	 T:22.20
4.32	 B0:61	 B1:102	 B2:30	 T:22.20
4.20	 C0:7	 C1:50	 C2:39	 T:22.20
4.20	 D0:21	 D1:297	 D2:98	 T:nan

4.45	 A0:42	 A1:283	 A2:106	 T:22.20
4.40	 B0:61	 B1:102	 B2:30	 T:22.20
4.27	 C0:7	 C1:49	 C2:39	 T:22.20
4.27	 D0:21	 D1:297	 D2:98	 T:nan

4.52	 A0:42	 A1:283	 A2:106	 T:22.20
4.48	 B0:61	 B1:102	 B2:30	 T:22.20
4.34	 C0:7	 C1:49	 C2:40	 T:22.20
4.34	 D0:21	 D1:297	 D2:98	 T:nan

4.60	 A0:41	 A1:283	 A2:107	 T:22.20
4.56	 B0:61	 B1:102	 B2:30	 T:22.20
4.42	 C0:7	 C1:50	 C2:40	 T:22.20
4.42	 D0:21	 D1:297	 D2:98	 T:nan

4.68	 A0:42	 A1:283	 A2:107	 T:22.20
4.63	 B0:61	 B1:102	 B2:30	 T:22.20
4.49	 C0:6	 C1:50	 C2:39	 T:22.20
4.49	 D0:21	 D1:297	 D2:98	 T:nan

4.76	 A0:42	 A1:283	 A2:106	 T:22.20
4.71	 B0:61	 B1:102	 B2:30	 T:22.20
4.56	 C0:7	 C1:50	 C2:39	 T:22.20
4.56	 D0:21	 D1:297	 D2:98	 T:nan

4.84	 A0:42	 A1:283	 A2:106	 T:22.20
4.79	 B0:61	 B1:102	 B2:30	 T:22.20
4.63	 C0:6	 C1:49	 C2:40	 T:22.20
4.64	 D0:21	 D1:297	 D2:98	 T:nan

4.92	 A0:42	 A1:283	 A2:106	 T:22.20
4.86	 B0:61	 B1:102	 B2:30	 T:22.20
4.71	 C0:7	 C1:50	 C2:40	 T:22.20
4.71	 D0:21	 D1:297	 D2:98	 T:nan

5.00	 A0:42	 A1:283	 A2:107	 T:22.20
4.94	 B0:61	 B1:102	 B2:30	 T:22.20
4.78	 C0:7	 C1:49	 C2:39	 T:22.20
4.78	 D0:21	 D1:297	 D2:98	 T:nan

5.08	 A0:42	 A1:283	 A2:106	 T:22.20
5.02	 B0:61	 B1:102	 B2:30	 T:22.20
4.85	 C0:7	 C1:49	 C2:39	 T:22.20
4.85	 D0:21	 D1:297	 D2:98	 T:nan

5.16	 A0:42	 A1:283	 A2:106	 T:22.20
5.09	 B0:61	 B1:102	 B2:30	 T:22.20
4.93	 C0:6	 C1:49	 C2:39	 T:22.20
4.93	 D0:21	 D1:297	 D2:97	 T:nan

5.24	 A0:42	 A1:283	 A2:106	 T:22.20
5.17	 B0:61	 B1:102	 B2:30	 T:22.20
5.00	 C0:6	 C1:50	 C2:39	 T:22.20
5.00	 D0:21	 D1:297	 D2:98	 T:nan

5.31	 A0:41	 A1:283	 A2:107	 T:22.20
5.25	 B0:61	 B1:102	 B2:30	 T:22.20
5.07	 C0:6	 C1:49	 C2:39	 T:22.20
5.07	 D0:21	 D1:297	 D2:98	 T:nan

5.39	 A0:42	 A1:283	 A2:106	 T:22.20
5.32	 B0:61	 B1:102	 B2:30	 T:22.20
5.14	 C0:6	 C1:50	 C2:39	 T:22.20
5.15	 D0:21	 D1:297	 D2:98	 T:nan

5.47	 A0:42	 A1:283	 A2:106	 T:22.20
5.40	 B0:61	 B1:102	 B2:30	 T:22.20
5.22	 C0:7	 C1:49	 C2:40	 T:22.20
5.22	 D0:21	 D1:297	 D2:98	 T:nan

5.55	 A0:41	 A1:283	 A2:106	 T:22.20
5.48	 B0:61	 B1:102	 B2:30	 T:22.20
5.29	 C0:6	 C1:50	 C2:40	 T:22.20
5.29	 D0:21	 D1:297	 D2:98	 T:nan

5.63	 A0:42	 A1:283	 A2:106	 T:22.20
5.56	 B0:61	 B1:102	 B2:30	 T:22.20
5.36	 C0:7	 C1:49	 C2:39	 T:22.20
5.36	 D0:21	 D1:297	 D2:98	 T:nan

5.71	 A0:42	 A1:283	 A2:106	 T:22.20
5.63	 B0:61	 B1:102	 B2:30	 T:22.20
5.44	 C0:7	 C1:50	 C2:39	 T:22.20
5.44	 D0:21	 D1:297	 D2:98	 T:nan

5.79	 A0:42	 A1:283	 A2:106	 T:22.20
5.71	 B0:61	 B1:102	 B2:30	 T:22.20
5.51	 C0:7	 C1:49	 C2:40	 T:22.20
5.51	 D0:21	 D1:297	 D2:98	 T:nan

5.87	 A0:42	 A1:283	 A2:107	 T:22.20
5.79	 B0:61	 B1:102	 B2:30	 T:22.20
5.58	 C0:6	 C1:49	 C2:39	 T:22.20
5.58	 D0:21	 D1:297	 D2:98	 T:nan

5.95	 A0:42	 A1:283	 A2:106	 T:22.20
5.86	 B0:61	 B1:102	 B2:30	 T:22.20
5.65	 C0:6	 C1:49	 C2:40	 T:22.20
5.66	 D0:21	 D1:297	 D2:98	 T:nan

6.03	 A0:42	 A1:283	 A2:106	 T:22.20
5.94	 B0:61	 B1:102	 B2:30	 T:22.20
5.73	 C0:6	 C1:49	 C2:39	 T:22.20
5.73	 D0:21	 D1:297	 D2:98	 T:nan

6.10	 A0:41	 A1:283	 A2:106	 T:22.20
6.03	 B0:61	 B1:102	 B2:30	 T:22.20
5.80	 C0:6	 C1:50	 C2:39	 T:22.20
5.80	 D0:21	 D1:297	 D2:98	 T:nan

6.18	 A0:41	 A1:283	 A2:106	 T:22.20
6.09	 B0:61	 B1:102	 B2:30	 T:22.20
5.87	 C0:6	 C1:49	 C2:39	 T:22.20
5.87	 D0:21	 D1:297	 D2:98	 T:nan

6.26	 A0:42	 A1:283	 A2:106	 T:22.20
6.17	 B0:61	 B1:102	 B2:30	 T:22.20
5.95	 C0:6	 C1:49	 C2:39	 T:22.20
5.95	 D0:21	 D1:297	 D2:98	 T:nan

6.34	 A0:41	 A1:283	 A2:106	 T:22.20
6.25	 B0:61	 B1:102	 B2:30	 T:22.20
6.02	 C0:6	 C1:49	 C2:40	 T:22.20
6.02	 D0:21	 D1:297	 D2:98	 T:nan

6.42	 A0:41	 A1:283	 A2:106	 T:22.20
6.32	 B0:61	 B1:102	 B2:30	 T:22.20
6.09	 C0:6	 C1:50	 C2:39	 T:22.20
6.09	 D0:21	 D1:297	 D2:98	 T:nan

