Time,C0,C1,C2
9.86,580,662,506
9.89,577,678,515
9.93,580,676,510
9.96,592,676,511
9.99,580,670,505
10.02,578,676,510
10.05,582,679,516
10.08,581,679,514
10.12,578,676,511
10.15,591,687,527
10.18,578,676,511
10.21,580,677,513
10.25,588,684,520
10.28,578,676,511
10.31,583,679,517
10.34,581,679,514
10.37,578,676,512
10.41,593,688,529
10.44,578,677,511
10.47,580,678,514
10.50,587,685,522
10.53,578,676,511
10.57,583,679,517
10.60,581,679,515
10.63,578,677,511
10.66,588,683,522
10.70,579,678,513
10.73,579,677,513
10.76,592,693,515
10.79,578,677,511
10.82,581,679,515
10.86,582,680,515
10.89,578,677,512
10.92,591,688,528
10.95,578,677,512
10.99,580,678,514
11.02,585,683,519
11.05,578,677,511
11.08,585,683,521
11.11,579,678,513
11.15,579,678,513
11.18,561,669,514
11.21,577,677,512
11.24,582,680,516
11.28,581,680,515
11.31,578,677,512
11.34,590,686,526
11.37,578,678,512
11.41,579,678,514
11.44,574,669,516
11.47,578,678,512
11.50,582,680,517
11.53,581,681,516
11.57,578,678,513
11.60,594,693,532
11.63,578,678,513
11.66,582,681,519
11.70,580,679,514
11.73,579,679,515
11.76,587,685,521
11.79,578,678,513
11.82,589,687,528
11.86,578,678,513
11.89,580,680,516
11.92,583,683,518
11.95,578,678,513
11.98,591,689,529
12.02,578,679,513
12.05,580,680,516
12.08,585,684,520
12.11,577,678,512
12.15,585,684,522
12.18,579,680,514
12.21,578,679,513
12.24,594,693,532
12.28,577,679,513
12.31,580,680,515
12.34,587,684,521
12.37,577,679,512
12.40,581,681,517
12.44,581,682,517
12.47,577,679,513
12.50,586,685,523
12.53,579,680,514
12.57,578,679,513
12.60,594,693,532
12.63,577,679,513
12.66,580,680,515
12.69,586,686,523
12.73,577,679,513
12.76,582,682,518
12.79,581,683,518
12.82,577,679,513
12.86,585,684,521
12.89,579,681,516
12.92,577,679,513
12.95,587,686,524
12.98,579,681,515
13.02,578,679,514
13.05,590,688,526
13.08,578,681,514
13.11,578,680,514
13.15,591,689,528
13.18,578,680,514
13.21,578,680,514
13.24,593,691,530
13.28,578,680,514
13.31,578,680,514
13.34,594,693,531
13.37,577,680,514
13.40,578,680,515
13.44,588,695,533
13.47,577,680,515
13.50,578,681,516
13.53,593,696,532
13.56,577,680,515
13.60,579,681,514
13.63,594,695,528
13.66,577,680,513
13.69,578,681,514
13.73,591,694,531
13.76,577,680,513
13.79,578,681,514
13.82,592,694,530
13.85,577,681,513
13.89,578,681,514
13.92,593,691,529
13.95,577,681,514
13.98,578,680,513
14.02,589,688,525
14.05,578,682,515
14.08,577,680,513
14.11,587,687,523
14.15,578,682,515
14.18,577,681,513
14.21,585,685,521
14.24,579,683,516
14.27,577,680,513
14.31,584,685,520
14.34,579,683,517
14.37,577,681,513
14.40,583,684,520
14.44,580,684,518
14.47,577,681,513
14.50,582,683,518
14.53,582,685,521
14.56,576,681,513
14.60,581,683,517
14.63,583,687,523
14.66,577,681,513
14.69,580,683,516
14.73,586,683,520
14.76,577,681,514
14.79,579,683,516
14.82,567,681,518
14.85,577,682,514
14.89,579,682,517
14.92,593,694,530
14.95,578,682,516
14.98,577,682,516
15.02,588,688,526
15.05,579,683,518
15.08,577,682,516
15.11,586,687,523
15.15,579,684,519
15.18,577,682,516
15.21,584,686,523
15.24,581,685,521
15.27,577,682,516
15.31,583,685,522
15.34,581,686,522
15.37,577,682,516
15.40,582,685,521
15.44,582,687,523
15.47,577,682,516
15.50,582,685,520
15.53,583,688,525
15.56,577,682,516
15.60,581,685,520
15.63,586,691,528
15.66,578,683,516
15.69,581,685,520
15.73,588,691,516
15.76,578,683,517
15.79,581,685,519
15.82,587,675,498
15.85,578,683,517
15.89,580,685,519
15.92,571,669,498
15.95,578,683,517
15.98,580,685,520
16.02,572,677,512
16.05,578,683,517
16.08,581,685,520
16.11,588,691,518
16.14,578,684,518
16.18,581,686,521
16.21,586,691,527
16.24,578,684,518
16.27,583,687,522
16.31,583,688,523
16.34,578,685,518
16.37,586,690,526
16.40,580,688,520
16.43,579,687,518
16.47,593,697,533
16.50,579,687,519
16.53,580,687,520
16.56,566,692,530
16.60,578,689,518
16.63,581,689,521
16.66,587,696,529
16.69,578,690,518
16.73,582,689,522
16.76,583,694,523
16.79,578,688,518
16.82,586,695,527
16.85,579,690,519
16.89,579,689,520
16.92,572,679,507
16.95,578,687,518
16.98,584,692,526
17.01,580,688,520
17.05,579,688,520
17.08,571,690,531
17.11,578,691,519
17.14,585,689,526
17.18,579,686,520
17.21,580,685,520
17.24,577,675,513
17.27,578,684,519
17.30,584,688,526
17.34,580,685,521
17.37,580,684,521
17.40,583,669,514
17.43,579,683,519
17.47,583,686,525
17.50,582,685,522
17.53,579,683,520
17.56,595,698,540
17.60,579,683,520
17.63,582,685,523
17.66,584,687,525
17.69,579,683,520
17.72,589,690,532
17.76,580,684,520
17.79,580,683,521
17.82,564,671,510
17.85,578,683,519
17.89,582,684,522
17.92,585,688,527
17.95,578,682,518
17.98,583,685,524
18.01,582,686,523
18.05,579,683,519
18.08,586,687,528
18.11,581,685,522
18.14,580,683,520
18.18,590,691,531
18.21,580,684,521
18.24,580,683,520
18.27,595,695,537
18.30,580,683,520
18.34,581,683,521
18.37,586,699,529
18.40,579,683,520
18.43,582,684,522
18.47,585,689,531
18.50,579,683,519
18.53,583,685,523
18.56,585,689,527
18.59,579,683,519
18.63,585,686,525
18.66,582,686,524
18.69,579,683,520
18.72,587,688,528
18.76,581,685,522
18.79,579,683,520
18.82,590,690,530
18.85,581,685,522
18.88,580,683,520
18.92,592,692,532
18.95,580,684,521
18.98,580,684,520
19.01,595,694,534
19.05,580,684,521
19.08,580,684,521
19.11,596,695,537
19.14,580,684,521
19.17,580,684,521
19.21,595,695,536
19.24,580,683,521
19.27,580,684,521
19.30,594,694,534
19.34,580,684,522
19.37,580,683,520
19.40,592,691,532
19.43,580,685,522
19.47,580,683,520
19.50,589,689,529
19.53,581,685,523
19.56,579,683,520
19.59,586,688,527
19.63,582,686,524
19.66,579,683,519
19.69,584,686,525
19.72,583,687,526
19.76,579,683,520
19.79,583,686,524
19.82,587,691,530
19.85,579,683,520
19.88,582,685,522
19.92,576,670,505
19.95,579,684,521
19.98,581,684,522
20.01,598,699,538
20.04,580,684,521
20.08,580,684,521
20.11,591,691,531
20.14,581,685,523
20.17,580,683,520
20.21,586,687,525
20.24,583,687,527
20.27,579,683,520
20.30,582,685,523
20.34,588,681,518
20.37,579,684,521
20.40,581,685,522
20.43,597,699,538
20.46,580,684,521
20.50,580,684,521
20.53,592,692,531
20.56,581,685,522
20.59,579,684,520
20.63,585,687,526
20.66,585,689,529
20.69,579,683,520
20.72,582,685,523
20.75,578,700,539
20.79,580,685,522
20.82,580,684,521
20.85,587,688,527
20.88,584,689,528
20.92,579,684,520
20.95,582,685,523
20.98,581,697,539
21.01,580,685,522
21.04,580,684,521
21.08,587,688,526
21.11,583,688,528
21.14,579,684,520
21.17,582,685,522
21.21,569,700,538
21.24,580,684,521
21.27,580,684,520
21.30,588,688,527
21.34,582,687,526
21.37,580,684,521
21.40,583,686,523
21.43,589,688,504
21.46,579,684,520
21.50,581,685,521
21.53,593,697,537
21.56,580,685,522
21.59,580,684,521
21.62,589,689,529
21.66,581,686,524
21.69,579,684,520
21.72,584,686,525
21.75,586,691,532
21.79,579,684,520
21.82,582,685,522
21.85,580,696,540
21.88,580,685,522
21.92,580,685,521
21.95,591,691,530
21.98,582,687,525
22.01,580,684,521
22.04,584,687,525
22.08,587,692,533
22.11,579,685,521
22.14,582,686,523
22.17,598,699,538
22.21,581,685,523
22.24,580,685,522
22.27,588,689,528
22.30,583,689,528
22.33,580,685,521
22.37,583,686,524
22.40,588,671,534
22.43,580,685,522
22.46,581,685,522
22.50,593,693,532
22.53,582,687,525
22.56,580,685,522
22.59,585,688,526
22.62,587,692,533
22.66,580,685,522
22.69,582,686,523
22.72,584,698,540
22.75,580,685,522
22.79,581,685,522
22.82,589,690,528
22.85,583,688,527
22.88,579,685,521
22.92,583,686,524
22.95,581,677,521
22.98,580,685,522
23.01,581,685,522
23.04,591,691,530
23.08,583,688,526
23.11,580,685,522
23.14,584,687,524
23.17,590,690,505
23.20,580,685,522
23.24,582,685,523
23.27,595,694,534
23.30,582,687,524
23.33,580,685,522
23.37,586,688,526
23.40,586,691,532
23.43,580,685,522
23.46,582,686,524
23.50,598,700,539
23.53,581,686,524
23.56,580,685,522
23.59,587,689,527
23.62,585,691,531
23.66,580,685,522
23.69,582,686,523
23.72,594,698,538
23.75,582,687,524
23.79,581,685,522
23.82,586,688,527
23.85,587,692,534
23.88,580,685,522
23.92,582,686,524
23.95,597,697,537
23.98,582,687,525
24.01,581,685,522
24.04,586,688,527
24.08,587,692,533
24.11,580,686,522
24.14,583,687,524
24.17,571,701,541
24.20,581,687,524
24.24,581,685,523
24.27,589,690,529
24.30,584,689,528
24.33,580,685,522
24.37,584,687,525
24.40,589,689,522
24.43,581,686,523
24.46,582,686,524
24.50,597,697,536
24.53,582,687,525
24.56,580,685,521
24.59,585,688,527
24.62,587,693,532
24.66,580,685,522
24.69,582,686,523
24.72,595,694,534
24.75,582,688,526
24.78,580,685,523
24.82,584,688,526
24.85,573,673,530
24.88,581,687,524
24.91,581,686,523
24.95,588,689,528
24.98,586,692,533
25.01,581,686,523
25.04,583,687,524
25.07,596,695,534
25.11,583,688,527
25.14,581,686,523
25.17,585,688,527
25.20,590,684,517
25.24,581,686,524
25.27,582,687,524
25.30,594,694,534
25.33,583,688,526
25.36,581,686,523
25.40,585,688,527
25.43,590,694,519
25.46,581,686,523
25.49,582,687,524
25.53,595,694,534
25.56,583,688,527
25.59,581,686,523
25.62,585,688,526
25.66,585,671,522
25.69,581,686,524
25.72,582,686,523
25.75,590,691,531
25.78,585,690,530
25.82,581,686,523
25.85,584,688,525
25.88,583,701,541
25.91,582,687,525
25.95,581,686,523
25.98,586,689,527
26.01,589,693,525
26.04,580,685,522
26.07,582,686,523
26.11,596,695,535
26.14,581,687,525
26.17,581,686,522
26.20,585,688,526
26.23,589,685,510
26.27,581,687,524
26.30,582,686,523
26.33,589,690,529
26.36,586,692,533
26.40,581,686,523
