,time,A0,A1,A2
265,7.93,704,740,79
266,7.96,708,736,77
267,7.99,707,736,68
268,8.02,707,741,77
269,8.05,707,731,76
270,8.09,702,740,79
271,8.11,708,736,77
272,8.15,705,737,72
273,8.18,707,741,77
274,8.21,707,731,74
275,8.24,704,741,78
276,8.27,708,729,76
277,8.30,699,738,75
278,8.33,707,741,77
279,8.36,707,731,75
280,8.39,703,740,79
281,8.42,708,739,77
282,8.45,709,736,84
283,8.48,706,741,78
284,8.51,708,739,76
285,8.54,700,740,79
286,8.57,708,740,77
287,8.60,699,734,77
288,8.63,705,741,78
289,8.66,708,737,76
290,8.69,700,740,79
291,8.72,708,739,77
292,8.75,711,736,66
293,8.78,707,741,77
294,8.81,707,731,74
295,8.84,704,741,78
296,8.87,708,747,76
297,8.90,700,739,79
298,8.93,708,739,77
299,8.96,703,737,69
300,8.99,707,741,77
301,9.02,704,733,74
302,9.05,706,741,78
303,9.08,708,732,76
304,9.11,703,740,78
305,9.14,708,747,76
306,9.17,700,739,79
307,9.20,708,739,77
308,9.23,710,736,64
309,9.26,707,741,77
310,9.29,707,732,75
311,9.32,704,740,78
312,9.35,708,736,76
313,9.38,702,737,68
314,9.41,707,741,77
315,9.44,707,733,76
316,9.47,701,740,79
317,9.50,708,739,77
318,9.53,715,736,87
319,9.56,706,741,77
320,9.59,708,737,76
321,9.62,700,739,78
322,9.65,708,740,77
323,9.68,703,733,74
324,9.71,704,741,78
325,9.74,708,733,76
326,9.77,703,737,70
327,9.80,707,741,77
328,9.83,707,731,76
329,9.86,701,740,79
330,9.89,708,740,77
331,9.92,696,733,74
332,9.96,704,741,78
333,9.98,708,730,76
334,10.02,700,741,77
335,10.05,705,741,78
336,10.08,708,739,79
337,10.11,708,735,79
338,10.14,706,732,76
339,10.17,701,739,77
340,10.20,707,741,77
341,10.23,707,740,79
342,10.26,708,737,64
343,10.30,707,731,76
344,10.33,702,738,77
345,10.36,709,741,77
346,10.39,708,740,79
347,10.42,708,736,87
348,10.45,706,738,76
349,10.48,699,740,78
350,10.51,700,741,78
351,10.55,708,738,74
352,10.58,707,731,76
353,10.61,702,738,77
354,10.64,715,741,78
355,10.67,708,738,74
356,10.70,707,731,76
357,10.73,701,739,77
358,10.76,703,741,79
359,10.80,708,738,73
360,10.83,707,732,76
361,10.86,700,739,78
362,10.89,696,741,79
363,10.92,708,738,74
364,10.95,707,732,76
365,10.98,700,739,78
