,time,A0,A1,A2
265,8.21,163,664,414
266,8.24,162,664,414
267,8.27,161,666,414
268,8.30,161,673,414
269,8.33,160,663,416
270,8.37,164,662,418
271,8.40,163,663,412
272,8.43,162,664,412
273,8.46,162,665,412
274,8.49,161,667,412
275,8.52,161,669,412
276,8.55,160,663,415
277,8.58,152,662,415
278,8.61,163,663,411
279,8.65,162,664,410
280,8.68,162,665,411
281,8.71,161,667,411
282,8.74,161,671,411
283,8.77,160,662,401
284,8.80,156,663,411
285,8.83,163,663,409
286,8.86,162,665,409
287,8.90,161,666,409
288,8.93,161,657,409
289,8.96,160,664,410
290,8.99,171,662,412
291,9.02,160,663,408
292,9.05,163,664,407
293,9.08,162,664,407
294,9.11,161,665,407
295,9.15,161,668,407
296,9.18,161,673,408
297,9.21,160,663,411
298,9.24,160,662,410
299,9.27,163,663,406
300,9.30,162,664,405
301,9.33,162,665,406
302,9.36,161,668,406
303,9.40,161,670,406
304,9.43,160,662,400
305,9.46,160,663,406
306,9.49,163,663,404
307,9.52,162,665,404
308,9.55,161,667,405
309,9.58,161,673,405
310,9.61,160,662,407
311,9.65,152,662,406
312,9.68,163,663,403
313,9.71,162,664,403
314,9.74,162,665,403
315,9.77,161,657,403
316,9.80,160,666,404
317,9.83,160,662,404
318,9.86,162,663,403
319,9.89,163,664,401
320,9.93,162,664,402
321,9.96,162,665,402
322,9.99,161,664,402
323,10.02,161,664,401
324,10.05,162,664,402
325,10.08,171,664,401
326,10.12,161,662,404
327,10.15,163,667,401
328,10.18,161,663,400
329,10.21,162,671,401
330,10.25,160,664,400
331,10.28,161,662,401
332,10.31,162,667,400
333,10.34,161,663,399
334,10.37,162,668,400
335,10.41,161,664,399
336,10.44,162,662,403
337,10.47,163,668,399
338,10.50,160,663,398
339,10.53,162,663,402
340,10.57,152,665,399
341,10.60,161,663,398
342,10.63,162,673,398
343,10.66,160,664,397
344,10.70,161,662,402
345,10.73,163,667,398
346,10.76,160,664,397
