,time,A0,A1,A2
265,7.93,81,329,286
266,7.96,80,327,286
267,7.99,79,327,288
268,8.02,78,327,286
269,8.05,80,327,286
270,8.09,82,328,286
271,8.11,81,330,286
272,8.15,80,327,286
273,8.18,80,327,280
274,8.21,79,327,287
275,8.24,78,327,286
276,8.27,79,327,286
277,8.30,81,321,286
278,8.33,81,328,286
279,8.36,80,327,287
280,8.39,79,327,288
281,8.42,78,327,286
282,8.45,72,327,286
283,8.48,81,328,286
284,8.51,81,330,286
285,8.54,80,327,285
286,8.57,79,327,286
287,8.60,78,327,286
288,8.63,76,327,286
289,8.66,81,328,286
290,8.69,81,329,286
291,8.72,80,327,286
292,8.75,79,327,288
293,8.78,78,327,286
294,8.81,72,327,286
295,8.84,81,328,286
296,8.87,81,330,286
297,8.90,80,327,286
298,8.93,79,327,285
299,8.96,78,327,286
300,8.99,82,327,286
301,9.02,81,328,286
302,9.05,81,330,286
303,9.08,80,327,285
304,9.11,79,327,282
305,9.14,78,327,286
306,9.17,91,327,286
307,9.20,81,327,286
308,9.23,81,328,286
309,9.26,80,327,286
310,9.29,80,327,278
311,9.32,78,327,287
312,9.35,87,327,285
313,9.38,79,327,285
314,9.41,81,320,286
315,9.44,80,327,286
316,9.47,80,327,284
317,9.50,79,327,287
318,9.53,77,327,285
319,9.56,76,327,286
320,9.59,81,325,286
321,9.62,80,329,286
322,9.65,80,327,287
323,9.68,79,327,288
324,9.71,77,327,285
325,9.74,76,327,285
326,9.77,81,330,286
327,9.80,80,329,286
328,9.83,80,326,285
329,9.86,79,327,288
330,9.89,78,327,286
331,9.92,72,327,285
332,9.96,81,333,285
333,9.98,80,329,286
334,10.02,79,327,285
335,10.05,81,327,280
336,10.08,78,320,286
337,10.11,80,327,286
338,10.14,76,327,286
339,10.17,79,327,286
340,10.20,81,327,288
341,10.23,76,329,285
342,10.26,80,327,285
343,10.30,81,327,276
344,10.33,78,332,286
345,10.36,80,327,285
346,10.39,74,326,285
347,10.42,79,327,286
348,10.45,81,327,287
349,10.48,78,329,286
350,10.51,80,327,286
351,10.55,81,327,280
352,10.58,79,332,286
353,10.61,80,327,286
354,10.64,72,327,285
355,10.67,79,327,286
356,10.70,80,326,288
357,10.73,76,330,286
358,10.76,80,327,285
359,10.80,81,326,293
360,10.83,78,328,286
361,10.86,80,327,286
362,10.89,76,327,286
363,10.92,79,327,286
364,10.95,81,326,287
365,10.98,91,328,286
366,11.01,79,327,285
367,11.04,81,326,288
368,11.08,76,329,286
369,11.11,80,327,286
370,11.14,81,327,276
371,11.17,78,324,286
372,11.20,80,327,286
373,11.23,79,326,287
374,11.26,79,329,286
375,11.29,80,327,286
376,11.32,73,327,286
377,11.36,79,327,286
378,11.39,80,326,287
379,11.42,68,327,286
380,11.45,79,327,286
381,11.48,81,327,288
382,11.51,87,328,286
383,11.54,79,327,285
384,11.57,81,326,288
385,11.61,76,329,286
386,11.64,79,327,286
387,11.67,81,327,288
388,11.70,76,329,286
389,11.73,79,327,286
390,11.76,81,326,284
391,11.79,77,328,286
392,11.82,79,327,285
393,11.85,81,326,276
394,11.89,77,328,286
395,11.92,79,327,285
396,11.95,81,326,278
397,11.98,78,322,285
398,12.01,80,326,285
399,12.04,81,326,276
400,12.07,78,320,285
401,12.10,79,327,285
402,12.14,81,326,289
403,12.17,78,324,285
404,12.20,79,327,285
405,12.23,80,326,291
406,12.26,78,328,285
407,12.29,80,326,285
408,12.32,80,326,285
409,12.35,78,329,285
410,12.39,80,326,286
411,12.42,72,326,285
412,12.45,79,326,285
413,12.48,80,327,287
414,12.51,76,329,285
415,12.54,79,326,285
416,12.57,81,326,274
417,12.60,78,330,285
418,12.64,80,326,285
419,12.67,74,326,285
420,12.70,79,326,285
421,12.73,80,326,287
422,12.76,77,329,285
423,12.79,79,327,285
424,12.82,81,326,281
425,12.85,78,320,285
426,12.89,79,326,285
427,12.92,80,326,287
428,12.95,78,333,285
429,12.98,80,326,285
430,13.01,76,326,285
431,13.04,79,327,285
432,13.07,80,326,286
433,13.10,68,327,285
434,13.14,79,326,285
435,13.17,81,326,286
436,13.20,84,327,285
437,13.23,79,326,285
438,13.26,80,326,286
439,13.29,68,327,285
440,13.32,79,326,285
441,13.35,80,326,286
442,13.38,74,326,284
443,13.42,78,328,285
444,13.45,80,326,285
445,13.48,79,326,287
446,13.51,78,333,285
447,13.54,80,326,285
448,13.57,80,326,288
449,13.60,78,316,285
450,13.63,79,326,285
451,13.67,81,326,286
452,13.70,78,324,285
453,13.73,79,327,285
454,13.76,81,326,293
455,13.79,78,328,285
456,13.82,80,327,285
457,13.85,77,326,284
458,13.88,78,326,285
459,13.92,80,327,286
460,13.95,91,327,285
461,13.98,79,326,285
462,14.01,81,326,281
463,14.04,78,322,285
464,14.07,79,326,285
465,14.10,72,326,284
466,14.13,79,327,285
467,14.16,80,326,286
468,14.20,78,320,285
469,14.23,80,326,285
470,14.26,74,327,285
471,14.29,79,326,285
472,14.32,81,326,291
473,14.35,78,326,285
474,14.38,80,326,287
475,14.41,76,328,285
476,14.44,79,327,285
477,14.48,72,327,285
478,14.51,79,326,285
479,14.54,81,326,291
480,14.57,78,327,285
481,14.60,80,326,287
482,14.63,76,330,285
483,14.66,79,327,285
484,14.69,76,327,285
