Time,C0,C1,C2
9.86,493,663,515
9.89,485,648,512
9.93,473,649,512
9.96,489,656,515
9.99,494,648,505
10.02,486,655,517
10.05,496,647,513
10.08,485,645,512
10.12,480,644,513
10.15,478,645,517
10.18,479,651,525
10.21,474,651,515
10.25,480,646,513
10.28,477,645,512
10.31,480,645,514
10.34,474,647,521
10.37,479,639,520
10.41,490,649,515
10.44,484,646,513
10.47,482,645,513
10.50,484,646,516
10.53,484,649,519
10.57,488,658,518
10.60,493,648,514
10.63,486,646,513
10.66,481,645,514
10.70,481,647,518
10.73,483,652,526
10.76,487,652,516
10.79,489,647,514
10.82,483,646,514
10.86,482,646,516
10.89,481,650,521
10.92,489,655,517
10.95,492,647,514
10.99,484,646,514
11.02,482,647,517
11.05,483,651,528
11.08,490,653,517
11.11,488,647,514
11.15,484,647,514
11.18,480,647,519
11.21,482,649,523
11.24,479,650,516
11.28,483,648,514
11.31,480,647,515
11.34,479,649,519
11.37,482,647,520
11.41,502,650,516
11.44,492,648,515
11.47,490,648,516
11.50,493,650,516
11.53,498,661,520
11.57,505,651,516
11.60,495,649,515
11.63,493,651,516
11.66,492,651,521
11.70,482,661,520
11.73,490,652,516
11.76,480,650,515
11.79,476,649,516
11.82,475,651,522
11.86,476,646,523
11.89,468,656,517
11.92,479,656,515
11.95,477,650,516
11.98,478,651,520
12.02,480,659,527
12.05,476,656,518
12.08,488,653,516
12.11,486,650,516
12.15,484,657,519
12.18,484,655,527
12.21,491,659,519
12.24,490,652,517
12.28,483,651,516
12.31,480,651,517
12.34,481,652,525
12.37,485,643,524
12.40,493,655,518
12.44,481,658,516
12.47,490,654,517
12.50,489,654,521
12.53,478,665,530
12.57,483,656,519
12.60,478,653,517
12.63,472,658,517
12.66,473,659,524
12.69,477,646,523
12.73,491,654,518
12.76,478,654,517
12.79,476,658,521
12.82,478,660,526
12.86,493,653,518
12.89,478,650,517
12.92,473,650,520
12.95,476,656,527
12.98,486,652,519
13.02,473,650,518
13.05,475,650,521
13.08,481,656,528
13.11,473,653,519
13.15,484,650,517
13.18,481,650,519
13.21,484,654,532
13.24,495,656,520
13.28,490,651,518
13.31,483,650,518
13.34,483,651,523
13.37,482,657,529
13.40,470,655,520
13.44,472,652,518
13.47,476,651,519
13.50,478,652,523
13.53,472,656,530
13.56,465,657,521
13.60,477,653,519
13.63,474,652,519
13.66,473,653,522
13.69,476,659,532
13.73,482,659,521
13.76,481,655,519
13.79,476,654,519
13.82,474,659,527
13.85,474,645,524
13.89,479,656,520
13.92,486,653,519
13.95,478,654,522
13.98,481,660,529
14.02,495,657,521
14.05,488,657,519
14.08,486,653,521
14.11,482,658,534
14.15,481,662,521
14.18,486,656,519
14.21,481,656,520
14.24,481,658,510
14.27,486,671,523
14.31,488,655,520
14.34,481,654,520
14.37,479,654,524
14.40,481,660,528
14.44,491,656,521
14.47,482,654,520
14.50,479,653,522
14.53,478,657,530
14.56,484,659,522
14.60,483,654,520
14.63,477,653,521
14.66,478,656,505
14.69,484,662,523
14.73,483,657,520
14.76,478,661,521
14.79,476,660,518
14.82,481,676,524
14.85,484,657,520
14.89,477,659,521
14.92,474,655,528
14.95,478,651,525
14.98,482,660,521
15.02,472,654,520
15.05,473,655,525
15.08,472,654,528
15.11,482,656,522
15.15,469,654,520
15.18,468,654,523
15.21,472,658,535
15.24,483,660,523
15.27,465,656,521
15.31,480,655,521
15.34,477,659,523
15.37,477,660,532
15.40,485,667,525
15.44,492,659,522
15.47,483,656,521
15.50,484,655,521
15.53,474,655,522
15.56,462,656,528
15.60,469,660,532
15.63,473,661,524
15.66,474,656,522
15.69,462,654,521
15.73,462,654,522
15.76,484,654,524
15.79,486,656,530
15.82,488,657,531
15.85,484,661,524
15.89,495,656,523
15.92,488,655,522
15.95,485,654,521
15.98,485,654,522
16.02,484,655,525
16.05,484,657,529
16.08,484,656,533
16.11,491,663,526
16.14,482,657,523
16.18,464,656,522
16.21,480,655,522
16.24,480,654,522
16.27,485,655,522
16.31,485,655,523
16.34,484,656,526
16.37,483,657,530
16.40,483,659,536
16.43,481,645,531
16.47,486,664,526
16.50,487,659,524
16.53,489,657,523
16.56,485,656,523
16.60,483,655,522
16.63,482,655,522
16.66,480,655,522
16.69,482,655,523
16.73,482,655,524
16.76,481,656,525
16.79,482,657,529
16.82,483,659,511
16.85,484,661,534
16.89,488,665,528
16.92,461,661,525
16.95,473,658,524
16.98,491,657,523
17.01,486,656,523
17.05,465,656,522
17.08,475,656,523
17.11,487,656,523
17.14,488,657,525
17.18,487,659,528
17.21,488,658,522
17.24,487,660,535
17.27,492,667,528
17.30,496,660,526
17.34,496,658,524
17.37,491,657,523
17.40,489,659,523
17.43,487,658,523
17.47,484,657,523
17.50,483,659,524
17.53,484,657,529
17.56,486,670,528
17.60,490,667,530
17.63,491,660,526
17.66,493,657,524
17.69,489,656,523
17.72,484,655,524
17.76,483,656,527
17.79,482,660,538
17.82,488,666,527
17.85,495,657,524
17.89,483,657,523
17.92,478,660,524
17.95,480,659,531
17.98,489,649,530
18.01,498,663,525
18.05,488,661,524
18.08,486,659,525
18.11,485,659,520
18.14,490,671,527
18.18,494,660,524
18.21,488,659,524
18.24,484,659,527
18.27,486,664,537
18.30,485,665,526
18.34,493,659,524
18.37,487,658,524
18.40,486,657,526
18.43,488,660,528
18.47,492,669,528
18.50,498,659,525
18.53,490,657,524
18.56,486,658,525
18.59,487,663,531
18.63,490,659,531
18.66,498,663,526
18.69,492,662,524
18.72,490,657,525
18.76,491,658,532
18.79,494,647,531
18.82,505,659,525
18.85,494,657,524
18.88,491,657,525
18.92,491,659,517
18.95,495,669,528
18.98,497,659,525
19.01,489,657,524
19.05,487,658,526
19.08,488,661,539
19.11,494,667,528
19.14,495,659,525
19.17,488,658,524
19.21,485,658,525
19.24,486,660,532
19.27,487,658,532
19.30,491,666,526
19.34,490,657,524
19.37,486,657,525
19.40,485,658,529
19.43,486,674,537
19.47,484,664,527
19.50,491,662,525
19.53,486,658,524
19.56,485,661,527
19.59,493,663,538
19.63,501,666,527
19.66,500,659,525
19.69,494,657,525
19.72,493,658,528
19.76,494,663,536
19.79,490,661,527
19.82,497,658,525
19.85,493,657,525
19.88,492,659,532
19.92,495,649,531
19.95,506,660,526
19.98,495,658,524
20.01,492,657,526
20.04,493,660,517
20.08,498,669,529
20.11,503,659,525
20.14,495,658,525
20.17,493,658,526
20.21,492,660,533
20.24,495,661,531
20.27,506,661,526
20.30,496,661,525
20.34,493,661,525
20.37,492,659,528
20.40,493,664,540
20.43,500,673,529
20.46,503,661,526
20.50,496,658,525
20.53,493,657,525
20.56,492,658,530
20.59,494,662,539
20.63,501,665,528
20.66,501,659,526
20.69,495,657,525
20.72,492,657,526
20.75,492,658,531
20.79,494,663,537
20.82,496,664,528
20.85,501,659,526
20.88,495,658,525
20.92,493,657,526
20.95,492,658,528
20.98,492,660,531
21.01,495,655,535
21.04,496,664,528
21.08,503,659,526
21.11,496,659,525
21.14,494,659,525
21.17,492,659,526
21.21,492,659,533
21.24,494,663,536
21.27,500,664,528
21.30,501,660,526
21.34,495,659,525
21.37,493,659,526
21.40,493,661,531
21.43,494,665,536
21.46,493,665,528
21.50,499,662,526
21.53,495,660,525
21.56,493,659,527
21.59,493,663,525
21.62,497,672,531
21.66,506,663,527
21.69,496,661,525
21.72,493,662,526
21.75,492,661,532
21.79,495,655,534
21.82,496,662,527
21.85,497,659,526
21.88,494,658,526
21.92,492,659,527
21.95,492,664,532
21.98,494,666,538
22.01,500,674,529
22.04,505,661,527
22.08,497,659,526
22.11,494,658,526
22.14,493,657,527
22.17,493,658,530
22.21,494,661,529
22.24,497,646,532
22.27,484,661,528
22.30,501,659,527
22.33,496,658,526
22.37,493,658,526
22.40,493,658,528
22.43,493,660,534
22.46,497,664,537
22.50,492,667,529
22.53,504,661,527
22.56,497,660,526
22.59,495,660,527
22.62,494,660,530
22.66,495,663,539
22.69,501,667,530
22.72,505,660,527
22.75,497,658,526
22.79,495,657,527
22.82,494,658,531
22.85,496,663,540
22.88,503,665,529
22.92,503,659,527
22.95,496,657,526
22.98,495,657,528
23.01,495,659,522
23.04,499,662,531
23.08,508,659,527
23.11,498,658,526
23.14,495,658,527
23.17,495,659,532
23.20,499,669,531
23.24,507,659,527
23.27,497,658,526
23.30,495,657,528
23.33,495,661,524
23.37,501,667,530
23.40,504,659,527
23.43,497,658,526
23.46,495,657,528
23.50,495,660,515
23.53,499,669,532
23.56,508,660,528
23.59,499,658,527
23.62,496,657,527
23.66,495,658,530
23.69,496,662,541
23.72,504,665,529
23.75,503,659,527
23.79,497,658,526
23.82,495,658,528
23.85,495,660,520
23.88,500,670,531
23.92,507,659,527
23.95,497,658,527
23.98,495,658,528
24.01,495,660,523
24.04,499,671,531
24.08,507,660,527
24.11,498,658,527
24.14,495,658,527
24.17,495,659,533
24.20,496,664,539
24.24,504,665,529
24.27,505,660,527
24.30,498,658,527
24.33,496,658,527
24.37,495,659,529
24.40,495,660,531
24.43,497,662,536
24.46,494,664,529
24.50,503,660,527
24.53,497,659,527
24.56,495,659,527
24.59,495,660,529
24.62,495,662,530
24.66,498,653,535
24.69,494,669,529
24.72,502,661,527
24.75,497,660,527
24.78,495,660,527
24.82,495,670,529
24.85,495,663,534
24.88,497,657,536
24.91,493,666,530
24.95,504,669,528
24.98,500,659,527
25.01,498,659,527
25.04,497,659,528
25.07,496,660,530
25.11,497,663,517
25.14,499,660,537
25.17,506,669,530
25.20,509,665,529
25.24,502,660,527
25.27,499,659,527
25.30,498,658,527
25.33,497,658,528
