,time,A0,A1,A2
265,8.21,503,521,234
266,8.24,503,524,234
267,8.27,501,522,236
268,8.30,504,528,234
269,8.33,502,523,234
270,8.37,508,521,234
271,8.40,503,525,234
272,8.43,502,522,236
273,8.46,505,526,234
274,8.49,503,523,234
275,8.52,507,521,234
276,8.55,503,524,234
277,8.58,502,522,236
278,8.61,504,529,234
279,8.65,502,523,234
280,8.68,505,521,233
281,8.71,503,524,234
282,8.74,502,522,234
283,8.77,503,525,234
284,8.80,502,522,236
285,8.83,504,529,234
286,8.86,502,523,234
287,8.90,500,522,233
288,8.93,503,523,234
289,8.96,507,522,232
290,8.99,503,524,234
291,9.02,502,522,232
292,9.05,504,515,234
293,9.08,502,523,235
294,9.11,506,523,233
295,9.15,503,523,234
296,9.18,506,521,235
297,9.21,503,525,233
298,9.24,502,522,236
299,9.27,504,528,233
300,9.30,502,523,234
301,9.33,494,521,233
302,9.36,503,523,233
303,9.40,502,522,228
304,9.43,503,525,233
305,9.46,502,522,235
306,9.49,504,528,233
307,9.52,502,523,234
308,9.55,501,522,233
309,9.58,503,523,233
310,9.61,509,521,233
311,9.65,503,523,233
312,9.68,507,521,232
313,9.71,503,524,233
314,9.74,503,522,238
315,9.77,503,525,233
316,9.80,502,522,234
317,9.83,504,516,233
318,9.86,502,522,234
319,9.89,505,525,233
320,9.93,503,523,233
321,9.96,500,521,232
322,9.99,503,523,233
323,10.02,503,523,233
324,10.05,505,523,233
325,10.08,504,523,233
326,10.12,504,523,233
327,10.15,503,523,233
328,10.18,503,523,233
329,10.21,502,523,233
330,10.25,502,524,233
331,10.28,502,524,233
332,10.31,502,524,233
333,10.34,502,525,233
334,10.37,502,524,233
335,10.41,502,521,233
336,10.44,502,525,233
337,10.47,503,527,233
338,10.50,503,525,233
339,10.53,503,522,232
340,10.57,503,522,232
341,10.60,503,521,232
342,10.63,503,521,237
343,10.66,504,522,226
344,10.70,504,522,233
345,10.73,505,522,234
346,10.76,506,522,233
347,10.79,506,523,233
348,10.82,507,523,233
349,10.86,503,523,233
350,10.89,502,524,232
351,10.92,502,525,233
352,10.95,502,519,232
353,10.99,502,529,232
354,11.02,503,524,232
355,11.05,503,521,232
356,11.08,503,521,232
357,11.11,503,521,226
358,11.15,504,522,234
359,11.18,506,522,233
360,11.21,509,523,232
361,11.24,504,523,232
362,11.28,502,525,232
363,11.31,502,514,232
364,11.34,503,524,232
365,11.37,503,521,232
366,11.41,503,521,224
367,11.44,504,522,234
368,11.47,505,522,233
369,11.50,507,523,233
370,11.53,502,524,232
371,11.57,502,528,232
372,11.60,503,521,232
373,11.63,504,522,233
374,11.66,506,522,232
375,11.70,504,523,232
376,11.73,502,517,232
377,11.76,503,521,232
378,11.79,504,522,232
379,11.82,506,522,232
380,11.86,503,523,232
381,11.89,502,527,232
382,11.92,503,521,232
383,11.95,504,522,234
384,11.98,504,523,232
385,12.02,502,524,232
386,12.05,503,524,232
387,12.08,503,521,232
388,12.11,505,522,233
389,12.15,508,523,232
390,12.18,502,525,232
391,12.21,503,524,232
392,12.24,503,521,237
393,12.28,504,522,234
394,12.31,503,523,232
395,12.34,502,524,232
396,12.37,503,528,232
397,12.40,503,521,237
398,12.44,504,522,234
399,12.47,496,522,232
400,12.50,503,524,232
401,12.53,502,523,232
402,12.57,503,521,232
403,12.60,504,521,232
404,12.63,506,522,232
405,12.66,505,523,232
406,12.69,502,518,232
407,12.73,503,521,232
408,12.76,504,521,234
409,12.79,504,522,232
410,12.82,502,524,232
411,12.86,503,528,232
412,12.89,503,521,239
413,12.92,504,522,233
414,12.95,505,523,232
415,12.98,502,525,232
416,13.02,503,525,232
417,13.05,504,521,224
418,13.08,505,522,233
419,13.11,509,523,232
420,13.15,502,524,232
421,13.18,503,527,232
422,13.21,503,521,232
423,13.24,504,522,234
424,13.28,503,522,232
425,13.31,505,523,232
426,13.34,502,524,232
427,13.37,503,525,232
428,13.40,503,521,234
429,13.44,504,522,233
430,13.47,506,522,232
431,13.50,506,523,232
432,13.53,502,525,232
433,13.56,503,525,232
434,13.60,503,521,237
435,13.63,504,522,234
436,13.66,498,522,232
437,13.69,502,524,232
438,13.73,502,527,232
439,13.76,503,521,235
440,13.79,504,522,234
441,13.82,503,523,232
442,13.85,502,524,232
443,13.89,503,526,232
444,13.92,504,521,239
445,13.95,505,522,233
446,13.98,509,523,232
447,14.02,502,525,232
448,14.05,503,521,231
449,14.08,504,521,232
450,14.11,505,522,231
451,14.15,503,524,232
452,14.18,503,525,232
453,14.21,504,521,224
454,14.24,506,522,232
