,time,A0,A1,A2
265,8.21,704,735,117
266,8.24,703,728,116
267,8.27,698,728,115
268,8.30,702,734,112
269,8.33,704,735,116
270,8.37,693,726,116
271,8.40,699,733,119
272,8.43,704,735,117
273,8.46,703,739,116
274,8.49,697,732,114
275,8.52,703,735,117
276,8.55,703,731,116
277,8.58,696,731,114
278,8.61,703,735,117
279,8.65,703,726,116
280,8.68,696,731,114
281,8.71,704,735,117
282,8.74,703,739,116
283,8.77,697,732,114
284,8.80,704,735,117
285,8.83,703,738,116
286,8.86,698,732,114
287,8.90,704,735,117
288,8.93,701,729,116
289,8.96,699,733,127
290,8.99,704,735,117
291,9.02,698,727,116
292,9.05,700,733,127
293,9.08,704,735,117
294,9.11,701,731,116
295,9.15,698,732,113
296,9.18,704,735,117
297,9.21,703,742,116
298,9.24,696,731,114
299,9.27,703,735,117
300,9.30,704,731,116
301,9.33,697,729,115
302,9.36,702,735,115
303,9.40,704,734,116
304,9.43,709,727,116
305,9.46,700,733,116
306,9.49,704,735,116
307,9.52,701,733,116
308,9.55,698,732,114
309,9.58,704,735,117
310,9.61,703,735,116
311,9.65,696,731,114
312,9.68,703,735,117
313,9.71,703,724,116
314,9.74,696,731,114
315,9.77,703,735,117
316,9.80,703,729,116
317,9.83,696,730,114
318,9.86,703,735,117
319,9.89,703,728,116
320,9.93,696,731,114
321,9.96,703,735,117
322,9.99,703,726,116
323,10.02,698,735,116
324,10.05,711,735,118
325,10.08,703,732,114
326,10.12,704,726,116
327,10.15,702,731,116
328,10.18,696,735,117
329,10.21,696,734,113
330,10.25,704,731,114
331,10.28,704,730,116
332,10.31,700,734,116
333,10.34,698,735,117
334,10.37,703,733,112
335,10.41,704,728,115
336,10.44,703,743,116
337,10.47,698,735,116
338,10.50,711,735,117
339,10.53,704,732,114
340,10.57,704,728,115
341,10.60,700,734,116
342,10.63,700,735,117
343,10.66,703,733,116
344,10.70,704,726,115
345,10.73,701,733,116
346,10.76,696,735,117
347,10.79,703,733,119
348,10.82,704,726,116
349,10.86,701,733,116
350,10.89,696,735,117
351,10.92,703,733,119
352,10.95,704,726,115
353,10.99,701,733,116
