Time,D0,D1,D2
9.40,523,659,592
9.43,515,666,600
9.46,510,667,608
9.49,510,659,597
9.52,513,656,592
9.55,518,657,589
9.58,524,657,590
9.61,514,662,595
9.65,511,674,576
9.68,511,662,602
9.71,510,659,593
9.74,512,656,591
9.77,524,655,589
9.80,530,656,589
9.83,518,659,592
9.86,512,649,602
9.89,510,664,605
9.93,511,659,593
9.96,513,656,591
9.99,522,655,590
10.02,522,665,605
10.05,511,657,591
10.08,518,662,601
10.12,511,657,591
10.15,517,662,598
10.18,512,657,590
10.21,516,659,595
10.25,514,659,592
10.28,514,659,593
10.31,516,660,592
10.34,513,659,592
10.37,518,661,594
10.41,514,658,592
10.44,523,662,593
10.47,513,660,592
10.50,521,665,593
10.53,512,660,593
10.57,520,665,595
10.60,515,660,594
10.63,521,663,594
10.66,513,660,593
10.70,520,663,594
10.73,514,660,593
10.76,519,663,594
10.79,514,660,594
10.82,519,664,595
10.86,513,663,593
10.89,518,663,595
10.92,514,661,596
10.95,519,662,595
10.99,513,660,594
11.02,522,666,595
11.05,516,662,594
11.08,523,665,596
11.11,513,659,594
11.15,527,666,597
11.18,514,659,593
11.21,527,668,595
11.24,516,662,595
11.28,521,665,596
11.31,515,664,594
11.34,520,661,595
11.37,517,661,597
11.41,516,659,593
11.44,518,661,598
11.47,514,659,592
11.50,519,661,602
11.53,513,659,592
11.57,522,664,605
11.60,515,657,591
11.63,527,668,611
11.66,514,658,592
11.70,529,673,580
11.73,515,656,593
11.76,535,646,604
11.79,514,659,594
11.82,524,662,595
11.86,515,658,599
11.89,515,657,593
11.92,522,664,609
11.95,514,657,592
11.98,515,667,601
12.02,515,658,595
12.05,519,657,593
12.08,519,663,604
12.11,515,656,592
12.15,530,674,580
12.18,513,656,594
12.21,519,666,597
12.24,513,658,595
12.28,520,660,594
12.31,516,658,599
12.34,516,657,594
12.37,519,660,601
12.40,514,656,592
12.44,525,663,607
12.47,514,657,593
12.50,528,671,615
12.53,513,656,593
12.57,536,645,606
12.60,514,656,593
12.63,512,666,599
12.66,515,657,596
12.69,521,659,595
12.73,517,660,598
12.76,515,656,592
12.79,524,667,612
12.82,515,656,593
12.86,513,663,597
12.89,517,658,598
12.92,515,657,592
12.95,526,670,610
12.98,513,657,593
13.02,525,660,595
13.05,519,660,602
13.08,514,656,593
13.11,533,643,606
13.15,515,658,597
13.18,518,658,594
13.21,522,664,608
13.24,513,656,594
13.28,507,666,600
13.31,517,658,599
13.34,516,657,593
13.37,522,664,609
13.40,514,656,593
13.44,496,666,600
13.47,515,658,598
13.50,517,659,594
13.53,522,663,608
13.56,514,656,595
13.60,500,667,603
13.63,517,658,598
13.66,517,657,593
13.69,524,666,612
13.73,515,656,595
13.76,508,666,601
13.79,517,659,599
13.82,517,658,595
13.85,522,664,610
13.89,515,656,594
13.92,500,667,600
13.95,517,659,599
13.98,516,657,595
14.02,526,670,617
14.05,515,657,597
14.08,524,660,597
14.11,519,662,605
14.15,515,656,592
14.18,528,668,601
14.21,517,658,597
14.24,516,657,593
14.27,527,669,611
14.31,515,657,595
14.34,527,663,598
14.37,522,663,605
14.40,518,659,596
14.44,538,643,604
14.47,517,661,601
14.50,519,658,595
14.53,535,670,609
14.56,518,661,601
14.60,518,659,595
14.63,500,668,600
14.66,521,664,609
14.69,516,658,597
14.73,520,659,595
14.76,535,653,602
14.79,518,661,604
14.82,514,657,595
14.85,520,659,594
14.89,530,653,604
14.92,517,660,602
14.95,514,657,595
14.98,521,659,594
15.02,530,679,607
15.05,516,661,603
15.08,515,657,596
15.11,525,660,596
15.15,526,672,581
15.18,517,660,603
15.21,518,659,596
15.24,526,664,598
15.27,523,668,617
15.31,517,659,597
15.34,516,659,595
15.37,534,668,599
15.40,521,664,610
15.44,517,659,596
15.47,520,659,595
15.50,533,653,605
15.53,519,662,604
15.56,516,659,596
15.60,524,661,596
15.63,527,674,591
15.66,517,660,601
15.69,517,658,595
15.73,493,666,599
15.76,520,663,608
15.79,515,658,595
15.82,525,661,595
15.85,522,665,612
15.89,515,658,596
15.92,523,661,595
15.95,521,664,609
15.98,513,656,594
16.02,529,663,596
16.05,516,659,600
16.08,514,656,592
16.11,530,676,595
16.14,513,656,593
16.18,520,660,594
16.21,517,660,600
16.24,514,657,592
16.27,525,667,612
16.31,513,656,593
16.34,536,653,606
16.37,513,656,592
16.40,524,666,598
16.43,514,657,594
16.47,522,661,595
16.50,515,658,595
16.53,519,660,595
16.56,515,659,596
16.60,516,658,592
16.63,515,659,598
16.66,518,659,594
16.69,517,660,598
16.73,519,659,595
16.76,517,660,599
16.79,519,660,594
16.82,518,660,600
16.85,517,659,594
16.89,518,661,601
16.92,516,659,593
16.95,518,661,601
16.98,515,659,593
17.01,519,661,600
17.05,516,658,592
17.08,519,661,600
17.11,515,658,592
17.14,519,661,602
17.18,514,657,592
17.21,521,664,604
17.24,514,657,592
17.27,523,665,607
17.30,513,656,591
17.34,524,667,611
17.37,512,657,591
17.40,528,671,607
17.43,513,657,592
17.47,533,672,575
17.50,512,656,592
17.53,531,653,591
17.56,513,657,591
17.60,531,639,606
17.63,513,657,592
17.66,533,649,607
17.69,513,657,592
17.72,526,651,602
17.76,513,657,592
17.79,521,639,594
17.82,513,657,592
17.85,535,677,581
17.89,512,656,591
17.92,530,673,607
17.95,512,657,592
17.98,526,669,609
18.01,512,657,592
18.05,521,664,604
18.08,513,657,591
18.11,518,661,599
18.14,514,658,592
18.18,515,659,595
18.21,516,659,593
18.24,513,657,593
18.27,522,663,596
18.30,512,657,592
18.34,515,662,603
18.37,511,656,591
18.40,533,677,593
18.43,511,656,591
18.47,525,667,608
18.50,511,656,591
18.53,518,661,599
18.56,512,657,591
18.59,514,658,595
18.63,515,659,593
18.66,512,657,592
18.69,524,665,598
18.72,511,656,591
18.76,533,638,596
18.79,510,656,590
18.82,527,669,610
18.85,511,656,590
18.88,518,662,600
18.92,512,657,591
18.95,513,659,594
18.98,517,661,594
19.01,512,657,592
19.05,503,667,603
19.08,511,656,591
19.11,531,675,613
19.14,511,656,590
19.17,522,664,603
19.21,512,657,591
19.24,516,660,596
19.27,515,660,593
19.30,512,658,593
19.34,522,668,602
19.37,511,657,591
19.40,532,676,613
19.43,510,655,590
19.47,518,662,600
19.50,511,657,591
19.53,512,658,594
19.56,517,661,595
19.59,510,656,591
19.63,523,642,597
19.66,509,656,590
19.69,524,668,608
19.72,510,656,590
19.76,518,662,600
19.79,511,657,591
19.82,513,659,595
19.85,514,659,595
19.88,513,659,595
19.92,524,666,600
19.95,512,657,593
19.98,529,641,577
20.01,512,658,592
20.04,527,670,610
20.08,512,658,593
20.11,519,664,602
20.14,514,659,593
20.17,515,661,598
20.21,517,661,595
20.24,514,660,595
20.27,522,664,598
20.30,513,659,593
20.34,526,669,603
20.37,512,658,593
20.40,530,642,605
20.43,511,658,593
20.46,534,675,584
20.50,512,659,593
20.53,533,676,591
20.56,512,659,593
20.59,533,679,585
20.63,512,659,593
20.66,534,671,600
20.69,512,658,593
20.72,532,656,606
20.75,512,659,593
20.79,500,670,603
20.82,512,659,594
20.85,527,668,600
20.88,512,659,595
20.92,525,665,598
20.95,510,658,594
20.98,522,664,596
21.01,513,660,595
21.04,520,663,596
21.08,514,660,596
21.11,518,662,595
21.14,514,661,597
21.17,516,661,594
21.21,515,661,598
21.24,514,659,593
21.27,517,663,600
21.30,510,658,591
21.34,518,665,607
21.37,509,657,591
21.40,530,637,603
21.43,510,658,592
21.46,520,663,595
21.50,513,661,597
21.53,514,660,593
21.56,516,663,601
21.59,511,657,592
21.62,521,668,611
