Time,D0,D1,D2
9.86,381,591,502
9.89,394,589,499
9.93,386,598,512
9.96,382,590,503
9.99,393,588,500
10.02,387,591,502
10.05,393,574,514
10.08,382,588,500
10.12,385,588,501
10.15,405,601,516
10.18,384,588,502
10.21,384,587,501
10.25,401,597,513
10.28,385,588,503
10.31,384,587,501
10.34,399,596,511
10.37,386,589,504
10.41,384,587,501
10.44,397,594,510
10.47,387,590,505
10.50,384,587,502
10.53,394,592,508
10.57,389,591,508
10.60,384,587,502
10.63,391,592,507
10.66,392,604,512
10.70,384,589,502
10.73,389,591,506
10.76,399,590,488
10.79,385,588,503
10.82,388,590,504
10.86,392,606,522
10.89,386,589,504
10.92,387,589,504
10.95,404,599,515
10.99,388,591,506
11.02,386,589,504
11.05,398,596,512
11.08,389,592,508
11.11,387,590,504
11.15,398,596,512
11.18,390,594,509
11.21,387,591,505
11.24,397,595,511
11.28,391,593,510
11.31,387,589,505
11.34,394,593,510
11.37,394,596,514
11.41,387,589,505
11.44,393,592,509
11.47,401,599,513
11.50,388,590,506
11.53,391,593,508
11.57,377,599,526
11.60,388,591,507
11.63,390,591,507
11.66,408,602,519
11.70,390,591,508
11.73,390,590,507
11.76,404,598,516
11.79,391,592,510
11.82,389,590,507
11.86,400,596,516
11.89,393,594,513
11.92,390,590,508
11.95,398,595,513
11.98,395,595,515
12.02,389,590,508
12.05,395,593,512
12.08,400,599,518
12.11,390,590,508
12.15,394,592,511
12.18,399,581,498
12.21,390,590,508
12.24,394,591,510
12.28,394,599,521
12.31,391,590,509
12.34,393,591,510
12.37,412,606,526
12.40,392,591,510
12.44,393,591,510
12.47,412,606,526
12.50,393,592,510
12.53,394,592,511
12.57,414,607,527
12.60,393,592,511
12.63,394,593,511
12.66,411,603,522
12.69,394,594,513
12.73,393,592,510
12.76,401,597,516
12.79,401,601,522
12.82,393,594,511
12.86,397,596,513
12.89,393,618,529
12.92,395,597,514
12.95,394,595,511
12.98,403,600,516
13.02,402,607,524
13.05,394,595,512
13.08,396,596,513
13.11,413,604,522
13.15,397,598,517
13.18,394,594,512
13.21,399,600,515
13.24,398,613,529
13.28,396,599,515
13.31,395,603,512
13.34,401,600,516
13.37,405,601,533
13.40,396,595,515
13.44,396,594,513
13.47,403,598,517
13.50,408,594,502
13.53,396,595,514
13.56,398,597,515
13.60,416,610,526
13.63,398,599,517
13.66,396,603,514
13.69,405,601,519
13.73,404,605,525
13.76,396,597,514
13.79,400,598,516
13.82,408,613,531
13.85,398,597,517
13.89,398,595,514
13.92,405,599,519
13.95,405,603,526
13.98,397,595,515
14.02,400,596,516
14.05,418,607,526
14.08,399,598,519
14.11,397,595,515
14.15,403,598,518
14.18,389,591,535
14.21,398,597,517
14.24,399,596,515
14.27,407,601,520
14.31,408,606,511
14.34,398,598,516
14.37,400,602,516
14.40,414,608,524
14.44,403,601,523
14.47,399,595,516
14.50,402,599,518
14.53,422,609,530
14.56,401,597,519
14.60,399,594,516
14.63,405,597,519
14.66,399,580,536
14.69,400,595,518
14.73,400,594,517
14.76,408,599,521
14.79,411,599,501
14.82,400,595,518
14.85,402,595,517
14.89,412,601,523
14.92,408,603,529
14.95,400,595,517
14.98,402,595,518
15.02,416,602,525
15.05,405,600,526
15.08,400,595,518
15.11,404,596,519
15.15,421,606,529
15.18,404,598,524
15.21,401,595,518
15.24,405,597,520
15.27,418,610,532
15.31,403,597,522
15.34,401,595,519
15.37,406,597,521
15.40,405,614,536
15.44,403,597,521
15.47,402,595,519
15.50,408,599,522
15.53,394,589,534
15.56,403,597,521
15.60,403,596,519
15.63,410,599,523
15.66,416,598,527
15.69,403,596,521
15.73,403,596,520
15.76,411,600,524
15.79,415,594,527
15.82,403,597,521
15.85,404,596,520
15.89,411,600,524
15.92,415,594,502
15.95,403,597,521
15.98,404,597,520
16.02,413,601,525
16.05,413,606,527
16.08,403,597,521
16.11,405,597,521
16.14,416,603,527
16.18,410,604,532
16.21,404,597,521
16.24,406,598,522
16.27,418,604,528
16.31,409,603,531
16.34,404,597,521
16.37,406,598,522
16.40,421,605,529
16.43,409,602,529
16.47,404,597,521
16.50,407,599,523
16.53,423,607,531
16.56,408,602,528
16.60,404,597,522
16.63,408,599,523
16.66,426,611,534
16.69,407,601,526
16.73,405,598,522
16.76,410,600,524
16.79,397,616,539
16.82,407,600,525
16.85,406,599,523
16.89,413,602,527
16.92,419,596,509
16.95,406,599,524
16.98,407,599,523
17.01,421,606,531
17.05,409,602,528
17.08,406,598,523
17.11,411,601,526
17.14,405,583,542
17.18,406,599,524
17.21,407,599,524
17.24,421,606,531
17.27,410,603,529
17.30,407,599,524
17.34,412,602,527
17.37,417,587,507
17.40,407,599,524
17.43,409,600,525
17.47,428,613,538
17.50,409,601,527
17.53,408,600,525
17.56,419,606,532
17.60,412,604,530
17.63,408,600,524
17.66,415,604,530
17.69,414,606,532
17.72,408,600,525
17.76,414,604,529
17.79,416,607,534
17.82,408,600,525
17.85,414,604,529
17.89,417,608,535
17.92,408,601,525
17.95,414,604,529
17.98,416,608,533
18.01,409,601,526
18.05,416,606,531
18.08,414,607,531
18.11,409,603,526
18.14,419,609,533
18.18,412,605,529
18.21,410,602,526
18.24,424,610,537
18.27,411,603,528
18.30,411,602,527
18.34,432,618,544
18.37,410,601,527
18.40,413,603,529
18.43,424,609,535
18.47,410,601,526
18.50,418,606,533
18.53,413,603,529
18.56,411,602,527
18.59,433,618,543
18.63,410,601,527
18.66,414,603,530
18.69,417,607,533
18.72,410,601,526
18.76,423,609,537
18.79,411,601,527
18.82,412,602,528
18.85,415,601,538
18.88,410,601,527
18.92,419,606,534
18.95,412,602,528
18.98,412,602,528
19.01,404,602,525
19.05,410,601,527
19.08,419,606,534
19.11,412,602,528
19.14,413,602,528
19.17,408,598,537
19.21,411,601,527
19.24,421,608,536
19.27,413,602,528
19.30,414,603,529
19.34,424,610,536
19.37,411,601,527
19.40,424,610,539
19.43,412,602,528
19.47,414,604,530
19.50,421,608,534
19.53,412,602,528
19.56,428,613,543
19.59,412,602,528
19.63,416,604,531
19.66,418,607,532
19.69,412,602,528
19.72,432,617,545
19.76,413,603,528
19.79,417,605,532
19.82,418,607,532
19.85,413,603,529
19.88,434,620,545
19.92,413,603,528
19.95,418,607,534
19.98,417,607,531
20.01,414,604,530
20.04,398,606,519
20.08,413,605,529
20.11,421,616,537
20.14,415,608,530
20.17,415,612,531
20.21,425,612,537
20.24,414,603,530
20.27,431,618,547
20.30,414,604,529
20.34,420,608,536
20.37,417,606,532
20.40,417,607,532
20.43,421,610,533
20.46,415,613,531
20.50,407,616,539
20.53,414,606,531
20.56,436,611,518
20.59,415,608,530
20.63,431,626,550
20.66,415,605,531
20.69,428,616,547
20.72,415,612,531
20.75,427,616,546
20.79,415,609,531
20.82,427,617,545
20.85,416,612,531
20.88,427,614,546
20.92,415,604,531
20.95,430,617,548
20.98,416,605,531
21.01,438,614,536
21.04,416,605,532
21.08,406,616,539
21.11,417,607,533
21.14,425,611,535
21.17,418,606,534
21.21,420,606,533
21.24,421,608,537
21.27,417,604,532
21.30,425,613,546
21.34,416,605,532
21.37,435,601,541
21.40,417,606,534
21.43,424,609,534
21.46,420,611,538
21.50,418,605,532
21.53,432,621,519
21.56,417,605,534
21.59,424,607,534
21.62,422,608,541
21.66,418,604,533
21.69,440,610,540
21.72,419,606,537
21.75,420,605,533
21.79,431,620,516
21.82,418,605,535
21.85,423,605,533
21.88,424,610,546
21.92,418,604,533
21.95,428,611,536
21.98,421,606,538
22.01,419,604,533
22.04,436,621,544
22.08,419,605,536
22.11,420,605,533
22.14,432,620,531
22.17,419,605,536
22.21,421,605,534
22.24,433,622,541
22.27,419,606,536
22.30,421,605,533
22.33,434,614,544
22.37,420,606,537
22.40,421,606,534
22.43,434,623,540
22.46,420,606,536
22.50,423,606,534
22.53,428,614,553
22.56,419,605,534
22.59,430,608,536
22.62,423,608,541
22.66,420,605,534
22.69,437,619,544
22.72,420,605,536
22.75,427,607,536
22.79,423,608,541
22.82,421,605,534
22.85,434,621,516
22.88,420,605,535
22.92,431,609,537
22.95,423,607,539
22.98,422,605,534
23.01,432,617,555
23.04,421,606,536
23.08,434,611,538
23.11,424,608,540
23.14,422,605,535
23.17,436,621,525
23.20,422,606,537
23.24,427,607,536
23.27,427,611,546
23.30,421,605,535
23.33,407,614,539
23.37,423,608,540
23.40,423,606,535
23.43,433,619,548
23.46,422,606,536
23.50,431,609,537
23.53,425,609,541
23.56,422,606,535
23.59,435,621,547
23.62,422,606,536
23.66,434,611,539
23.69,425,608,541
23.72,423,606,536
23.75,435,621,518
23.79,422,607,537
23.82,433,611,539
23.85,426,609,541
23.88,424,607,536
23.92,433,617,554
23.95,423,607,536
23.98,406,615,541
24.01,424,608,539
24.04,425,608,537
24.08,429,614,547
24.11,423,609,536
24.14,443,624,548
24.17,423,609,538
24.20,431,611,538
24.24,426,610,541
24.27,425,608,536
24.30,432,617,553
24.33,424,608,537
24.37,443,596,546
24.40,424,609,538
24.43,432,613,540
24.46,426,612,540
24.50,426,610,537
24.53,429,614,545
24.56,423,610,536
24.59,435,622,555
24.62,423,609,537
24.66,445,595,548
24.69,424,608,538
24.72,435,613,541
24.75,425,609,540
24.78,428,609,538
24.82,428,611,542
24.85,425,608,537
24.88,430,613,547
24.91,424,608,538
24.95,435,618,553
24.98,424,608,537
25.01,441,624,555
25.04,424,610,538
25.07,446,626,540
25.11,424,618,538
25.14,442,605,548
25.17,425,610,539
25.20,431,618,544
25.24,426,611,540
25.27,434,625,541
25.30,427,611,541
25.33,429,618,539
25.36,428,619,542
25.40,427,610,538
25.43,430,614,547
25.46,426,610,538
25.49,438,622,558
25.53,426,619,539
25.56,425,614,545
25.59,426,610,540
25.62,431,612,540
25.66,429,612,545
25.69,426,609,539
25.72,440,624,542
25.75,426,609,540
25.78,435,613,541
25.82,430,614,545
25.85,427,615,539
25.88,443,621,539
25.91,426,610,540
25.95,432,613,540
25.98,430,613,546
26.01,426,610,539
26.04,442,627,536
26.07,426,611,540
26.11,437,615,542
26.14,429,611,543
26.17,429,609,540
26.20,433,614,550
26.23,427,608,540
26.27,444,625,537
26.30,427,608,540
26.33,440,615,544
26.36,428,609,543
26.40,431,610,541
26.43,431,612,546
26.46,428,608,540
26.49,437,618,557
26.53,427,608,540
26.56,445,604,549
26.59,428,609,541
26.62,437,613,543
26.65,430,610,543
26.69,430,610,540
26.72,433,613,548
26.75,428,608,540
26.78,438,620,557
26.82,427,609,540
26.85,447,621,536
26.88,429,611,543
26.91,420,619,548
26.94,430,611,543
26.98,440,616,545
27.01,430,616,546
27.04,437,616,545
27.07,432,614,545
27.11,434,614,543
27.14,431,613,544
27.17,433,613,542
27.20,431,613,544
27.23,433,614,542
27.27,431,614,544
27.30,433,615,542
27.33,431,616,544
27.36,433,614,542
27.40,431,613,543
27.43,434,614,543
27.46,431,614,543
27.49,435,617,543
27.53,430,614,543
27.56,437,616,545
27.59,430,613,543
27.62,440,617,546
27.65,430,611,543
27.69,442,618,546
27.72,430,611,543
27.75,441,617,546
27.78,431,611,543
27.81,438,615,545
27.85,431,612,543
27.88,436,614,544
27.91,431,612,544
27.94,435,614,544
27.98,432,612,544
28.01,434,613,543
28.04,433,613,546
28.07,434,613,543
28.11,434,613,546
28.14,432,612,543
28.17,434,614,547
28.20,432,612,542
28.23,434,614,547
28.27,432,611,542
28.30,435,614,547
28.33,432,611,542
28.36,435,614,547
28.40,432,612,543
28.43,434,613,546
28.46,433,612,543
28.49,433,613,545
28.52,434,613,544
28.56,433,613,545
28.59,437,614,545
28.62,432,612,545
28.65,439,615,546
28.69,432,612,545
28.72,440,616,546
28.75,432,612,544
28.78,440,616,547
28.81,433,612,545
28.85,441,616,547
28.88,433,612,545
28.91,441,617,547
28.94,433,612,545
28.98,442,617,548
29.01,433,612,545
29.04,445,619,549
29.07,433,612,545
29.11,443,621,551
29.14,433,612,544
29.17,418,604,553
29.20,433,611,544
29.23,454,630,531
29.27,432,611,544
29.30,446,622,559
29.33,433,611,544
29.36,440,617,551
29.39,434,612,544
29.43,436,614,548
29.46,436,614,546
29.49,435,613,546
29.52,444,619,551
29.56,433,612,544
29.59,455,627,535
29.62,433,611,544
29.65,442,619,553
29.68,434,612,545
29.72,437,614,548
29.75,438,615,547
29.78,435,612,546
29.81,431,616,554
29.85,434,612,544
29.88,450,625,561
29.91,434,612,544
29.94,440,616,550
29.98,436,613,545
30.01,436,613,547
30.04,442,617,549
30.07,434,612,545
