2.16	 C0:722	 C1:750	 C2:205
2.08	 D0:54	 D1:166	 D2:151

2.19	 C0:722	 C1:750	 C2:205
2.11	 D0:54	 D1:166	 D2:151

2.22	 C0:722	 C1:750	 C2:205
2.14	 D0:54	 D1:166	 D2:151

2.25	 C0:722	 C1:750	 C2:205
2.17	 D0:54	 D1:166	 D2:151

2.28	 C0:722	 C1:750	 C2:205
2.20	 D0:54	 D1:166	 D2:151

2.31	 C0:722	 C1:750	 C2:205
2.23	 D0:54	 D1:166	 D2:151

2.34	 C0:722	 C1:750	 C2:205
2.26	 D0:54	 D1:166	 D2:151

2.38	 C0:722	 C1:750	 C2:205
2.29	 D0:54	 D1:166	 D2:151

2.41	 C0:722	 C1:750	 C2:205
2.32	 D0:54	 D1:166	 D2:151

2.44	 C0:722	 C1:750	 C2:205
2.36	 D0:54	 D1:166	 D2:151

2.47	 C0:722	 C1:750	 C2:205
2.38	 D0:54	 D1:166	 D2:151

2.50	 C0:722	 C1:750	 C2:205
2.42	 D0:54	 D1:166	 D2:151

2.53	 C0:722	 C1:750	 C2:205
2.45	 D0:54	 D1:166	 D2:151

2.56	 C0:722	 C1:750	 C2:205
2.48	 D0:54	 D1:166	 D2:151

2.59	 C0:722	 C1:750	 C2:205
2.51	 D0:54	 D1:166	 D2:151

2.63	 C0:722	 C1:750	 C2:205
2.54	 D0:54	 D1:166	 D2:151

2.66	 C0:722	 C1:750	 C2:205
2.57	 D0:54	 D1:166	 D2:151

2.69	 C0:722	 C1:750	 C2:205
2.60	 D0:54	 D1:166	 D2:151

2.72	 C0:722	 C1:750	 C2:205
2.63	 D0:54	 D1:166	 D2:151

2.75	 C0:722	 C1:750	 C2:205
2.66	 D0:54	 D1:166	 D2:151

2.78	 C0:722	 C1:750	 C2:205
2.69	 D0:54	 D1:166	 D2:151

2.81	 C0:722	 C1:750	 C2:205
2.72	 D0:54	 D1:166	 D2:151

2.84	 C0:722	 C1:750	 C2:205
2.75	 D0:54	 D1:166	 D2:151

2.87	 C0:722	 C1:750	 C2:205
2.78	 D0:54	 D1:166	 D2:151

2.91	 C0:722	 C1:750	 C2:205
2.81	 D0:54	 D1:166	 D2:151

2.94	 C0:722	 C1:750	 C2:205
2.84	 D0:54	 D1:166	 D2:151

2.97	 C0:722	 C1:750	 C2:205
2.87	 D0:54	 D1:166	 D2:151

3.00	 C0:722	 C1:750	 C2:205
2.90	 D0:54	 D1:166	 D2:151

3.03	 C0:722	 C1:750	 C2:205
2.93	 D0:54	 D1:166	 D2:151

