3.95	 D0:20	 D1:104	 D2:112

4.12	 C0:718	 C1:751	 C2:134
3.98	 D0:20	 D1:104	 D2:112

4.15	 C0:718	 C1:751	 C2:134
4.01	 D0:20	 D1:104	 D2:112

4.19	 C0:718	 C1:751	 C2:134
4.04	 D0:20	 D1:104	 D2:112

4.22	 C0:718	 C1:751	 C2:134
4.07	 D0:20	 D1:104	 D2:112

4.25	 C0:718	 C1:751	 C2:134
4.10	 D0:20	 D1:104	 D2:111

4.28	 C0:718	 C1:751	 C2:134
4.13	 D0:20	 D1:104	 D2:111

4.31	 C0:718	 C1:751	 C2:134
4.16	 D0:20	 D1:104	 D2:112

4.34	 C0:718	 C1:751	 C2:134
4.19	 D0:20	 D1:104	 D2:112

4.37	 C0:718	 C1:751	 C2:134
4.23	 D0:20	 D1:104	 D2:111

4.40	 C0:718	 C1:751	 C2:134
4.25	 D0:20	 D1:104	 D2:111

4.43	 C0:718	 C1:751	 C2:134
4.28	 D0:20	 D1:104	 D2:112

4.47	 C0:718	 C1:751	 C2:134
4.32	 D0:20	 D1:104	 D2:112

4.50	 C0:718	 C1:751	 C2:134
4.34	 D0:20	 D1:104	 D2:111

4.53	 C0:719	 C1:751	 C2:134
4.38	 D0:20	 D1:104	 D2:112

4.56	 C0:718	 C1:751	 C2:134
4.41	 D0:20	 D1:104	 D2:111

4.59	 C0:718	 C1:751	 C2:134
4.44	 D0:20	 D1:104	 D2:112

4.62	 C0:718	 C1:751	 C2:134
4.47	 D0:20	 D1:104	 D2:111

4.65	 C0:718	 C1:751	 C2:134
4.50	 D0:20	 D1:104	 D2:112

4.68	 C0:718	 C1:751	 C2:134
4.53	 D0:20	 D1:104	 D2:112

4.72	 C0:718	 C1:751	 C2:134
4.56	 D0:20	 D1:103	 D2:111

4.75	 C0:718	 C1:751	 C2:134
4.59	 D0:20	 D1:104	 D2:112

4.78	 C0:718	 C1:751	 C2:134
4.62	 D0:20	 D1:103	 D2:112

4.81	 C0:718	 C1:751	 C2:134
4.65	 D0:20	 D1:104	 D2:111

4.84	 C0:718	 C1:751	 C2:134
4.68	 D0:20	 D1:104	 D2:112

4.87	 C0:718	 C1:751	 C2:134
4.71	 D0:20	 D1:104	 D2:112

4.90	 C0:718	 C1:751	 C2:134
4.74	 D0:20	 D1:104	 D2:112

4.93	 C0:718	 C1:751	 C2:134
4.77	 D0:20	 D1:104	 D2:111

4.97	 C0:718	 C1:751	 C2:134
4.80	 D0:20	 D1:104	 D2:112

5.00	 C0:718	 C1:751	 C2:134
4.83	 D0:20	 D1:104	 D2:112

5.03	 C0:718	 C1:751	 C2:134
4.86	 D0:20	 D1:104	 D2:112

5.06	 C0:718	 C1:751	 C2:134
4.89	 D0:20	 D1:104	 D2:111

5.09	 C0:718	 C1:751	 C2:134
4.92	 D0:20	 D1:104	 D2:111

5.12	 C0:718	 C1:751	 C2:135
4.95	 D0:20	 D1:104	 D2:112

5.15	 C0:718	 C1:751	 C2:134
4.98	 D0:20	 D1:104	 D2:112

5.18	 C0:718	 C1:751	 C2:134
5.01	 D0:20	 D1:104	 D2:112

5.22	 C0:718	 C1:751	 C2:134
5.04	 D0:20	 D1:104	 D2:112

5.25	 C0:718	 C1:751	 C2:134
5.07	 D0:20	 D1:104	 D2:112

5.28	 C0:718	 C1:751	 C2:134
5.10	 D0:20	 D1:104	 D2:111

5.31	 C0:718	 C1:751	 C2:134
