0.96	 D0:22	 D1:113	 D2:69

1.03	 C0:65	 C1:302	 C2:116
1.03	 A0:88	 A1:512	 A2:221
1.06	 B0:233	 B1:327	 B2:138
0.99	 D0:22	 D1:113	 D2:68

1.06	 C0:66	 C1:302	 C2:116
1.06	 A0:88	 A1:512	 A2:221
1.10	 B0:233	 B1:327	 B2:138
1.02	 D0:22	 D1:113	 D2:68

1.09	 C0:66	 C1:302	 C2:116
1.09	 A0:88	 A1:512	 A2:221
1.13	 B0:234	 B1:327	 B2:138
1.05	 D0:22	 D1:113	 D2:69

1.12	 C0:66	 C1:302	 C2:116
1.12	 A0:88	 A1:512	 A2:221
1.16	 B0:233	 B1:327	 B2:138
1.08	 D0:22	 D1:113	 D2:69

1.15	 C0:66	 C1:302	 C2:116
1.15	 A0:88	 A1:512	 A2:221
1.19	 B0:233	 B1:327	 B2:138
1.11	 D0:22	 D1:113	 D2:68

1.18	 C0:66	 C1:302	 C2:116
1.18	 A0:88	 A1:512	 A2:221
1.22	 B0:233	 B1:327	 B2:138
1.13	 D0:22	 D1:113	 D2:69

1.21	 C0:66	 C1:302	 C2:116
1.21	 A0:88	 A1:512	 A2:221
1.25	 B0:233	 B1:327	 B2:138
1.16	 D0:22	 D1:113	 D2:68

1.24	 C0:66	 C1:302	 C2:116
1.24	 A0:88	 A1:512	 A2:221
1.28	 B0:233	 B1:327	 B2:138
1.19	 D0:22	 D1:113	 D2:68

1.27	 C0:66	 C1:302	 C2:116
1.27	 A0:88	 A1:512	 A2:221
1.31	 B0:233	 B1:327	 B2:138
1.22	 D0:22	 D1:113	 D2:68

1.30	 C0:65	 C1:302	 C2:116
1.30	 A0:88	 A1:512	 A2:221
1.35	 B0:234	 B1:327	 B2:138
1.25	 D0:22	 D1:113	 D2:69

1.33	 C0:66	 C1:302	 C2:116
1.33	 A0:88	 A1:512	 A2:221
1.38	 B0:233	 B1:327	 B2:138
1.28	 D0:22	 D1:113	 D2:68

1.36	 C0:65	 C1:302	 C2:116
1.36	 A0:88	 A1:512	 A2:221
1.41	 B0:233	 B1:327	 B2:138
1.31	 D0:22	 D1:113	 D2:69

1.39	 C0:66	 C1:302	 C2:116
1.39	 A0:88	 A1:512	 A2:221
1.44	 B0:233	 B1:327	 B2:138
1.34	 D0:22	 D1:113	 D2:69

1.42	 C0:66	 C1:302	 C2:116
1.42	 A0:88	 A1:512	 A2:221
1.47	 B0:233	 B1:327	 B2:138
1.37	 D0:22	 D1:113	 D2:68

1.45	 C0:66	 C1:302	 C2:116
1.45	 A0:88	 A1:512	 A2:221
1.50	 B0:233	 B1:327	 B2:138
1.40	 D0:22	 D1:113	 D2:68

1.48	 C0:66	 C1:302	 C2:116
1.48	 A0:88	 A1:512	 A2:221
1.53	 B0:233	 B1:327	 B2:138
1.43	 D0:22	 D1:113	 D2:68

