0.96	 D0:19	 D1:118	 D2:52

1.03	 C0:60	 C1:280	 C2:117
1.03	 A0:78	 A1:498	 A2:212
1.06	 B0:216	 B1:313	 B2:133
0.99	 D0:19	 D1:118	 D2:52

1.06	 C0:60	 C1:280	 C2:117
1.06	 A0:78	 A1:498	 A2:212
1.10	 B0:216	 B1:313	 B2:133
1.02	 D0:19	 D1:118	 D2:52

1.09	 C0:61	 C1:280	 C2:117
1.09	 A0:78	 A1:498	 A2:212
1.13	 B0:216	 B1:313	 B2:133
1.05	 D0:19	 D1:118	 D2:52

1.12	 C0:60	 C1:280	 C2:117
1.12	 A0:78	 A1:498	 A2:212
1.16	 B0:216	 B1:313	 B2:133
1.08	 D0:19	 D1:118	 D2:52

1.15	 C0:60	 C1:280	 C2:117
1.15	 A0:78	 A1:498	 A2:211
1.19	 B0:216	 B1:313	 B2:133
1.11	 D0:19	 D1:118	 D2:52

1.18	 C0:61	 C1:280	 C2:117
1.18	 A0:78	 A1:498	 A2:212
1.22	 B0:216	 B1:313	 B2:133
1.13	 D0:19	 D1:118	 D2:52

1.21	 C0:61	 C1:280	 C2:117
1.21	 A0:78	 A1:498	 A2:211
1.25	 B0:216	 B1:313	 B2:133
1.16	 D0:19	 D1:118	 D2:52

1.24	 C0:60	 C1:280	 C2:117
1.24	 A0:78	 A1:498	 A2:212
1.28	 B0:216	 B1:312	 B2:133
1.19	 D0:19	 D1:118	 D2:52

1.27	 C0:61	 C1:280	 C2:117
1.27	 A0:78	 A1:498	 A2:211
1.31	 B0:216	 B1:313	 B2:133
1.22	 D0:19	 D1:118	 D2:52

1.30	 C0:60	 C1:280	 C2:117
1.30	 A0:78	 A1:498	 A2:212
1.35	 B0:216	 B1:313	 B2:133
1.25	 D0:19	 D1:118	 D2:52

1.33	 C0:60	 C1:280	 C2:117
1.33	 A0:78	 A1:498	 A2:211
1.38	 B0:216	 B1:313	 B2:133
1.28	 D0:19	 D1:118	 D2:52

1.36	 C0:60	 C1:280	 C2:117
1.36	 A0:78	 A1:498	 A2:211
1.41	 B0:216	 B1:313	 B2:133
1.31	 D0:19	 D1:118	 D2:52

1.39	 C0:61	 C1:280	 C2:117
1.39	 A0:78	 A1:498	 A2:211
1.44	 B0:217	 B1:313	 B2:133
1.34	 D0:19	 D1:118	 D2:52

1.42	 C0:61	 C1:280	 C2:117
1.42	 A0:78	 A1:498	 A2:212
1.47	 B0:216	 B1:313	 B2:133
1.37	 D0:19	 D1:118	 D2:52

1.45	 C0:60	 C1:280	 C2:117
1.45	 A0:78	 A1:498	 A2:211
1.50	 B0:216	 B1:313	 B2:133
1.40	 D0:19	 D1:118	 D2:52

1.48	 C0:61	 C1:280	 C2:117
1.48	 A0:78	 A1:498	 A2:212
1.53	 B0:216	 B1:313	 B2:133
1.43	 D0:19	 D1:118	 D2:52

1.51	 C0:60	 C1:280	 C2:117
1.51	 A0:78	 A1:498	 A2:212
1.56	 B0:216	 B1:313	 B2:133
1.46	 D0:19	 D1:118	 D2:52

1.54	 C0:60	 C1:280	 C2:117
1.54	 A0:78	 A1:498	 A2:212
1.60	 B0:216	 B1:313	 B2:133
1.49	 D0:19	 D1:118	 D2:52

1.57	 C0:60	 C1:280	 C2:117
1.57	 A0:78	 A1:498	 A2:211
1.63	 B0:216	 B1:313	 B2:133
1.51	 D0:19	 D1:118	 D2:52

1.60	 C0:61	 C1:280	 C2:117
1.60	 A0:78	 A1:498	 A2:211
1.66	 B0:216	 B1:313	 B2:133
1.54	 D0:19	 D1:118	 D2:52

1.63	 C0:60	 C1:280	 C2:117
1.63	 A0:78	 A1:498	 A2:212
1.69	 B0:217	 B1:313	 B2:133
1.57	 D0:19	 D1:118	 D2:52

1.66	 C0:60	 C1:280	 C2:117
1.66	 A0:79	 A1:498	 A2:212
1.72	 B0:217	 B1:313	 B2:133
1.60	 D0:19	 D1:118	 D2:52

1.69	 C0:61	 C1:280	 C2:117
1.69	 A0:78	 A1:498	 A2:212
1.75	 B0:217	 B1:313	 B2:133
1.63	 D0:19	 D1:118	 D2:52

1.72	 C0:60	 C1:280	 C2:117
1.72	 A0:78	 A1:498	 A2:212
1.78	 B0:216	 B1:313	 B2:133
1.66	 D0:19	 D1:118	 D2:52

1.75	 C0:60	 C1:280	 C2:117
1.75	 A0:78	 A1:498	 A2:212
1.81	 B0:216	 B1:313	 B2:133
1.69	 D0:19	 D1:118	 D2:52

1.78	 C0:60	 C1:280	 C2:117
1.78	 A0:78	 A1:498	 A2:212
1.85	 B0:217	 B1:313	 B2:134
1.72	 D0:19	 D1:118	 D2:52

1.81	 C0:61	 C1:280	 C2:117
1.81	 A0:78	 A1:498	 A2:212
1.88	 B0:216	 B1:313	 B2:134
1.75	 D0:19	 D1:118	 D2:52

1.84	 C0:60	 C1:280	 C2:117
1.84	 A0:78	 A1:498	 A2:212
1.91	 B0:216	 B1:313	 B2:133
1.78	 D0:19	 D1:118	 D2:52

1.87	 C0:60	 C1:280	 C2:117
1.87	 A0:78	 A1:498	 A2:212
1.94	 B0:216	 B1:313	 B2:133
1.80	 D0:19	 D1:118	 D2:52

1.90	 C0:60	 C1:280	 C2:117
1.90	 A0:79	 A1:498	 A2:212
1.97	 B0:217	 B1:313	 B2:133
1.84	 D0:19	 D1:118	 D2:52

1.93	 C0:61	 C1:280	 C2:117
1.93	 A0:79	 A1:498	 A2:212
2.00	 B0:216	 B1:313	 B2:133
1.86	 D0:19	 D1:118	 D2:52

1.96	 C0:60	 C1:280	 C2:117
1.96	 A0:79	 A1:498	 A2:212
2.03	 B0:216	 B1:313	 B2:133
1.89	 D0:19	 D1:118	 D2:52

1.99	 C0:61	 C1:280	 C2:117
1.99	 A0:79	 A1:498	 A2:212
2.06	 B0:216	 B1:313	 B2:133
1.92	 D0:19	 D1:118	 D2:52

2.02	 C0:60	 C1:280	 C2:117
2.02	 A0:78	 A1:498	 A2:212
2.10	 B0:216	 B1:313	 B2:133
1.95	 D0:19	 D1:118	 D2:52

2.05	 C0:61	 C1:280	 C2:117
2.05	 A0:78	 A1:498	 A2:212
2.13	 B0:216	 B1:313	 B2:133
1.98	 D0:19	 D1:118	 D2:52

2.08	 C0:60	 C1:280	 C2:117
2.08	 A0:78	 A1:498	 A2:212
2.16	 B0:216	 B1:313	 B2:133
2.01	 D0:19	 D1:118	 D2:52

2.11	 C0:61	 C1:280	 C2:117
2.11	 A0:79	 A1:498	 A2:212
2.19	 B0:217	 B1:313	 B2:133
2.04	 D0:19	 D1:118	 D2:52

2.14	 C0:61	 C1:280	 C2:117
2.14	 A0:78	 A1:498	 A2:211
2.22	 B0:216	 B1:313	 B2:133
2.07	 D0:19	 D1:118	 D2:52

2.17	 C0:60	 C1:280	 C2:117
2.17	 A0:78	 A1:498	 A2:212
2.25	 B0:217	 B1:313	 B2:133
2.10	 D0:19	 D1:118	 D2:52

2.20	 C0:61	 C1:280	 C2:117
2.20	 A0:78	 A1:498	 A2:211
2.28	 B0:216	 B1:313	 B2:133
2.13	 D0:19	 D1:118	 D2:52

2.23	 C0:61	 C1:280	 C2:117
2.23	 A0:78	 A1:498	 A2:212
2.31	 B0:217	 B1:313	 B2:133
2.16	 D0:19	 D1:118	 D2:52

2.26	 C0:60	 C1:280	 C2:117
2.26	 A0:78	 A1:498	 A2:212
2.34	 B0:216	 B1:313	 B2:133
2.18	 D0:19	 D1:118	 D2:52

2.29	 C0:60	 C1:280	 C2:117
2.29	 A0:79	 A1:498	 A2:212
2.38	 B0:217	 B1:313	 B2:133
2.21	 D0:19	 D1:118	 D2:52

2.32	 C0:61	 C1:280	 C2:117
2.32	 A0:78	 A1:498	 A2:212
2.41	 B0:216	 B1:313	 B2:133
2.24	 D0:19	 D1:118	 D2:52

2.36	 C0:61	 C1:280	 C2:117
2.36	 A0:78	 A1:498	 A2:212
2.44	 B0:216	 B1:313	 B2:133
2.27	 D0:19	 D1:118	 D2:52

2.38	 C0:61	 C1:280	 C2:117
2.38	 A0:78	 A1:498	 A2:212
2.47	 B0:217	 B1:313	 B2:133
2.30	 D0:19	 D1:118	 D2:52

2.42	 C0:60	 C1:280	 C2:117
2.42	 A0:78	 A1:498	 A2:212
2.50	 B0:216	 B1:313	 B2:133
2.33	 D0:19	 D1:118	 D2:52

2.45	 C0:60	 C1:280	 C2:117
2.45	 A0:78	 A1:498	 A2:212
2.53	 B0:216	 B1:313	 B2:133
2.36	 D0:19	 D1:118	 D2:52

2.48	 C0:60	 C1:280	 C2:117
2.48	 A0:79	 A1:498	 A2:212
2.56	 B0:216	 B1:313	 B2:133
2.39	 D0:19	 D1:118	 D2:52

2.51	 C0:61	 C1:280	 C2:117
2.51	 A0:78	 A1:498	 A2:212
2.59	 B0:216	 B1:313	 B2:133
2.42	 D0:19	 D1:118	 D2:52

2.54	 C0:61	 C1:280	 C2:117
2.54	 A0:78	 A1:498	 A2:212
2.63	 B0:216	 B1:313	 B2:133
2.45	 D0:19	 D1:118	 D2:52

2.57	 C0:61	 C1:280	 C2:117
2.57	 A0:78	 A1:498	 A2:212
2.66	 B0:217	 B1:313	 B2:133
2.48	 D0:19	 D1:118	 D2:52

2.60	 C0:60	 C1:280	 C2:117
2.60	 A0:79	 A1:498	 A2:212
2.69	 B0:217	 B1:313	 B2:133
2.50	 D0:19	 D1:118	 D2:52

2.63	 C0:61	 C1:280	 C2:117
2.63	 A0:78	 A1:498	 A2:212
2.72	 B0:217	 B1:313	 B2:133
2.53	 D0:19	 D1:118	 D2:52

2.66	 C0:61	 C1:280	 C2:117
2.66	 A0:79	 A1:498	 A2:212
