0.96	 D0:31	 D1:160	 D2:66

1.03	 C0:82	 C1:369	 C2:142
1.06	 A0:123	 A1:544	 A2:249
1.06	 B0:287	 B1:400	 B2:156
0.99	 D0:32	 D1:160	 D2:65

1.06	 C0:82	 C1:370	 C2:142
1.10	 A0:123	 A1:543	 A2:249
1.10	 B0:287	 B1:400	 B2:156
1.02	 D0:32	 D1:160	 D2:66

1.09	 C0:82	 C1:370	 C2:143
1.13	 A0:123	 A1:544	 A2:249
1.13	 B0:287	 B1:400	 B2:156
1.05	 D0:31	 D1:160	 D2:66

1.12	 C0:82	 C1:370	 C2:142
1.16	 A0:123	 A1:544	 A2:249
1.16	 B0:287	 B1:400	 B2:157
1.08	 D0:31	 D1:160	 D2:66

1.15	 C0:82	 C1:369	 C2:142
1.19	 A0:123	 A1:544	 A2:249
1.19	 B0:287	 B1:400	 B2:156
1.11	 D0:31	 D1:160	 D2:65

1.18	 C0:82	 C1:370	 C2:142
1.22	 A0:123	 A1:544	 A2:249
1.22	 B0:287	 B1:400	 B2:157
1.13	 D0:32	 D1:160	 D2:65

1.21	 C0:82	 C1:370	 C2:142
1.25	 A0:123	 A1:543	 A2:249
1.25	 B0:287	 B1:400	 B2:156
1.16	 D0:32	 D1:160	 D2:65

1.24	 C0:82	 C1:369	 C2:143
1.28	 A0:123	 A1:543	 A2:249
1.28	 B0:287	 B1:400	 B2:156
1.19	 D0:31	 D1:160	 D2:65

1.27	 C0:82	 C1:370	 C2:142
1.31	 A0:123	 A1:544	 A2:249
1.31	 B0:287	 B1:400	 B2:156
1.22	 D0:32	 D1:160	 D2:65

1.30	 C0:81	 C1:369	 C2:142
1.35	 A0:122	 A1:543	 A2:249
1.35	 B0:287	 B1:400	 B2:156
1.25	 D0:31	 D1:160	 D2:66

1.33	 C0:82	 C1:370	 C2:142
1.38	 A0:123	 A1:543	 A2:249
1.38	 B0:287	 B1:400	 B2:157
1.28	 D0:32	 D1:160	 D2:65

1.36	 C0:82	 C1:369	 C2:142
1.41	 A0:122	 A1:544	 A2:249
1.41	 B0:287	 B1:400	 B2:156
1.31	 D0:32	 D1:160	 D2:65

1.39	 C0:81	 C1:369	 C2:142
1.44	 A0:123	 A1:544	 A2:249
1.44	 B0:287	 B1:400	 B2:156
1.34	 D0:32	 D1:160	 D2:66

1.42	 C0:82	 C1:369	 C2:142
1.47	 A0:123	 A1:544	 A2:249
1.47	 B0:287	 B1:400	 B2:157
1.37	 D0:31	 D1:160	 D2:65

1.45	 C0:82	 C1:370	 C2:142
1.50	 A0:123	 A1:544	 A2:249
1.50	 B0:288	 B1:400	 B2:156
1.40	 D0:31	 D1:160	 D2:65

1.48	 C0:82	 C1:369	 C2:142
1.53	 A0:123	 A1:544	 A2:249
1.53	 B0:287	 B1:400	 B2:156
1.43	 D0:31	 D1:160	 D2:65

1.51	 C0:82	 C1:369	 C2:142
1.56	 A0:123	 A1:544	 A2:249
1.56	 B0:287	 B1:400	 B2:156
1.46	 D0:31	 D1:160	 D2:65

1.54	 C0:82	 C1:369	 C2:143
1.60	 A0:122	 A1:544	 A2:249
1.60	 B0:287	 B1:400	 B2:156
1.49	 D0:32	 D1:160	 D2:65

1.57	 C0:82	 C1:369	 C2:142
1.63	 A0:123	 A1:543	 A2:249
1.63	 B0:287	 B1:400	 B2:156
1.51	 D0:31	 D1:160	 D2:65

1.60	 C0:82	 C1:369	 C2:142
1.66	 A0:123	 A1:544	 A2:249
1.66	 B0:287	 B1:400	 B2:156
1.54	 D0:31	 D1:160	 D2:65

1.63	 C0:82	 C1:370	 C2:142
1.69	 A0:122	 A1:543	 A2:249
1.69	 B0:287	 B1:400	 B2:156
1.57	 D0:32	 D1:160	 D2:65

1.66	 C0:82	 C1:369	 C2:142
1.72	 A0:122	 A1:544	 A2:249
1.72	 B0:288	 B1:400	 B2:156
1.60	 D0:32	 D1:160	 D2:65

1.69	 C0:82	 C1:369	 C2:142
1.75	 A0:123	 A1:544	 A2:249
1.75	 B0:287	 B1:400	 B2:157
1.63	 D0:31	 D1:160	 D2:65

1.72	 C0:82	 C1:369	 C2:142
1.78	 A0:123	 A1:544	 A2:249
1.78	 B0:287	 B1:400	 B2:157
1.66	 D0:31	 D1:160	 D2:65

1.75	 C0:81	 C1:369	 C2:142
1.81	 A0:123	 A1:544	 A2:249
1.81	 B0:288	 B1:400	 B2:156
1.69	 D0:32	 D1:160	 D2:66

1.78	 C0:81	 C1:369	 C2:142
1.85	 A0:123	 A1:544	 A2:249
1.85	 B0:287	 B1:400	 B2:156
1.72	 D0:31	 D1:160	 D2:65

1.81	 C0:82	 C1:370	 C2:142
1.88	 A0:123	 A1:544	 A2:249
1.88	 B0:287	 B1:400	 B2:157
1.75	 D0:31	 D1:160	 D2:65

1.84	 C0:82	 C1:369	 C2:142
1.91	 A0:122	 A1:544	 A2:249
1.91	 B0:287	 B1:400	 B2:157
1.78	 D0:32	 D1:160	 D2:66

1.87	 C0:82	 C1:369	 C2:142
1.94	 A0:123	 A1:543	 A2:249
1.94	 B0:288	 B1:400	 B2:156
1.80	 D0:31	 D1:160	 D2:65

1.90	 C0:82	 C1:369	 C2:142
1.97	 A0:122	 A1:544	 A2:250
1.97	 B0:287	 B1:400	 B2:157
1.84	 D0:31	 D1:160	 D2:66

1.93	 C0:82	 C1:369	 C2:142
2.00	 A0:123	 A1:543	 A2:249
2.00	 B0:287	 B1:400	 B2:156
1.86	 D0:31	 D1:160	 D2:66

1.96	 C0:82	 C1:370	 C2:142
2.03	 A0:122	 A1:544	 A2:249
2.03	 B0:287	 B1:400	 B2:157
1.89	 D0:31	 D1:160	 D2:65

1.99	 C0:82	 C1:369	 C2:142
2.06	 A0:122	 A1:544	 A2:249
2.06	 B0:287	 B1:400	 B2:156
1.92	 D0:31	 D1:160	 D2:66

2.02	 C0:82	 C1:369	 C2:142
2.10	 A0:123	 A1:544	 A2:249
2.10	 B0:287	 B1:400	 B2:156
1.95	 D0:31	 D1:160	 D2:65

2.05	 C0:81	 C1:370	 C2:143
2.13	 A0:122	 A1:544	 A2:249
2.13	 B0:287	 B1:400	 B2:156
1.98	 D0:31	 D1:160	 D2:65

2.08	 C0:82	 C1:370	 C2:142
2.16	 A0:123	 A1:544	 A2:249
2.16	 B0:287	 B1:400	 B2:156
2.01	 D0:31	 D1:160	 D2:65

2.11	 C0:82	 C1:369	 C2:142
2.19	 A0:123	 A1:544	 A2:249
2.19	 B0:287	 B1:400	 B2:157
2.04	 D0:32	 D1:160	 D2:66

2.14	 C0:82	 C1:370	 C2:142
2.22	 A0:123	 A1:544	 A2:249
2.22	 B0:288	 B1:400	 B2:156
2.07	 D0:31	 D1:160	 D2:65

2.17	 C0:82	 C1:370	 C2:142
2.25	 A0:123	 A1:543	 A2:249
2.25	 B0:287	 B1:400	 B2:156
2.10	 D0:31	 D1:160	 D2:65

2.20	 C0:82	 C1:370	 C2:142
2.28	 A0:123	 A1:544	 A2:249
2.28	 B0:288	 B1:400	 B2:156
2.13	 D0:31	 D1:160	 D2:65

2.23	 C0:82	 C1:370	 C2:142
2.31	 A0:123	 A1:544	 A2:249
2.31	 B0:287	 B1:400	 B2:156
2.16	 D0:31	 D1:160	 D2:66

2.26	 C0:82	 C1:369	 C2:142
2.34	 A0:123	 A1:544	 A2:249
2.34	 B0:287	 B1:400	 B2:156
2.18	 D0:31	 D1:160	 D2:65

2.29	 C0:82	 C1:370	 C2:142
2.38	 A0:123	 A1:544	 A2:249
2.38	 B0:287	 B1:400	 B2:157
2.21	 D0:31	 D1:160	 D2:65

2.32	 C0:82	 C1:369	 C2:142
2.41	 A0:123	 A1:544	 A2:249
2.41	 B0:288	 B1:400	 B2:156
2.24	 D0:31	 D1:160	 D2:66

2.36	 C0:82	 C1:369	 C2:142
2.44	 A0:123	 A1:544	 A2:249
2.44	 B0:288	 B1:400	 B2:157
2.27	 D0:31	 D1:160	 D2:65

2.38	 C0:82	 C1:369	 C2:142
2.47	 A0:123	 A1:544	 A2:249
2.47	 B0:288	 B1:400	 B2:157
2.30	 D0:31	 D1:160	 D2:65

2.42	 C0:82	 C1:369	 C2:142
2.50	 A0:123	 A1:543	 A2:249
2.50	 B0:287	 B1:400	 B2:156
2.33	 D0:32	 D1:160	 D2:65

2.45	 C0:82	 C1:370	 C2:142
