1.00	 A0:50	 A1:380	 A2:110

1.06	 B0:160	 B1:324	 B2:114
1.03	 C0:70	 C1:155	 C2:479
1.03	 D0:50	 D1:414	 D2:134
1.03	 A0:50	 A1:380	 A2:110

1.10	 B0:161	 B1:323	 B2:115
1.06	 C0:70	 C1:155	 C2:479
1.06	 D0:50	 D1:414	 D2:134
1.06	 A0:50	 A1:380	 A2:110

1.13	 B0:160	 B1:323	 B2:114
1.09	 C0:70	 C1:155	 C2:479
1.09	 D0:50	 D1:414	 D2:134
1.09	 A0:50	 A1:380	 A2:110

1.16	 B0:161	 B1:324	 B2:114
1.12	 C0:70	 C1:155	 C2:479
1.12	 D0:50	 D1:414	 D2:134
1.12	 A0:50	 A1:380	 A2:110

1.19	 B0:161	 B1:324	 B2:115
1.15	 C0:70	 C1:155	 C2:479
1.15	 D0:50	 D1:414	 D2:134
1.15	 A0:50	 A1:380	 A2:110

1.22	 B0:160	 B1:324	 B2:114
1.18	 C0:70	 C1:154	 C2:479
1.18	 D0:50	 D1:414	 D2:134
1.18	 A0:50	 A1:380	 A2:110

1.25	 B0:160	 B1:324	 B2:115
1.21	 C0:70	 C1:155	 C2:479
1.21	 D0:50	 D1:414	 D2:134
1.21	 A0:50	 A1:380	 A2:110

1.28	 B0:160	 B1:324	 B2:115
1.24	 C0:70	 C1:155	 C2:479
1.24	 D0:50	 D1:414	 D2:134
1.24	 A0:50	 A1:380	 A2:110

1.31	 B0:161	 B1:324	 B2:114
1.27	 C0:70	 C1:155	 C2:479
1.27	 D0:50	 D1:414	 D2:134
1.27	 A0:50	 A1:380	 A2:110

1.35	 B0:161	 B1:324	 B2:115
1.30	 C0:70	 C1:155	 C2:479
1.30	 D0:50	 D1:414	 D2:134
1.30	 A0:50	 A1:380	 A2:110

1.38	 B0:160	 B1:323	 B2:115
1.33	 C0:70	 C1:155	 C2:479
1.33	 D0:50	 D1:414	 D2:134
1.33	 A0:50	 A1:380	 A2:110

1.41	 B0:161	 B1:323	 B2:114
1.36	 C0:70	 C1:155	 C2:479
1.36	 D0:50	 D1:414	 D2:134
1.36	 A0:50	 A1:380	 A2:110

1.44	 B0:160	 B1:324	 B2:114
1.39	 C0:70	 C1:155	 C2:479
1.39	 D0:50	 D1:414	 D2:134
1.39	 A0:50	 A1:380	 A2:110

1.47	 B0:160	 B1:323	 B2:114
1.42	 C0:70	 C1:155	 C2:479
1.42	 D0:50	 D1:414	 D2:134
1.42	 A0:50	 A1:380	 A2:110

1.50	 B0:160	 B1:324	 B2:114
1.45	 C0:70	 C1:155	 C2:479
1.45	 D0:51	 D1:414	 D2:134
1.45	 A0:50	 A1:380	 A2:110

1.53	 B0:161	 B1:324	 B2:114
1.48	 C0:70	 C1:155	 C2:479
1.48	 D0:50	 D1:414	 D2:134
1.48	 A0:51	 A1:380	 A2:110

1.56	 B0:161	 B1:323	 B2:115
1.51	 C0:70	 C1:155	 C2:479
1.51	 D0:50	 D1:415	 D2:134
1.51	 A0:50	 A1:380	 A2:110

1.60	 B0:160	 B1:324	 B2:114
1.54	 C0:70	 C1:155	 C2:479
1.54	 D0:50	 D1:414	 D2:134
1.54	 A0:50	 A1:380	 A2:110

1.63	 B0:160	 B1:324	 B2:114
1.57	 C0:70	 C1:155	 C2:479
1.57	 D0:50	 D1:414	 D2:134
1.57	 A0:50	 A1:380	 A2:110

1.66	 B0:160	 B1:323	 B2:114
1.60	 C0:70	 C1:155	 C2:479
1.60	 D0:50	 D1:414	 D2:134
1.60	 A0:50	 A1:380	 A2:110

1.69	 B0:160	 B1:324	 B2:114
1.63	 C0:70	 C1:155	 C2:479
1.63	 D0:50	 D1:414	 D2:134
1.63	 A0:50	 A1:380	 A2:110

1.72	 B0:160	 B1:323	 B2:114
1.66	 C0:70	 C1:155	 C2:479
1.66	 D0:50	 D1:414	 D2:134
1.66	 A0:50	 A1:380	 A2:110

1.75	 B0:161	 B1:323	 B2:114
1.69	 C0:70	 C1:154	 C2:479
1.69	 D0:50	 D1:414	 D2:134
1.69	 A0:50	 A1:380	 A2:110

1.78	 B0:160	 B1:324	 B2:115
1.72	 C0:70	 C1:155	 C2:479
1.72	 D0:50	 D1:414	 D2:134
1.72	 A0:50	 A1:380	 A2:110

1.81	 B0:160	 B1:324	 B2:115
1.75	 C0:70	 C1:155	 C2:479
1.75	 D0:50	 D1:414	 D2:134
1.75	 A0:50	 A1:380	 A2:110

1.85	 B0:160	 B1:323	 B2:114
1.78	 C0:70	 C1:155	 C2:479
1.78	 D0:50	 D1:414	 D2:134
1.78	 A0:50	 A1:380	 A2:110

1.88	 B0:160	 B1:324	 B2:114
1.81	 C0:70	 C1:155	 C2:479
1.81	 D0:50	 D1:414	 D2:134
1.81	 A0:50	 A1:380	 A2:110

1.91	 B0:160	 B1:324	 B2:115
1.84	 C0:70	 C1:155	 C2:479
1.84	 D0:50	 D1:414	 D2:134
1.84	 A0:50	 A1:380	 A2:110

1.94	 B0:160	 B1:323	 B2:114
1.87	 C0:70	 C1:155	 C2:479
1.87	 D0:50	 D1:414	 D2:134
