2.16	 C0:718	 C1:750	 C2:124
1.93	 D0:17	 D1:97	 D2:86

2.19	 C0:718	 C1:750	 C2:124
1.96	 D0:18	 D1:97	 D2:86

2.22	 C0:718	 C1:750	 C2:124
1.99	 D0:18	 D1:97	 D2:86

2.25	 C0:718	 C1:750	 C2:124
2.02	 D0:18	 D1:97	 D2:86

2.28	 C0:718	 C1:751	 C2:124
2.05	 D0:17	 D1:97	 D2:86

2.31	 C0:718	 C1:750	 C2:124
2.08	 D0:17	 D1:97	 D2:86

2.34	 C0:718	 C1:750	 C2:124
2.10	 D0:18	 D1:97	 D2:86

2.38	 C0:718	 C1:750	 C2:124
2.13	 D0:17	 D1:97	 D2:86

2.41	 C0:718	 C1:750	 C2:124
2.16	 D0:18	 D1:97	 D2:86

2.44	 C0:718	 C1:750	 C2:124
2.19	 D0:17	 D1:97	 D2:86

2.47	 C0:718	 C1:750	 C2:124
2.22	 D0:17	 D1:97	 D2:86

2.50	 C0:718	 C1:750	 C2:124
2.24	 D0:17	 D1:97	 D2:86

2.53	 C0:718	 C1:751	 C2:124
2.27	 D0:17	 D1:97	 D2:86

2.56	 C0:718	 C1:750	 C2:124
2.30	 D0:17	 D1:97	 D2:86

2.59	 C0:718	 C1:750	 C2:124
2.33	 D0:17	 D1:97	 D2:86

2.63	 C0:718	 C1:750	 C2:124
2.36	 D0:18	 D1:97	 D2:86

2.66	 C0:718	 C1:750	 C2:124
2.38	 D0:18	 D1:97	 D2:86

2.69	 C0:718	 C1:750	 C2:124
2.41	 D0:18	 D1:97	 D2:86

2.72	 C0:718	 C1:750	 C2:124
2.44	 D0:17	 D1:97	 D2:86

2.75	 C0:718	 C1:750	 C2:124
2.47	 D0:17	 D1:97	 D2:86

2.78	 C0:718	 C1:750	 C2:124
2.50	 D0:18	 D1:97	 D2:86

2.81	 C0:718	 C1:750	 C2:124
2.53	 D0:18	 D1:97	 D2:86

2.84	 C0:718	 C1:750	 C2:124
2.55	 D0:17	 D1:97	 D2:86

2.87	 C0:718	 C1:750	 C2:124
2.58	 D0:17	 D1:97	 D2:86

2.91	 C0:718	 C1:750	 C2:124
2.61	 D0:17	 D1:97	 D2:86

2.94	 C0:718	 C1:750	 C2:124
2.64	 D0:17	 D1:97	 D2:86

2.97	 C0:718	 C1:750	 C2:124
2.67	 D0:18	 D1:97	 D2:86

3.00	 C0:718	 C1:750	 C2:124
2.69	 D0:17	 D1:97	 D2:86

3.03	 C0:718	 C1:750	 C2:124
2.72	 D0:17	 D1:97	 D2:86

3.06	 C0:718	 C1:750	 C2:124
2.75	 D0:17	 D1:97	 D2:86

3.09	 C0:718	 C1:750	 C2:124
2.78	 D0:17	 D1:97	 D2:86

3.12	 C0:718	 C1:750	 C2:124
2.81	 D0:17	 D1:97	 D2:86

3.16	 C0:718	 C1:750	 C2:124
2.83	 D0:17	 D1:97	 D2:86

3.19	 C0:718	 C1:750	 C2:124
2.86	 D0:17	 D1:97	 D2:86

3.22	 C0:718	 C1:750	 C2:124
2.89	 D0:17	 D1:97	 D2:86

3.25	 C0:718	 C1:751	 C2:124
2.92	 D0:17	 D1:97	 D2:86

3.28	 C0:718	 C1:750	 C2:124
2.95	 D0:17	 D1:97	 D2:86

3.31	 C0:718	 C1:750	 C2:124
2.97	 D0:18	 D1:97	 D2:86

3.34	 C0:718	 C1:750	 C2:124
3.00	 D0:18	 D1:97	 D2:86

3.37	 C0:718	 C1:750	 C2:124
3.03	 D0:17	 D1:97	 D2:86

3.40	 C0:718	 C1:750	 C2:124
3.06	 D0:17	 D1:97	 D2:86

3.44	 C0:718	 C1:750	 C2:124
3.09	 D0:18	 D1:97	 D2:86

3.47	 C0:718	 C1:750	 C2:124
3.12	 D0:17	 D1:97	 D2:86

3.50	 C0:718	 C1:751	 C2:124
3.14	 D0:18	 D1:97	 D2:86

3.53	 C0:718	 C1:750	 C2:124
3.17	 D0:17	 D1:97	 D2:86

3.56	 C0:718	 C1:750	 C2:124
3.20	 D0:18	 D1:97	 D2:86

3.59	 C0:718	 C1:750	 C2:124
3.23	 D0:17	 D1:97	 D2:86

3.62	 C0:718	 C1:750	 C2:124
3.26	 D0:17	 D1:97	 D2:87

3.65	 C0:718	 C1:750	 C2:124
3.28	 D0:18	 D1:97	 D2:86

3.69	 C0:718	 C1:750	 C2:124
3.31	 D0:17	 D1:97	 D2:87

3.72	 C0:718	 C1:750	 C2:124
3.34	 D0:17	 D1:97	 D2:87

3.75	 C0:718	 C1:750	 C2:124
3.37	 D0:17	 D1:97	 D2:87

3.78	 C0:718	 C1:750	 C2:124
3.40	 D0:17	 D1:97	 D2:87

3.81	 C0:718	 C1:750	 C2:124
3.42	 D0:17	 D1:97	 D2:87

3.84	 C0:718	 C1:750	 C2:124
3.45	 D0:17	 D1:97	 D2:86

3.87	 C0:718	 C1:750	 C2:124
3.48	 D0:17	 D1:97	 D2:87

3.90	 C0:718	 C1:750	 C2:124
3.51	 D0:17	 D1:97	 D2:87

3.94	 C0:718	 C1:750	 C2:124
3.54	 D0:17	 D1:97	 D2:87

3.97	 C0:718	 C1:750	 C2:124
3.56	 D0:17	 D1:97	 D2:87

4.00	 C0:718	 C1:750	 C2:124
3.59	 D0:17	 D1:97	 D2:86

4.03	 C0:718	 C1:750	 C2:124
3.62	 D0:17	 D1:97	 D2:87

4.06	 C0:718	 C1:750	 C2:124
3.65	 D0:18	 D1:97	 D2:87

4.09	 C0:718	 C1:750	 C2:124
3.68	 D0:17	 D1:97	 D2:87

4.12	 C0:718	 C1:750	 C2:124
3.70	 D0:17	 D1:97	 D2:86

4.15	 C0:718	 C1:750	 C2:124
3.73	 D0:18	 D1:97	 D2:87

4.19	 C0:718	 C1:750	 C2:124
3.76	 D0:17	 D1:97	 D2:87

4.22	 C0:718	 C1:750	 C2:124
3.79	 D0:17	 D1:97	 D2:87

4.25	 C0:718	 C1:750	 C2:124
3.82	 D0:17	 D1:97	 D2:87

4.28	 C0:718	 C1:750	 C2:124
3.85	 D0:17	 D1:97	 D2:87

4.31	 C0:718	 C1:750	 C2:124
3.87	 D0:17	 D1:97	 D2:87

4.34	 C0:718	 C1:750	 C2:124
3.90	 D0:17	 D1:97	 D2:87

4.37	 C0:718	 C1:750	 C2:124
3.93	 D0:17	 D1:97	 D2:87

4.40	 C0:718	 C1:750	 C2:124
3.96	 D0:17	 D1:97	 D2:87

4.43	 C0:718	 C1:750	 C2:124
3.98	 D0:17	 D1:97	 D2:87

4.47	 C0:718	 C1:750	 C2:124
4.01	 D0:17	 D1:97	 D2:87

4.50	 C0:718	 C1:751	 C2:124
4.04	 D0:18	 D1:97	 D2:87

4.53	 C0:718	 C1:750	 C2:124
4.07	 D0:18	 D1:97	 D2:87

4.56	 C0:718	 C1:750	 C2:124
4.10	 D0:18	 D1:97	 D2:87

4.59	 C0:718	 C1:750	 C2:124
4.13	 D0:17	 D1:97	 D2:87

4.62	 C0:718	 C1:750	 C2:124
4.15	 D0:17	 D1:97	 D2:87

4.65	 C0:718	 C1:750	 C2:124
4.18	 D0:17	 D1:97	 D2:87

4.68	 C0:718	 C1:750	 C2:124
4.21	 D0:17	 D1:97	 D2:87

4.72	 C0:718	 C1:750	 C2:124
4.24	 D0:18	 D1:97	 D2:87

4.75	 C0:718	 C1:750	 C2:125
4.26	 D0:17	 D1:97	 D2:87

4.78	 C0:718	 C1:750	 C2:124
4.29	 D0:18	 D1:97	 D2:87

4.81	 C0:718	 C1:750	 C2:124
4.32	 D0:17	 D1:97	 D2:87

4.84	 C0:718	 C1:751	 C2:124
4.35	 D0:18	 D1:97	 D2:87

4.87	 C0:718	 C1:750	 C2:124
4.38	 D0:17	 D1:97	 D2:87

4.90	 C0:718	 C1:751	 C2:124
4.41	 D0:18	 D1:97	 D2:87

4.93	 C0:718	 C1:750	 C2:124
4.43	 D0:17	 D1:97	 D2:87

4.97	 C0:718	 C1:750	 C2:124
4.46	 D0:17	 D1:97	 D2:87

5.00	 C0:718	 C1:750	 C2:125
