0.96	 A0:39	 A1:324	 A2:89

1.06	 B0:132	 B1:264	 B2:106
1.03	 C0:55	 C1:143	 C2:373
1.03	 D0:39	 D1:307	 D2:127
0.99	 A0:39	 A1:324	 A2:89

1.10	 B0:132	 B1:264	 B2:106
1.06	 C0:55	 C1:142	 C2:373
1.06	 D0:39	 D1:307	 D2:127
1.02	 A0:39	 A1:324	 A2:89

1.13	 B0:132	 B1:264	 B2:106
1.09	 C0:55	 C1:143	 C2:373
1.09	 D0:39	 D1:307	 D2:127
1.05	 A0:39	 A1:324	 A2:89

1.16	 B0:132	 B1:264	 B2:106
1.12	 C0:55	 C1:143	 C2:373
1.12	 D0:39	 D1:307	 D2:127
1.08	 A0:39	 A1:324	 A2:89

1.19	 B0:132	 B1:264	 B2:106
1.15	 C0:55	 C1:142	 C2:373
1.15	 D0:39	 D1:307	 D2:127
1.11	 A0:39	 A1:324	 A2:89

1.22	 B0:132	 B1:263	 B2:106
1.18	 C0:55	 C1:142	 C2:373
1.18	 D0:39	 D1:307	 D2:127
1.13	 A0:39	 A1:324	 A2:89

1.25	 B0:132	 B1:263	 B2:106
1.21	 C0:55	 C1:143	 C2:373
1.21	 D0:40	 D1:307	 D2:127
1.16	 A0:39	 A1:324	 A2:89

1.28	 B0:132	 B1:264	 B2:106
1.24	 C0:55	 C1:143	 C2:373
1.24	 D0:39	 D1:307	 D2:127
1.19	 A0:40	 A1:324	 A2:89

1.31	 B0:132	 B1:263	 B2:106
1.27	 C0:55	 C1:142	 C2:373
1.27	 D0:39	 D1:307	 D2:127
1.22	 A0:39	 A1:324	 A2:89

1.35	 B0:132	 B1:264	 B2:106
1.30	 C0:55	 C1:143	 C2:373
1.30	 D0:39	 D1:307	 D2:127
1.25	 A0:39	 A1:324	 A2:89

1.38	 B0:132	 B1:263	 B2:106
1.33	 C0:55	 C1:142	 C2:373
1.33	 D0:39	 D1:307	 D2:127
1.28	 A0:39	 A1:324	 A2:89

1.41	 B0:132	 B1:263	 B2:106
1.36	 C0:55	 C1:142	 C2:373
1.36	 D0:39	 D1:307	 D2:127
1.31	 A0:39	 A1:324	 A2:89

1.44	 B0:132	 B1:263	 B2:106
1.39	 C0:55	 C1:142	 C2:373
1.39	 D0:39	 D1:307	 D2:128
1.34	 A0:39	 A1:324	 A2:89

1.47	 B0:132	 B1:264	 B2:106
1.42	 C0:55	 C1:143	 C2:373
1.42	 D0:40	 D1:307	 D2:127
1.37	 A0:39	 A1:324	 A2:89

1.50	 B0:132	 B1:263	 B2:106
1.45	 C0:55	 C1:143	 C2:373
1.45	 D0:39	 D1:307	 D2:127
1.40	 A0:39	 A1:324	 A2:89

1.53	 B0:132	 B1:264	 B2:106
1.48	 C0:55	 C1:143	 C2:373
1.48	 D0:39	 D1:307	 D2:127
1.43	 A0:39	 A1:324	 A2:89

1.56	 B0:132	 B1:264	 B2:106
1.51	 C0:55	 C1:142	 C2:373
1.51	 D0:39	 D1:307	 D2:127
1.46	 A0:39	 A1:324	 A2:89

1.60	 B0:132	 B1:263	 B2:106
1.54	 C0:55	 C1:142	 C2:373
1.54	 D0:39	 D1:307	 D2:127
1.49	 A0:39	 A1:324	 A2:89

1.63	 B0:132	 B1:263	 B2:106
1.57	 C0:55	 C1:143	 C2:373
1.57	 D0:39	 D1:307	 D2:127
1.51	 A0:39	 A1:324	 A2:89

1.66	 B0:132	 B1:264	 B2:106
1.60	 C0:55	 C1:143	 C2:373
1.60	 D0:39	 D1:307	 D2:127
1.54	 A0:39	 A1:324	 A2:89

1.69	 B0:132	 B1:263	 B2:106
1.63	 C0:55	 C1:142	 C2:373
1.63	 D0:39	 D1:307	 D2:127
1.57	 A0:39	 A1:324	 A2:89

1.72	 B0:132	 B1:263	 B2:106
1.66	 C0:55	 C1:143	 C2:373
1.66	 D0:39	 D1:307	 D2:127
1.60	 A0:39	 A1:324	 A2:89

1.75	 B0:132	 B1:263	 B2:106
1.69	 C0:55	 C1:143	 C2:373
1.69	 D0:39	 D1:307	 D2:127
1.63	 A0:39	 A1:324	 A2:89

1.78	 B0:132	 B1:263	 B2:106
1.72	 C0:55	 C1:142	 C2:373
