0.96	 D0:19	 D1:110	 D2:47

1.03	 C0:59	 C1:263	 C2:113
1.03	 A0:76	 A1:489	 A2:208
1.06	 B0:207	 B1:296	 B2:129
0.99	 D0:19	 D1:110	 D2:47

1.06	 C0:59	 C1:263	 C2:113
1.06	 A0:76	 A1:488	 A2:207
1.10	 B0:207	 B1:296	 B2:129
1.02	 D0:19	 D1:110	 D2:47

1.09	 C0:59	 C1:263	 C2:114
1.09	 A0:76	 A1:488	 A2:207
1.13	 B0:207	 B1:296	 B2:129
1.05	 D0:19	 D1:110	 D2:47

1.12	 C0:58	 C1:263	 C2:114
1.12	 A0:76	 A1:488	 A2:207
1.16	 B0:207	 B1:296	 B2:128
1.08	 D0:19	 D1:110	 D2:47

1.15	 C0:59	 C1:263	 C2:114
1.15	 A0:76	 A1:489	 A2:208
1.19	 B0:207	 B1:296	 B2:129
1.11	 D0:19	 D1:110	 D2:47

1.18	 C0:58	 C1:263	 C2:114
1.18	 A0:76	 A1:488	 A2:207
1.22	 B0:207	 B1:296	 B2:129
1.13	 D0:19	 D1:110	 D2:47

1.21	 C0:59	 C1:263	 C2:114
1.21	 A0:76	 A1:488	 A2:207
1.25	 B0:207	 B1:296	 B2:129
1.16	 D0:19	 D1:110	 D2:47

1.24	 C0:59	 C1:263	 C2:114
1.24	 A0:76	 A1:488	 A2:208
1.28	 B0:207	 B1:296	 B2:129
1.19	 D0:19	 D1:110	 D2:47

1.27	 C0:59	 C1:263	 C2:114
1.27	 A0:76	 A1:489	 A2:208
1.31	 B0:207	 B1:296	 B2:129
1.22	 D0:19	 D1:110	 D2:47

1.30	 C0:59	 C1:263	 C2:114
1.30	 A0:76	 A1:488	 A2:207
1.35	 B0:207	 B1:296	 B2:129
1.25	 D0:19	 D1:110	 D2:47

1.33	 C0:59	 C1:263	 C2:113
1.33	 A0:76	 A1:488	 A2:207
1.38	 B0:207	 B1:296	 B2:129
1.28	 D0:19	 D1:110	 D2:47

1.36	 C0:59	 C1:263	 C2:114
1.36	 A0:76	 A1:489	 A2:207
1.41	 B0:207	 B1:296	 B2:129
1.31	 D0:19	 D1:110	 D2:47

1.39	 C0:59	 C1:263	 C2:114
1.39	 A0:76	 A1:488	 A2:208
1.44	 B0:207	 B1:296	 B2:129
1.34	 D0:19	 D1:110	 D2:47

1.42	 C0:59	 C1:263	 C2:114
1.42	 A0:76	 A1:489	 A2:208
1.47	 B0:207	 B1:296	 B2:129
1.37	 D0:19	 D1:110	 D2:47

1.45	 C0:59	 C1:263	 C2:113
1.45	 A0:76	 A1:488	 A2:207
1.50	 B0:207	 B1:296	 B2:129
1.40	 D0:19	 D1:110	 D2:47

1.48	 C0:59	 C1:263	 C2:114
1.48	 A0:76	 A1:488	 A2:208
1.53	 B0:207	 B1:296	 B2:129
1.43	 D0:19	 D1:110	 D2:47

1.51	 C0:59	 C1:263	 C2:114
1.51	 A0:76	 A1:488	 A2:207
1.56	 B0:207	 B1:296	 B2:129
1.46	 D0:19	 D1:110	 D2:47

1.54	 C0:59	 C1:263	 C2:114
1.54	 A0:76	 A1:488	 A2:207
1.60	 B0:207	 B1:296	 B2:129
1.49	 D0:19	 D1:110	 D2:47

1.57	 C0:59	 C1:263	 C2:114
1.57	 A0:76	 A1:488	 A2:207
1.63	 B0:207	 B1:296	 B2:129
1.51	 D0:19	 D1:110	 D2:47

