1.03	 A0:740	 A1:770	 A2:114

1.06	 B0:223	 B1:310	 B2:229
1.03	 C0:58	 C1:140	 C2:360
1.03	 D0:35	 D1:258	 D2:108
1.06	 A0:740	 A1:770	 A2:115

1.10	 B0:226	 B1:311	 B2:229
1.06	 C0:58	 C1:140	 C2:360
1.06	 D0:34	 D1:258	 D2:108
1.10	 A0:740	 A1:770	 A2:115

1.13	 B0:230	 B1:310	 B2:229
1.09	 C0:58	 C1:140	 C2:360
1.09	 D0:34	 D1:258	 D2:108
1.13	 A0:740	 A1:770	 A2:115

1.16	 B0:239	 B1:310	 B2:229
1.12	 C0:58	 C1:141	 C2:360
1.12	 D0:34	 D1:258	 D2:108
1.16	 A0:740	 A1:770	 A2:115

1.19	 B0:234	 B1:310	 B2:229
1.15	 C0:58	 C1:140	 C2:360
1.15	 D0:34	 D1:258	 D2:108
1.19	 A0:740	 A1:770	 A2:115

1.22	 B0:222	 B1:310	 B2:229
1.18	 C0:58	 C1:140	 C2:360
1.18	 D0:34	 D1:258	 D2:108
1.22	 A0:740	 A1:770	 A2:115

1.25	 B0:211	 B1:310	 B2:229
1.21	 C0:58	 C1:141	 C2:360
1.21	 D0:35	 D1:258	 D2:108
1.25	 A0:740	 A1:770	 A2:114

1.28	 B0:217	 B1:310	 B2:229
1.24	 C0:58	 C1:140	 C2:360
1.24	 D0:35	 D1:258	 D2:108
1.28	 A0:740	 A1:770	 A2:115

1.31	 B0:222	 B1:310	 B2:229
1.27	 C0:58	 C1:140	 C2:360
1.27	 D0:34	 D1:258	 D2:108
1.31	 A0:740	 A1:770	 A2:115

1.35	 B0:225	 B1:310	 B2:229
1.30	 C0:58	 C1:140	 C2:360
1.30	 D0:34	 D1:258	 D2:108
1.35	 A0:740	 A1:770	 A2:115

1.38	 B0:229	 B1:310	 B2:229
1.33	 C0:59	 C1:140	 C2:360
1.33	 D0:35	 D1:258	 D2:108
1.38	 A0:740	 A1:770	 A2:115

1.41	 B0:239	 B1:310	 B2:229
1.36	 C0:58	 C1:140	 C2:360
1.36	 D0:34	 D1:258	 D2:108
1.41	 A0:740	 A1:770	 A2:115

1.44	 B0:235	 B1:310	 B2:229
1.39	 C0:59	 C1:141	 C2:360
1.39	 D0:34	 D1:258	 D2:108
1.44	 A0:740	 A1:770	 A2:115

1.47	 B0:223	 B1:310	 B2:229
1.42	 C0:58	 C1:140	 C2:360
1.42	 D0:34	 D1:258	 D2:108
1.47	 A0:740	 A1:770	 A2:115

1.50	 B0:211	 B1:310	 B2:229
1.45	 C0:58	 C1:140	 C2:360
1.45	 D0:34	 D1:258	 D2:108
1.50	 A0:740	 A1:770	 A2:114

1.53	 B0:217	 B1:310	 B2:229
1.48	 C0:58	 C1:140	 C2:360
1.48	 D0:34	 D1:258	 D2:108
1.53	 A0:740	 A1:770	 A2:115

1.56	 B0:222	 B1:310	 B2:229
1.51	 C0:58	 C1:141	 C2:360
1.51	 D0:34	 D1:258	 D2:108
1.56	 A0:740	 A1:770	 A2:115

1.60	 B0:225	 B1:311	 B2:229
1.54	 C0:58	 C1:140	 C2:360
1.54	 D0:34	 D1:258	 D2:108
1.60	 A0:740	 A1:770	 A2:115

1.63	 B0:228	 B1:310	 B2:229
1.57	 C0:58	 C1:140	 C2:360
1.57	 D0:34	 D1:258	 D2:108
1.63	 A0:740	 A1:770	 A2:115

1.66	 B0:239	 B1:311	 B2:229
1.60	 C0:58	 C1:141	 C2:360
1.60	 D0:34	 D1:258	 D2:108
1.66	 A0:740	 A1:770	 A2:115

1.69	 B0:236	 B1:311	 B2:229
1.63	 C0:58	 C1:140	 C2:360
1.63	 D0:34	 D1:258	 D2:108
1.69	 A0:740	 A1:770	 A2:115

1.72	 B0:224	 B1:310	 B2:229
1.66	 C0:58	 C1:140	 C2:360
1.66	 D0:34	 D1:258	 D2:108
1.72	 A0:740	 A1:770	 A2:115

1.75	 B0:212	 B1:310	 B2:229
1.69	 C0:58	 C1:141	 C2:360
1.69	 D0:34	 D1:258	 D2:108
1.75	 A0:740	 A1:770	 A2:115

1.78	 B0:216	 B1:311	 B2:229
1.72	 C0:58	 C1:141	 C2:360
1.72	 D0:34	 D1:258	 D2:108
1.78	 A0:740	 A1:770	 A2:115

1.81	 B0:222	 B1:310	 B2:229
1.75	 C0:58	 C1:141	 C2:360
1.75	 D0:34	 D1:258	 D2:108
1.81	 A0:740	 A1:770	 A2:115

1.85	 B0:225	 B1:310	 B2:229
1.78	 C0:59	 C1:141	 C2:360
1.78	 D0:34	 D1:258	 D2:108
1.85	 A0:740	 A1:770	 A2:115

1.88	 B0:228	 B1:310	 B2:229
1.81	 C0:58	 C1:141	 C2:360
1.81	 D0:34	 D1:258	 D2:108
1.88	 A0:740	 A1:770	 A2:115

1.91	 B0:238	 B1:310	 B2:229
1.84	 C0:58	 C1:141	 C2:360
1.84	 D0:34	 D1:258	 D2:108
1.91	 A0:740	 A1:770	 A2:115

1.94	 B0:237	 B1:311	 B2:229
1.87	 C0:58	 C1:140	 C2:360
1.87	 D0:34	 D1:258	 D2:108
1.94	 A0:740	 A1:770	 A2:115

1.97	 B0:225	 B1:310	 B2:229
1.90	 C0:58	 C1:141	 C2:360
1.90	 D0:34	 D1:258	 D2:108
1.97	 A0:740	 A1:770	 A2:115

2.00	 B0:213	 B1:311	 B2:229
1.93	 C0:58	 C1:141	 C2:360
1.93	 D0:34	 D1:258	 D2:108
2.00	 A0:740	 A1:770	 A2:115

2.03	 B0:215	 B1:310	 B2:229
1.96	 C0:58	 C1:141	 C2:360
1.96	 D0:34	 D1:258	 D2:108
2.03	 A0:740	 A1:770	 A2:115

2.06	 B0:221	 B1:310	 B2:229
1.99	 C0:58	 C1:141	 C2:360
1.99	 D0:34	 D1:258	 D2:108
2.06	 A0:740	 A1:770	 A2:115

2.10	 B0:224	 B1:310	 B2:229
2.02	 C0:58	 C1:140	 C2:360
2.02	 D0:35	 D1:258	 D2:108
2.10	 A0:740	 A1:770	 A2:115

2.13	 B0:227	 B1:310	 B2:229
2.05	 C0:58	 C1:141	 C2:360
2.05	 D0:35	 D1:258	 D2:108
2.13	 A0:740	 A1:770	 A2:115

2.16	 B0:237	 B1:310	 B2:229
2.08	 C0:58	 C1:140	 C2:360
2.08	 D0:34	 D1:258	 D2:108
2.16	 A0:740	 A1:770	 A2:115

2.19	 B0:238	 B1:310	 B2:229
2.11	 C0:59	 C1:141	 C2:360
