0.97	 C0:51	 C1:128	 C2:334

0.97	 D0:33	 D1:247	 D2:104

1.15	 A0:723	 A1:750	 A2:97


1.00	 B0:28	 B1:295	 B2:206

1.00	 C0:51	 C1:128	 C2:334

1.00	 D0:33	 D1:247	 D2:105

1.18	 A0:719	 A1:752	 A2:98


1.03	 B0:27	 B1:294	 B2:206

1.03	 C0:51	 C1:128	 C2:334

1.03	 D0:33	 D1:247	 D2:104

1.21	 A0:720	 A1:753	 A2:98


1.06	 B0:28	 B1:294	 B2:206

1.06	 C0:51	 C1:128	 C2:334

1.06	 D0:33	 D1:247	 D2:105

1.24	 A0:722	 A1:754	 A2:98


1.09	 B0:28	 B1:295	 B2:206

1.09	 C0:51	 C1:128	 C2:334

1.09	 D0:33	 D1:247	 D2:105

1.27	 A0:722	 A1:754	 A2:98


1.12	 B0:28	 B1:295	 B2:206

1.12	 C0:51	 C1:128	 C2:334

1.12	 D0:33	 D1:247	 D2:105

1.30	 A0:724	 A1:756	 A2:98


1.15	 B0:27	 B1:295	 B2:206

1.15	 C0:51	 C1:128	 C2:334

1.15	 D0:33	 D1:247	 D2:105

1.33	 A0:724	 A1:756	 A2:98


1.18	 B0:27	 B1:295	 B2:206

1.18	 C0:51	 C1:128	 C2:334

1.18	 D0:33	 D1:247	 D2:105

1.36	 A0:727	 A1:759	 A2:99


1.21	 B0:28	 B1:295	 B2:206

1.21	 C0:51	 C1:128	 C2:334

1.21	 D0:33	 D1:247	 D2:105

1.39	 A0:728	 A1:759	 A2:99


1.24	 B0:28	 B1:295	 B2:206

1.24	 C0:51	 C1:128	 C2:334

1.24	 D0:33	 D1:247	 D2:104

1.42	 A0:728	 A1:759	 A2:98


1.27	 B0:27	 B1:295	 B2:206

1.27	 C0:51	 C1:128	 C2:334

1.27	 D0:33	 D1:247	 D2:105

1.45	 A0:728	 A1:760	 A2:98


1.30	 B0:28	 B1:294	 B2:206

1.30	 C0:51	 C1:128	 C2:334

1.30	 D0:33	 D1:247	 D2:104

1.48	 A0:728	 A1:760	 A2:98


1.33	 B0:28	 B1:295	 B2:206

1.33	 C0:51	 C1:128	 C2:334

1.33	 D0:33	 D1:246	 D2:105

1.51	 A0:728	 A1:760	 A2:99


1.36	 B0:27	 B1:294	 B2:206

1.36	 C0:51	 C1:128	 C2:334

1.36	 D0:33	 D1:247	 D2:105

1.54	 A0:729	 A1:760	 A2:98


1.39	 B0:28	 B1:294	 B2:206

1.39	 C0:51	 C1:128	 C2:334

1.39	 D0:33	 D1:247	 D2:105

1.57	 A0:728	 A1:760	 A2:98


1.42	 B0:28	 B1:295	 B2:206

1.42	 C0:51	 C1:128	 C2:334

1.42	 D0:33	 D1:247	 D2:105

1.60	 A0:729	 A1:760	 A2:98


1.45	 B0:28	 B1:295	 B2:206

1.45	 C0:50	 C1:128	 C2:334

1.45	 D0:33	 D1:247	 D2:105

1.63	 A0:729	 A1:760	 A2:98


1.48	 B0:28	 B1:294	 B2:206

1.48	 C0:50	 C1:128	 C2:334

1.48	 D0:33	 D1:247	 D2:105

1.66	 A0:729	 A1:760	 A2:98


1.51	 B0:27	 B1:295	 B2:206

1.51	 C0:50	 C1:128	 C2:334

1.51	 D0:33	 D1:247	 D2:105

1.70	 A0:729	 A1:761	 A2:98


1.54	 B0:28	 B1:295	 B2:206

1.54	 C0:51	 C1:128	 C2:334

1.54	 D0:33	 D1:247	 D2:105

1.73	 A0:729	 A1:760	 A2:98


1.57	 B0:28	 B1:294	 B2:206

1.57	 C0:51	 C1:128	 C2:334

1.57	 D0:33	 D1:247	 D2:105

1.76	 A0:729	 A1:760	 A2:98


1.60	 B0:28	 B1:294	 B2:206

1.60	 C0:51	 C1:128	 C2:334

1.60	 D0:33	 D1:247	 D2:105

1.78	 A0:729	 A1:761	 A2:98


1.63	 B0:27	 B1:294	 B2:206

1.63	 C0:51	 C1:128	 C2:334

1.63	 D0:33	 D1:247	 D2:105

1.82	 A0:729	 A1:760	 A2:98


1.66	 B0:27	 B1:294	 B2:206

1.66	 C0:51	 C1:128	 C2:334

1.66	 D0:33	 D1:247	 D2:105

1.85	 A0:729	 A1:761	 A2:98


1.69	 B0:28	 B1:294	 B2:206

1.69	 C0:50	 C1:128	 C2:334

1.69	 D0:33	 D1:247	 D2:105

1.88	 A0:729	 A1:761	 A2:98


1.72	 B0:28	 B1:294	 B2:206

1.72	 C0:51	 C1:128	 C2:334

1.72	 D0:33	 D1:247	 D2:105

1.91	 A0:729	 A1:761	 A2:98


1.75	 B0:28	 B1:295	 B2:206

1.75	 C0:51	 C1:128	 C2:334

1.75	 D0:33	 D1:247	 D2:105

1.94	 A0:729	 A1:760	 A2:98


1.78	 B0:28	 B1:294	 B2:206

1.78	 C0:51	 C1:128	 C2:334

1.78	 D0:33	 D1:247	 D2:105

1.97	 A0:729	 A1:761	 A2:98


1.81	 B0:28	 B1:295	 B2:206

1.81	 C0:51	 C1:128	 C2:334

1.81	 D0:33	 D1:247	 D2:105

2.00	 A0:729	 A1:761	 A2:98


1.84	 B0:28	 B1:294	 B2:206

1.84	 C0:51	 C1:128	 C2:334

1.84	 D0:33	 D1:247	 D2:105

2.03	 A0:729	 A1:761	 A2:98


1.87	 B0:28	 B1:294	 B2:206

1.87	 C0:51	 C1:128	 C2:334

1.87	 D0:33	 D1:247	 D2:105

2.06	 A0:729	 A1:761	 A2:98


1.90	 B0:28	 B1:294	 B2:206

1.90	 C0:51	 C1:128	 C2:334

1.90	 D0:33	 D1:247	 D2:105

2.09	 A0:729	 A1:761	 A2:98


1.93	 B0:28	 B1:294	 B2:206

1.93	 C0:50	 C1:128	 C2:334

1.93	 D0:33	 D1:246	 D2:105

2.12	 A0:729	 A1:761	 A2:98


1.96	 B0:28	 B1:295	 B2:206

1.96	 C0:51	 C1:128	 C2:334

1.96	 D0:33	 D1:247	 D2:105

2.15	 A0:729	 A1:761	 A2:98


1.99	 B0:27	 B1:294	 B2:206

1.99	 C0:51	 C1:128	 C2:334

1.99	 D0:33	 D1:247	 D2:105

2.18	 A0:729	 A1:761	 A2:98


2.02	 B0:28	 B1:294	 B2:206

2.02	 C0:51	 C1:128	 C2:334

2.02	 D0:33	 D1:247	 D2:105

2.21	 A0:729	 A1:761	 A2:98


2.05	 B0:28	 B1:294	 B2:206

2.05	 C0:51	 C1:128	 C2:334

2.05	 D0:33	 D1:247	 D2:105

2.24	 A0:729	 A1:761	 A2:99


2.08	 B0:28	 B1:294	 B2:206

2.08	 C0:51	 C1:128	 C2:334

2.08	 D0:33	 D1:247	 D2:105

2.27	 A0:729	 A1:761	 A2:98


2.11	 B0:28	 B1:294	 B2:206

2.11	 C0:51	 C1:128	 C2:334

2.11	 D0:33	 D1:247	 D2:105

2.30	 A0:729	 A1:761	 A2:98


2.14	 B0:28	 B1:294	 B2:206

2.14	 C0:51	 C1:128	 C2:334

2.14	 D0:33	 D1:247	 D2:105

2.33	 A0:729	 A1:761	 A2:98


2.17	 B0:27	 B1:294	 B2:206

2.17	 C0:51	 C1:128	 C2:334

2.17	 D0:33	 D1:247	 D2:105

2.36	 A0:729	 A1:761	 A2:98


2.20	 B0:27	 B1:294	 B2:206

2.20	 C0:51	 C1:128	 C2:334

2.20	 D0:33	 D1:247	 D2:105

2.39	 A0:729	 A1:761	 A2:98


2.23	 B0:28	 B1:294	 B2:206

2.23	 C0:51	 C1:128	 C2:334

2.23	 D0:33	 D1:247	 D2:105

2.42	 A0:729	 A1:761	 A2:98


2.26	 B0:27	 B1:294	 B2:206

2.26	 C0:50	 C1:128	 C2:334

2.26	 D0:33	 D1:247	 D2:105

2.45	 A0:729	 A1:761	 A2:98


2.29	 B0:28	 B1:294	 B2:206

2.29	 C0:50	 C1:128	 C2:334

2.29	 D0:33	 D1:247	 D2:105

2.48	 A0:729	 A1:761	 A2:98


2.32	 B0:27	 B1:294	 B2:206

2.32	 C0:50	 C1:128	 C2:334

2.32	 D0:33	 D1:247	 D2:105

2.51	 A0:729	 A1:761	 A2:98


2.36	 B0:28	 B1:294	 B2:206

2.36	 C0:51	 C1:128	 C2:334

2.36	 D0:33	 D1:247	 D2:105

2.54	 A0:729	 A1:761	 A2:98


2.38	 B0:28	 B1:294	 B2:206

2.38	 C0:51	 C1:128	 C2:334

2.38	 D0:33	 D1:247	 D2:105

2.57	 A0:729	 A1:761	 A2:98


2.42	 B0:27	 B1:294	 B2:206

2.42	 C0:51	 C1:128	 C2:334

2.42	 D0:33	 D1:247	 D2:105

2.60	 A0:729	 A1:761	 A2:98


2.45	 B0:28	 B1:294	 B2:206

2.45	 C0:51	 C1:128	 C2:334

2.45	 D0:33	 D1:247	 D2:105

2.63	 A0:729	 A1:761	 A2:98


2.48	 B0:27	 B1:294	 B2:206

2.48	 C0:50	 C1:128	 C2:334

2.48	 D0:33	 D1:247	 D2:105

2.66	 A0:729	 A1:761	 A2:98


2.51	 B0:28	 B1:294	 B2:206

2.51	 C0:51	 C1:128	 C2:334

2.51	 D0:33	 D1:247	 D2:105

2.69	 A0:729	 A1:761	 A2:98


2.54	 B0:28	 B1:294	 B2:206

2.54	 C0:51	 C1:128	 C2:334

2.54	 D0:33	 D1:247	 D2:105

2.72	 A0:729	 A1:761	 A2:98


2.57	 B0:28	 B1:294	 B2:206

2.57	 C0:51	 C1:128	 C2:334

2.57	 D0:33	 D1:247	 D2:105

2.75	 A0:729	 A1:761	 A2:98


2.60	 B0:28	 B1:295	 B2:206

2.60	 C0:51	 C1:128	 C2:334

2.60	 D0:33	 D1:247	 D2:105

2.78	 A0:729	 A1:761	 A2:98


2.63	 B0:27	 B1:295	 B2:206

2.63	 C0:51	 C1:128	 C2:334

2.63	 D0:33	 D1:247	 D2:105

2.81	 A0:729	 A1:761	 A2:98


2.66	 B0:27	 B1:294	 B2:206

2.66	 C0:51	 C1:128	 C2:334

2.66	 D0:33	 D1:247	 D2:105

2.84	 A0:729	 A1:761	 A2:98


2.69	 B0:27	 B1:295	 B2:206

2.69	 C0:51	 C1:128	 C2:334

2.69	 D0:33	 D1:247	 D2:105

2.87	 A0:729	 A1:761	 A2:98


2.72	 B0:27	 B1:294	 B2:206

2.72	 C0:51	 C1:128	 C2:334

2.72	 D0:33	 D1:247	 D2:105

2.90	 A0:729	 A1:761	 A2:98


2.75	 B0:27	 B1:294	 B2:206

2.75	 C0:51	 C1:128	 C2:334

2.75	 D0:33	 D1:247	 D2:105

2.93	 A0:729	 A1:761	 A2:98


2.78	 B0:28	 B1:294	 B2:206

2.78	 C0:51	 C1:128	 C2:334

2.78	 D0:33	 D1:247	 D2:105

2.96	 A0:729	 A1:761	 A2:98


2.81	 B0:27	 B1:294	 B2:206

2.81	 C0:51	 C1:128	 C2:334

2.81	 D0:33	 D1:247	 D2:105

2.99	 A0:729	 A1:761	 A2:98


2.84	 B0:28	 B1:294	 B2:206

2.84	 C0:51	 C1:128	 C2:334

2.84	 D0:33	 D1:246	 D2:105

3.02	 A0:729	 A1:761	 A2:98


2.87	 B0:28	 B1:295	 B2:206

2.87	 C0:51	 C1:128	 C2:334

2.87	 D0:33	 D1:247	 D2:105

3.05	 A0:729	 A1:761	 A2:98


