1.88	 C0:719	 C1:751	 C2:155
1.81	 D0:29	 D1:127	 D2:123

1.91	 C0:719	 C1:751	 C2:155
1.84	 D0:28	 D1:128	 D2:123

1.94	 C0:719	 C1:751	 C2:155
1.87	 D0:29	 D1:127	 D2:123

1.97	 C0:719	 C1:751	 C2:155
1.90	 D0:29	 D1:127	 D2:123

2.00	 C0:719	 C1:751	 C2:155
1.93	 D0:28	 D1:127	 D2:123

2.03	 C0:719	 C1:751	 C2:155
1.96	 D0:28	 D1:127	 D2:123

2.06	 C0:719	 C1:751	 C2:154
1.99	 D0:28	 D1:127	 D2:123

2.10	 C0:719	 C1:751	 C2:154
2.02	 D0:28	 D1:128	 D2:123

2.13	 C0:718	 C1:751	 C2:155
2.05	 D0:28	 D1:128	 D2:123

2.16	 C0:718	 C1:751	 C2:155
2.08	 D0:28	 D1:127	 D2:124

2.19	 C0:719	 C1:751	 C2:154
2.11	 D0:29	 D1:127	 D2:124

2.22	 C0:719	 C1:751	 C2:154
2.14	 D0:29	 D1:127	 D2:124

2.25	 C0:719	 C1:751	 C2:155
2.17	 D0:29	 D1:127	 D2:123

2.28	 C0:719	 C1:751	 C2:155
2.20	 D0:29	 D1:127	 D2:124

2.31	 C0:719	 C1:751	 C2:155
2.23	 D0:29	 D1:127	 D2:124

2.34	 C0:718	 C1:751	 C2:155
2.26	 D0:29	 D1:127	 D2:124

2.38	 C0:719	 C1:751	 C2:155
2.29	 D0:29	 D1:127	 D2:123

2.41	 C0:719	 C1:751	 C2:155
2.32	 D0:28	 D1:127	 D2:124

2.44	 C0:719	 C1:751	 C2:154
2.36	 D0:28	 D1:128	 D2:123

2.47	 C0:719	 C1:751	 C2:155
2.38	 D0:28	 D1:127	 D2:123

2.50	 C0:719	 C1:751	 C2:155
2.42	 D0:29	 D1:127	 D2:124

2.53	 C0:719	 C1:751	 C2:155
2.45	 D0:28	 D1:127	 D2:123

2.56	 C0:719	 C1:751	 C2:155
2.48	 D0:28	 D1:127	 D2:124

2.59	 C0:719	 C1:751	 C2:155
