1.00	 A0:726	 A1:757	 A2:71

1.03	 B0:21	 B1:261	 B2:180
1.03	 C0:47	 C1:127	 C2:300
1.03	 D0:31	 D1:231	 D2:110
1.03	 A0:726	 A1:757	 A2:71

1.06	 B0:21	 B1:261	 B2:180
1.06	 C0:47	 C1:128	 C2:300
1.06	 D0:31	 D1:231	 D2:110
1.06	 A0:726	 A1:757	 A2:72

1.09	 B0:21	 B1:261	 B2:180
1.09	 C0:47	 C1:128	 C2:300
1.09	 D0:31	 D1:231	 D2:110
1.09	 A0:726	 A1:757	 A2:72

1.12	 B0:21	 B1:261	 B2:180
1.12	 C0:47	 C1:128	 C2:300
1.12	 D0:31	 D1:231	 D2:110
1.12	 A0:726	 A1:757	 A2:72

1.15	 B0:21	 B1:261	 B2:180
1.15	 C0:47	 C1:128	 C2:300
1.15	 D0:30	 D1:231	 D2:110
1.15	 A0:726	 A1:757	 A2:71

1.18	 B0:21	 B1:261	 B2:180
1.18	 C0:47	 C1:128	 C2:300
1.18	 D0:31	 D1:231	 D2:110
1.18	 A0:726	 A1:757	 A2:72

1.21	 B0:21	 B1:261	 B2:180
1.21	 C0:47	 C1:128	 C2:300
1.21	 D0:31	 D1:231	 D2:110
1.21	 A0:726	 A1:757	 A2:71

1.24	 B0:21	 B1:261	 B2:180
1.24	 C0:47	 C1:128	 C2:300
1.24	 D0:30	 D1:231	 D2:110
1.24	 A0:726	 A1:757	 A2:72

1.27	 B0:21	 B1:261	 B2:180
1.27	 C0:47	 C1:128	 C2:300
1.27	 D0:31	 D1:231	 D2:110
1.27	 A0:726	 A1:757	 A2:72

1.30	 B0:22	 B1:261	 B2:180
1.30	 C0:47	 C1:128	 C2:300
1.30	 D0:31	 D1:231	 D2:110
1.30	 A0:726	 A1:757	 A2:71

1.33	 B0:21	 B1:261	 B2:180
1.33	 C0:47	 C1:128	 C2:300
1.33	 D0:31	 D1:231	 D2:110
1.33	 A0:725	 A1:757	 A2:71

1.36	 B0:22	 B1:261	 B2:180
1.36	 C0:47	 C1:128	 C2:300
1.36	 D0:31	 D1:231	 D2:110
1.36	 A0:726	 A1:757	 A2:71

1.39	 B0:21	 B1:261	 B2:180
1.39	 C0:47	 C1:128	 C2:300
1.39	 D0:30	 D1:231	 D2:110
1.39	 A0:726	 A1:757	 A2:71

1.42	 B0:21	 B1:261	 B2:180
1.42	 C0:47	 C1:128	 C2:300
1.42	 D0:30	 D1:231	 D2:110
1.42	 A0:726	 A1:757	 A2:71

1.45	 B0:21	 B1:261	 B2:180
1.45	 C0:47	 C1:128	 C2:300
1.45	 D0:31	 D1:231	 D2:110
1.45	 A0:726	 A1:757	 A2:72

1.48	 B0:21	 B1:261	 B2:180
1.48	 C0:47	 C1:128	 C2:300
1.48	 D0:31	 D1:231	 D2:110
1.48	 A0:726	 A1:757	 A2:71

1.51	 B0:21	 B1:261	 B2:180
1.51	 C0:47	 C1:128	 C2:300
1.51	 D0:31	 D1:231	 D2:110
1.51	 A0:726	 A1:757	 A2:71

1.54	 B0:21	 B1:261	 B2:180
1.54	 C0:47	 C1:128	 C2:300
1.54	 D0:31	 D1:231	 D2:110
1.54	 A0:726	 A1:758	 A2:71

1.57	 B0:22	 B1:261	 B2:180
1.57	 C0:47	 C1:128	 C2:300
1.57	 D0:30	 D1:231	 D2:110
1.57	 A0:725	 A1:757	 A2:71

1.60	 B0:21	 B1:261	 B2:180
1.60	 C0:47	 C1:127	 C2:300
1.60	 D0:30	 D1:231	 D2:110
1.60	 A0:726	 A1:757	 A2:71

1.63	 B0:21	 B1:261	 B2:180
1.63	 C0:47	 C1:128	 C2:300
1.63	 D0:31	 D1:231	 D2:110
1.63	 A0:726	 A1:757	 A2:71

1.66	 B0:21	 B1:261	 B2:180
1.66	 C0:47	 C1:128	 C2:300
1.66	 D0:30	 D1:231	 D2:110
1.66	 A0:726	 A1:757	 A2:71

1.69	 B0:21	 B1:261	 B2:180
1.69	 C0:47	 C1:128	 C2:300
1.69	 D0:30	 D1:231	 D2:110
1.69	 A0:725	 A1:757	 A2:71

1.72	 B0:21	 B1:261	 B2:180
1.72	 C0:47	 C1:127	 C2:300
1.72	 D0:31	 D1:231	 D2:110
1.72	 A0:726	 A1:757	 A2:71

1.75	 B0:21	 B1:261	 B2:180
1.75	 C0:47	 C1:128	 C2:300
1.75	 D0:30	 D1:231	 D2:110
1.75	 A0:726	 A1:757	 A2:71

1.78	 B0:21	 B1:261	 B2:180
1.78	 C0:47	 C1:128	 C2:300
1.78	 D0:31	 D1:231	 D2:110
1.78	 A0:726	 A1:757	 A2:71

1.81	 B0:21	 B1:261	 B2:180
1.81	 C0:47	 C1:128	 C2:300
1.81	 D0:31	 D1:231	 D2:110
1.81	 A0:726	 A1:757	 A2:71

1.84	 B0:21	 B1:261	 B2:180
1.84	 C0:47	 C1:127	 C2:300
1.84	 D0:30	 D1:231	 D2:109
1.84	 A0:726	 A1:757	 A2:71

1.87	 B0:21	 B1:261	 B2:180
1.87	 C0:47	 C1:127	 C2:300
1.87	 D0:30	 D1:231	 D2:110
1.87	 A0:726	 A1:758	 A2:71

1.90	 B0:22	 B1:261	 B2:180
1.90	 C0:47	 C1:128	 C2:300
1.90	 D0:30	 D1:231	 D2:110
1.90	 A0:726	 A1:757	 A2:71

1.93	 B0:21	 B1:261	 B2:180
1.93	 C0:47	 C1:127	 C2:300
1.93	 D0:30	 D1:231	 D2:110
1.93	 A0:725	 A1:757	 A2:71

1.96	 B0:21	 B1:261	 B2:180
1.96	 C0:47	 C1:127	 C2:300
1.96	 D0:31	 D1:231	 D2:110
1.96	 A0:726	 A1:757	 A2:71

1.99	 B0:21	 B1:261	 B2:180
1.99	 C0:47	 C1:127	 C2:300
1.99	 D0:31	 D1:231	 D2:110
1.99	 A0:726	 A1:757	 A2:71

2.02	 B0:21	 B1:261	 B2:180
2.02	 C0:47	 C1:127	 C2:300
2.02	 D0:30	 D1:231	 D2:110
2.02	 A0:726	 A1:757	 A2:71

2.05	 B0:21	 B1:261	 B2:180
2.05	 C0:47	 C1:127	 C2:300
2.05	 D0:30	 D1:231	 D2:110
2.05	 A0:726	 A1:757	 A2:71

2.08	 B0:21	 B1:261	 B2:180
2.08	 C0:47	 C1:127	 C2:300
2.08	 D0:30	 D1:231	 D2:110
2.08	 A0:725	 A1:757	 A2:71

2.11	 B0:22	 B1:261	 B2:180
2.11	 C0:47	 C1:127	 C2:300
2.11	 D0:30	 D1:231	 D2:110
2.11	 A0:726	 A1:757	 A2:71

2.14	 B0:21	 B1:261	 B2:180
2.14	 C0:47	 C1:127	 C2:300
2.14	 D0:30	 D1:231	 D2:110
2.14	 A0:726	 A1:757	 A2:71

2.17	 B0:21	 B1:261	 B2:180
2.17	 C0:47	 C1:127	 C2:300
2.17	 D0:31	 D1:231	 D2:110
