204.41	 A0:43	 A1:323	 A2:112	 T:22.20
597.34	 B0:64	 B1:105	 B2:41	 T:22.20
0.03	 C0:6	 C1:53	 C2:40	 T:22.20
0.03	 D0:22	 D1:341	 D2:347	 T:21.80

200.00	 A0:43	 A1:323	 A2:112	 T:22.20
0.03	 B0:64	 B1:105	 B2:41	 T:22.20
0.06	 C0:6	 C1:52	 C2:41	 T:22.20
0.06	 D0:22	 D1:341	 D2:327	 T:21.80

0.05	 A0:43	 A1:323	 A2:112	 T:22.20
0.06	 B0:63	 B1:105	 B2:41	 T:22.20
0.12	 C0:7	 C1:53	 C2:41	 T:22.20
0.14	 D0:21	 D1:341	 D2:322	 T:21.80

0.10	 A0:43	 A1:323	 A2:112	 T:22.20
0.13	 B0:64	 B1:105	 B2:41	 T:22.20
0.19	 C0:7	 C1:52	 C2:41	 T:22.20
0.22	 D0:22	 D1:341	 D2:355	 T:21.80

0.18	 A0:43	 A1:323	 A2:112	 T:22.20
0.21	 B0:64	 B1:105	 B2:41	 T:22.20
0.27	 C0:6	 C1:53	 C2:41	 T:22.20
0.30	 D0:22	 D1:341	 D2:340	 T:21.80

0.26	 A0:43	 A1:323	 A2:112	 T:22.20
0.29	 B0:63	 B1:105	 B2:41	 T:22.20
0.34	 C0:7	 C1:53	 C2:41	 T:22.20
0.37	 D0:22	 D1:341	 D2:327	 T:21.80

0.34	 A0:43	 A1:323	 A2:112	 T:22.20
0.36	 B0:64	 B1:105	 B2:41	 T:22.20
0.41	 C0:7	 C1:53	 C2:41	 T:22.20
0.45	 D0:22	 D1:341	 D2:336	 T:21.80

0.41	 A0:43	 A1:323	 A2:112	 T:22.20
0.44	 B0:63	 B1:105	 B2:41	 T:22.20
0.49	 C0:7	 C1:53	 C2:41	 T:22.20
0.53	 D0:22	 D1:340	 D2:352	 T:21.80

0.49	 A0:43	 A1:323	 A2:112	 T:22.20
0.52	 B0:63	 B1:105	 B2:41	 T:22.20
0.56	 C0:7	 C1:53	 C2:41	 T:22.20
0.61	 D0:22	 D1:340	 D2:344	 T:21.80

0.57	 A0:43	 A1:323	 A2:112	 T:22.20
0.59	 B0:64	 B1:105	 B2:41	 T:22.20
0.63	 C0:7	 C1:53	 C2:41	 T:22.20
0.69	 D0:21	 D1:340	 D2:316	 T:21.80

0.65	 A0:43	 A1:323	 A2:112	 T:22.20
0.67	 B0:64	 B1:105	 B2:41	 T:22.20
0.70	 C0:7	 C1:53	 C2:41	 T:22.20
0.77	 D0:22	 D1:340	 D2:344	 T:21.80

0.73	 A0:43	 A1:323	 A2:112	 T:22.20
0.75	 B0:63	 B1:105	 B2:41	 T:22.20
0.78	 C0:7	 C1:53	 C2:41	 T:22.20
0.85	 D0:22	 D1:340	 D2:342	 T:21.80

0.81	 A0:43	 A1:323	 A2:112	 T:22.20
0.83	 B0:63	 B1:105	 B2:41	 T:22.20
0.85	 C0:7	 C1:53	 C2:41	 T:22.20
0.93	 D0:21	 D1:340	 D2:345	 T:21.80

0.89	 A0:43	 A1:323	 A2:112	 T:22.20
0.90	 B0:63	 B1:105	 B2:41	 T:22.20
0.92	 C0:6	 C1:52	 C2:41	 T:22.20
1.01	 D0:21	 D1:340	 D2:307	 T:21.80

0.97	 A0:43	 A1:323	 A2:112	 T:22.20
0.98	 B0:63	 B1:105	 B2:41	 T:22.20
1.00	 C0:7	 C1:53	 C2:41	 T:22.20
1.09	 D0:21	 D1:340	 D2:354	 T:21.80

1.05	 A0:43	 A1:323	 A2:112	 T:22.20
1.06	 B0:63	 B1:105	 B2:41	 T:22.20
1.07	 C0:7	 C1:53	 C2:40	 T:22.20
1.17	 D0:22	 D1:340	 D2:336	 T:21.80

1.13	 A0:43	 A1:323	 A2:112	 T:22.20
1.13	 B0:63	 B1:105	 B2:41	 T:22.20
1.14	 C0:7	 C1:52	 C2:40	 T:22.20
1.25	 D0:22	 D1:340	 D2:342	 T:21.80

1.21	 A0:43	 A1:323	 A2:112	 T:22.20
1.21	 B0:63	 B1:105	 B2:41	 T:22.20
1.21	 C0:7	 C1:52	 C2:41	 T:22.20
1.32	 D0:22	 D1:340	 D2:312	 T:21.80

1.28	 A0:43	 A1:323	 A2:112	 T:22.20
1.29	 B0:63	 B1:105	 B2:41	 T:22.20
1.29	 C0:7	 C1:53	 C2:40	 T:22.20
1.40	 D0:22	 D1:340	 D2:357	 T:21.80

1.36	 A0:43	 A1:323	 A2:112	 T:22.20
1.36	 B0:63	 B1:105	 B2:41	 T:22.20
1.36	 C0:7	 C1:52	 C2:41	 T:22.20
1.48	 D0:22	 D1:340	 D2:337	 T:21.80

1.44	 A0:43	 A1:323	 A2:112	 T:22.20
1.44	 B0:63	 B1:105	 B2:41	 T:22.20
1.43	 C0:7	 C1:53	 C2:40	 T:22.20
1.56	 D0:22	 D1:340	 D2:334	 T:21.80

1.52	 A0:43	 A1:323	 A2:112	 T:22.20
1.52	 B0:63	 B1:105	 B2:41	 T:22.20
1.51	 C0:6	 C1:52	 C2:40	 T:22.20
1.64	 D0:22	 D1:340	 D2:324	 T:21.80

1.60	 A0:43	 A1:323	 A2:112	 T:22.20
1.60	 B0:63	 B1:105	 B2:41	 T:22.20
1.58	 C0:6	 C1:53	 C2:40	 T:22.20
1.72	 D0:22	 D1:340	 D2:354	 T:21.80

1.68	 A0:43	 A1:323	 A2:112	 T:22.20
1.67	 B0:63	 B1:105	 B2:41	 T:22.20
1.65	 C0:6	 C1:53	 C2:41	 T:22.20
1.80	 D0:22	 D1:340	 D2:340	 T:21.80

1.76	 A0:43	 A1:323	 A2:112	 T:22.20
1.75	 B0:63	 B1:105	 B2:41	 T:22.20
1.72	 C0:7	 C1:53	 C2:40	 T:22.20
1.88	 D0:22	 D1:341	 D2:327	 T:21.80

1.84	 A0:43	 A1:323	 A2:112	 T:22.20
1.83	 B0:63	 B1:105	 B2:41	 T:22.20
1.80	 C0:6	 C1:53	 C2:41	 T:22.20
1.96	 D0:22	 D1:340	 D2:335	 T:21.80

1.92	 A0:42	 A1:323	 A2:112	 T:22.20
1.90	 B0:63	 B1:105	 B2:41	 T:22.20
1.87	 C0:6	 C1:53	 C2:41	 T:22.20
2.05	 D0:22	 D1:341	 D2:328	 T:21.80

2.00	 A0:43	 A1:323	 A2:112	 T:22.20
1.98	 B0:63	 B1:105	 B2:41	 T:22.20
1.94	 C0:7	 C1:53	 C2:41	 T:22.20
2.11	 D0:22	 D1:341	 D2:337	 T:21.80

2.07	 A0:43	 A1:323	 A2:112	 T:22.20
2.06	 B0:63	 B1:105	 B2:41	 T:22.20
2.02	 C0:7	 C1:53	 C2:41	 T:22.20
2.19	 D0:21	 D1:341	 D2:336	 T:21.80

2.15	 A0:43	 A1:323	 A2:112	 T:22.20
2.14	 B0:63	 B1:105	 B2:41	 T:22.20
2.09	 C0:7	 C1:53	 C2:40	 T:22.20
2.27	 D0:22	 D1:341	 D2:321	 T:21.80

2.23	 A0:43	 A1:323	 A2:112	 T:22.20
2.21	 B0:63	 B1:105	 B2:41	 T:22.20
2.16	 C0:7	 C1:53	 C2:41	 T:22.20
2.35	 D0:22	 D1:341	 D2:357	 T:21.80

2.31	 A0:43	 A1:323	 A2:112	 T:22.20
2.29	 B0:63	 B1:105	 B2:41	 T:22.20
2.23	 C0:7	 C1:53	 C2:41	 T:22.20
2.43	 D0:22	 D1:341	 D2:338	 T:21.80

2.39	 A0:42	 A1:323	 A2:112	 T:22.20
2.37	 B0:63	 B1:105	 B2:41	 T:22.20
2.31	 C0:7	 C1:53	 C2:41	 T:22.20
2.51	 D0:22	 D1:341	 D2:329	 T:21.80

2.47	 A0:43	 A1:323	 A2:112	 T:22.20
2.44	 B0:63	 B1:105	 B2:41	 T:22.20
2.38	 C0:6	 C1:53	 C2:41	 T:22.20
2.59	 D0:22	 D1:340	 D2:334	 T:21.80

2.55	 A0:43	 A1:323	 A2:112	 T:22.20
2.52	 B0:63	 B1:105	 B2:41	 T:22.20
2.45	 C0:6	 C1:52	 C2:41	 T:22.20
2.67	 D0:22	 D1:340	 D2:351	 T:21.80

2.63	 A0:43	 A1:323	 A2:112	 T:22.20
2.60	 B0:63	 B1:105	 B2:41	 T:22.20
2.53	 C0:7	 C1:52	 C2:41	 T:22.20
2.75	 D0:22	 D1:340	 D2:345	 T:21.80

2.71	 A0:43	 A1:323	 A2:112	 T:22.20
2.67	 B0:63	 B1:105	 B2:41	 T:22.20
2.60	 C0:7	 C1:52	 C2:41	 T:22.20
2.83	 D0:21	 D1:341	 D2:319	 T:21.80

2.79	 A0:43	 A1:323	 A2:112	 T:22.20
2.75	 B0:63	 B1:105	 B2:41	 T:22.20
2.67	 C0:7	 C1:53	 C2:41	 T:22.20
2.91	 D0:22	 D1:340	 D2:342	 T:21.80

2.87	 A0:43	 A1:323	 A2:112	 T:22.20
2.83	 B0:63	 B1:105	 B2:41	 T:22.20
2.74	 C0:7	 C1:52	 C2:41	 T:22.20
2.98	 D0:22	 D1:340	 D2:345	 T:21.80

2.94	 A0:43	 A1:323	 A2:112	 T:22.20
2.90	 B0:63	 B1:105	 B2:41	 T:22.20
2.82	 C0:7	 C1:53	 C2:41	 T:22.20
3.06	 D0:22	 D1:340	 D2:346	 T:21.80

3.02	 A0:42	 A1:323	 A2:112	 T:22.20
2.98	 B0:63	 B1:105	 B2:41	 T:22.20
2.89	 C0:7	 C1:53	 C2:41	 T:22.20
3.14	 D0:22	 D1:341	 D2:312	 T:21.80

3.10	 A0:42	 A1:323	 A2:112	 T:22.20
3.06	 B0:63	 B1:105	 B2:41	 T:22.20
2.96	 C0:7	 C1:53	 C2:41	 T:22.20
3.22	 D0:22	 D1:340	 D2:349	 T:21.80

3.18	 A0:42	 A1:323	 A2:112	 T:22.20
3.14	 B0:63	 B1:105	 B2:41	 T:22.20
3.03	 C0:7	 C1:52	 C2:41	 T:22.20
3.30	 D0:22	 D1:340	 D2:339	 T:21.80

3.26	 A0:43	 A1:323	 A2:112	 T:22.20
3.21	 B0:63	 B1:105	 B2:40	 T:22.20
3.11	 C0:7	 C1:53	 C2:41	 T:22.20
3.38	 D0:21	 D1:341	 D2:345	 T:21.80

3.34	 A0:43	 A1:324	 A2:112	 T:22.20
3.29	 B0:63	 B1:105	 B2:40	 T:22.20
3.18	 C0:7	 C1:53	 C2:41	 T:22.20
3.46	 D0:22	 D1:340	 D2:309	 T:21.80

3.42	 A0:43	 A1:323	 A2:112	 T:22.20
3.37	 B0:63	 B1:105	 B2:40	 T:22.20
3.25	 C0:7	 C1:53	 C2:41	 T:22.20
3.54	 D0:22	 D1:341	 D2:356	 T:21.80

3.50	 A0:43	 A1:323	 A2:112	 T:22.20
3.44	 B0:63	 B1:105	 B2:41	 T:22.20
3.33	 C0:7	 C1:53	 C2:40	 T:22.20
3.62	 D0:22	 D1:340	 D2:336	 T:21.80

3.58	 A0:43	 A1:324	 A2:112	 T:22.20
3.52	 B0:63	 B1:105	 B2:40	 T:22.20
3.40	 C0:7	 C1:53	 C2:41	 T:22.20
3.70	 D0:21	 D1:341	 D2:338	 T:21.80

3.66	 A0:43	 A1:323	 A2:112	 T:22.20
3.60	 B0:63	 B1:105	 B2:41	 T:22.20
3.47	 C0:6	 C1:53	 C2:41	 T:22.20
3.77	 D0:22	 D1:341	 D2:317	 T:21.80

3.73	 A0:43	 A1:323	 A2:112	 T:22.20
3.67	 B0:63	 B1:105	 B2:40	 T:22.20
3.54	 C0:7	 C1:53	 C2:40	 T:22.20
3.85	 D0:22	 D1:340	 D2:356	 T:21.80

3.81	 A0:43	 A1:323	 A2:112	 T:22.20
3.75	 B0:63	 B1:105	 B2:40	 T:22.20
3.62	 C0:7	 C1:53	 C2:41	 T:22.20
3.93	 D0:22	 D1:340	 D2:338	 T:21.80

3.89	 A0:42	 A1:323	 A2:112	 T:22.20
3.83	 B0:63	 B1:105	 B2:40	 T:22.20
3.69	 C0:7	 C1:53	 C2:41	 T:22.20
4.01	 D0:22	 D1:341	 D2:330	 T:21.80

3.97	 A0:42	 A1:323	 A2:112	 T:22.20
3.90	 B0:63	 B1:105	 B2:40	 T:22.20
3.76	 C0:6	 C1:53	 C2:41	 T:22.20
4.09	 D0:22	 D1:341	 D2:305	 T:21.80

4.07	 A0:42	 A1:323	 A2:112	 T:22.20
3.98	 B0:63	 B1:105	 B2:40	 T:22.20
3.84	 C0:6	 C1:53	 C2:41	 T:22.20
4.17	 D0:22	 D1:341	 D2:355	 T:21.80

4.13	 A0:42	 A1:323	 A2:112	 T:22.20
4.06	 B0:63	 B1:105	 B2:40	 T:22.20
3.91	 C0:6	 C1:52	 C2:40	 T:22.20
4.25	 D0:22	 D1:341	 D2:338	 T:21.80

4.21	 A0:42	 A1:323	 A2:112	 T:22.20
4.13	 B0:62	 B1:105	 B2:40	 T:22.20
3.98	 C0:7	 C1:53	 C2:41	 T:22.20
4.33	 D0:22	 D1:341	 D2:342	 T:21.80

4.29	 A0:43	 A1:323	 A2:112	 T:22.20
4.21	 B0:63	 B1:105	 B2:40	 T:22.20
4.07	 C0:7	 C1:52	 C2:41	 T:22.20
4.41	 D0:22	 D1:341	 D2:313	 T:21.80

4.36	 A0:42	 A1:323	 A2:112	 T:22.20
4.29	 B0:63	 B1:105	 B2:40	 T:22.20
4.13	 C0:7	 C1:52	 C2:41	 T:22.20
4.49	 D0:22	 D1:341	 D2:356	 T:21.80

4.45	 A0:43	 A1:323	 A2:112	 T:22.20
4.36	 B0:63	 B1:105	 B2:40	 T:22.20
4.20	 C0:7	 C1:53	 C2:40	 T:22.20
4.56	 D0:22	 D1:340	 D2:338	 T:21.80

4.52	 A0:42	 A1:323	 A2:112	 T:22.20
4.44	 B0:62	 B1:105	 B2:40	 T:22.20
4.27	 C0:7	 C1:53	 C2:41	 T:22.20
4.64	 D0:22	 D1:341	 D2:333	 T:21.80

4.60	 A0:42	 A1:323	 A2:112	 T:22.20
4.52	 B0:62	 B1:105	 B2:40	 T:22.20
4.34	 C0:7	 C1:53	 C2:41	 T:22.20
4.72	 D0:22	 D1:341	 D2:324	 T:21.80

4.68	 A0:43	 A1:323	 A2:112	 T:22.20
4.60	 B0:62	 B1:105	 B2:40	 T:22.20
4.42	 C0:7	 C1:53	 C2:40	 T:22.20
4.80	 D0:22	 D1:340	 D2:354	 T:21.80

4.76	 A0:43	 A1:323	 A2:112	 T:22.20
4.67	 B0:62	 B1:105	 B2:40	 T:22.20
4.49	 C0:7	 C1:53	 C2:41	 T:22.20
4.88	 D0:22	 D1:340	 D2:340	 T:21.80

4.84	 A0:42	 A1:323	 A2:112	 T:22.20
4.75	 B0:63	 B1:105	 B2:40	 T:22.20
4.56	 C0:6	 C1:53	 C2:41	 T:22.20
4.96	 D0:22	 D1:341	 D2:327	 T:21.80

4.92	 A0:42	 A1:323	 A2:112	 T:22.20
4.83	 B0:63	 B1:105	 B2:40	 T:22.20
4.64	 C0:7	 C1:53	 C2:41	 T:22.20
5.04	 D0:22	 D1:340	 D2:334	 T:21.80

5.00	 A0:43	 A1:323	 A2:112	 T:22.20
4.90	 B0:62	 B1:105	 B2:40	 T:22.20
4.71	 C0:6	 C1:53	 C2:41	 T:22.20
5.12	 D0:22	 D1:340	 D2:351	 T:21.80

5.08	 A0:43	 A1:323	 A2:112	 T:22.20
4.98	 B0:63	 B1:105	 B2:40	 T:22.20
4.78	 C0:7	 C1:53	 C2:41	 T:22.20
5.20	 D0:22	 D1:340	 D2:345	 T:21.80

5.16	 A0:42	 A1:324	 A2:112	 T:22.20
5.06	 B0:62	 B1:105	 B2:40	 T:22.20
4.85	 C0:7	 C1:53	 C2:41	 T:22.20
5.28	 D0:22	 D1:341	 D2:318	 T:21.80

5.23	 A0:42	 A1:323	 A2:112	 T:22.20
5.14	 B0:62	 B1:105	 B2:40	 T:22.20
4.93	 C0:7	 C1:52	 C2:41	 T:22.20
5.36	 D0:22	 D1:341	 D2:343	 T:21.80

5.31	 A0:42	 A1:323	 A2:112	 T:22.20
5.21	 B0:62	 B1:105	 B2:40	 T:22.20
5.00	 C0:7	 C1:53	 C2:41	 T:22.20
5.43	 D0:22	 D1:340	 D2:344	 T:21.80

5.39	 A0:42	 A1:323	 A2:112	 T:22.20
5.29	 B0:62	 B1:105	 B2:41	 T:22.20
5.07	 C0:7	 C1:53	 C2:41	 T:22.20
5.51	 D0:23	 D1:340	 D2:346	 T:21.80

5.47	 A0:42	 A1:323	 A2:112	 T:22.20
5.36	 B0:62	 B1:105	 B2:40	 T:22.20
5.15	 C0:6	 C1:53	 C2:40	 T:22.20
5.59	 D0:22	 D1:340	 D2:311	 T:21.80

5.55	 A0:42	 A1:323	 A2:112	 T:22.20
5.44	 B0:62	 B1:105	 B2:40	 T:22.20
5.22	 C0:7	 C1:53	 C2:41	 T:22.20
5.67	 D0:22	 D1:341	 D2:351	 T:21.80

5.63	 A0:43	 A1:323	 A2:112	 T:22.20
5.52	 B0:62	 B1:105	 B2:41	 T:22.20
5.29	 C0:7	 C1:53	 C2:41	 T:22.20
5.75	 D0:22	 D1:340	 D2:339	 T:21.80

5.71	 A0:42	 A1:323	 A2:112	 T:22.20
5.60	 B0:62	 B1:105	 B2:40	 T:22.20
5.36	 C0:7	 C1:53	 C2:41	 T:22.20
5.83	 D0:22	 D1:341	 D2:345	 T:21.80

5.79	 A0:42	 A1:323	 A2:112	 T:22.20
5.67	 B0:62	 B1:105	 B2:40	 T:22.20
5.44	 C0:6	 C1:53	 C2:41	 T:22.20
5.91	 D0:22	 D1:341	 D2:309	 T:21.80

5.87	 A0:42	 A1:323	 A2:112	 T:22.20
5.75	 B0:62	 B1:105	 B2:40	 T:22.20
5.51	 C0:7	 C1:53	 C2:41	 T:22.20
5.99	 D0:22	 D1:340	 D2:356	 T:21.80

5.95	 A0:42	 A1:323	 A2:112	 T:22.20
5.83	 B0:62	 B1:105	 B2:40	 T:22.20
5.58	 C0:7	 C1:53	 C2:41	 T:22.20
6.08	 D0:22	 D1:341	 D2:340	 T:21.80

6.03	 A0:42	 A1:323	 A2:112	 T:22.20
5.90	 B0:62	 B1:105	 B2:40	 T:22.20
5.66	 C0:7	 C1:53	 C2:41	 T:22.20
6.14	 D0:22	 D1:341	 D2:345	 T:21.80

6.10	 A0:42	 A1:323	 A2:112	 T:22.20
5.98	 B0:62	 B1:105	 B2:41	 T:22.20
5.73	 C0:7	 C1:53	 C2:41	 T:22.20
6.22	 D0:22	 D1:341	 D2:316	 T:21.80

6.18	 A0:42	 A1:323	 A2:112	 T:22.20
6.06	 B0:62	 B1:105	 B2:40	 T:22.20
5.80	 C0:7	 C1:53	 C2:41	 T:22.20
6.30	 D0:22	 D1:341	 D2:346	 T:21.80

6.26	 A0:42	 A1:323	 A2:112	 T:22.20
6.13	 B0:62	 B1:105	 B2:40	 T:22.20
5.87	 C0:7	 C1:53	 C2:41	 T:22.20
6.38	 D0:22	 D1:341	 D2:341	 T:21.80

6.34	 A0:42	 A1:323	 A2:112	 T:22.20
6.21	 B0:62	 B1:105	 B2:40	 T:22.20
5.95	 C0:7	 C1:53	 C2:40	 T:22.20
6.46	 D0:22	 D1:341	 D2:347	 T:21.80

6.42	 A0:42	 A1:323	 A2:112	 T:22.20
6.29	 B0:62	 B1:105	 B2:40	 T:22.20
6.02	 C0:7	 C1:53	 C2:41	 T:22.20
6.54	 D0:22	 D1:341	 D2:307	 T:21.80

6.50	 A0:42	 A1:323	 A2:112	 T:22.20
6.37	 B0:62	 B1:105	 B2:40	 T:22.20
6.09	 C0:7	 C1:52	 C2:41	 T:22.20
6.62	 D0:22	 D1:340	 D2:354	 T:21.80

