207.60	 A0:45	 A1:278	 A2:108	 T:23.00
419.47	 B0:58	 B1:91	 B2:36	 T:nan
B1:91	 B2:36	 T:nan
0.03	 C0:4	 C1:44	 C2:36	 T:23.00
423.35	 D0:20	 D1:294	 D2:275	 T:22.60

207.56	 A0:45	 A1:278	 A2:108	 T:23.00
419.43	 B0:58	 B1:91	 B2:36	 T:nan
0.06	 C0:4	 C1:45	 C2:37	 T:23.00
423.31	 D0:20	 D1:294	 D2:306	 T:22.60

207.60	 A0:45	 A1:278	 A2:108	 T:23.00
0.05	 B0:58	 B1:91	 B2:36	 T:nan
0.19	 C0:4	 C1:45	 C2:37	 T:23.00
0.05	 D0:20	 D1:293	 D2:278	 T:22.60

0.03	 A0:45	 A1:278	 A2:108	 T:23.00
0.12	 B0:58	 B1:91	 B2:37	 T:nan
0.27	 C0:4	 C1:45	 C2:37	 T:23.00
0.10	 D0:20	 D1:294	 D2:271	 T:22.60

0.06	 A0:45	 A1:278	 A2:108	 T:23.00
0.19	 B0:58	 B1:92	 B2:37	 T:nan
0.34	 C0:4	 C1:44	 C2:37	 T:23.00
0.18	 D0:20	 D1:294	 D2:298	 T:22.60

0.14	 A0:45	 A1:278	 A2:108	 T:23.00
0.26	 B0:58	 B1:92	 B2:36	 T:nan
0.41	 C0:4	 C1:44	 C2:37	 T:23.00
0.26	 D0:20	 D1:293	 D2:298	 T:22.60

0.22	 A0:45	 A1:278	 A2:108	 T:23.00
0.33	 B0:58	 B1:92	 B2:37	 T:nan
0.49	 C0:4	 C1:45	 C2:37	 T:23.00
0.34	 D0:20	 D1:293	 D2:299	 T:22.60

0.30	 A0:45	 A1:278	 A2:108	 T:23.00
0.40	 B0:58	 B1:91	 B2:36	 T:nan
0.56	 C0:4	 C1:45	 C2:37	 T:23.00
0.41	 D0:20	 D1:293	 D2:271	 T:22.60

0.37	 A0:45	 A1:279	 A2:108	 T:23.00
0.47	 B0:58	 B1:92	 B2:36	 T:nan
0.63	 C0:4	 C1:45	 C2:37	 T:23.00
0.49	 D0:20	 D1:293	 D2:295	 T:22.60

0.45	 A0:45	 A1:278	 A2:108	 T:23.00
0.54	 B0:58	 B1:92	 B2:36	 T:nan
0.70	 C0:4	 C1:45	 C2:37	 T:23.00
0.57	 D0:20	 D1:293	 D2:302	 T:22.60

0.53	 A0:45	 A1:278	 A2:108	 T:23.00
0.61	 B0:58	 B1:91	 B2:36	 T:nan
0.78	 C0:4	 C1:45	 C2:37	 T:23.00
0.65	 D0:20	 D1:293	 D2:298	 T:22.60

0.61	 A0:45	 A1:278	 A2:108	 T:23.00
0.68	 B0:58	 B1:91	 B2:36	 T:nan
0.85	 C0:4	 C1:44	 C2:37	 T:23.00
0.73	 D0:20	 D1:293	 D2:274	 T:22.60

0.69	 A0:45	 A1:279	 A2:108	 T:23.00
0.75	 B0:58	 B1:92	 B2:36	 T:nan
0.92	 C0:4	 C1:45	 C2:37	 T:23.00
0.81	 D0:21	 D1:293	 D2:290	 T:22.60

0.77	 A0:45	 A1:278	 A2:108	 T:23.00
