0.03	 A0:44	 A1:281	 A2:109	 T:22.60
0.03	 B0:60	 B1:92	 B2:38	 T:nan
0.03	 C0:4	 C1:44	 C2:38	 T:22.60
0.03	 D0:22	 D1:297	 D2:301	 T:22.60

0.06	 A0:45	 A1:281	 A2:109	 T:22.60
0.05	 B0:60	 B1:92	 B2:37	 T:nan
0.06	 C0:4	 C1:44	 C2:38	 T:22.60
0.06	 D0:22	 D1:297	 D2:289	 T:22.60

0.14	 A0:45	 A1:281	 A2:109	 T:22.60
0.12	 B0:60	 B1:91	 B2:38	 T:nan
0.12	 C0:4	 C1:44	 C2:38	 T:22.60
0.14	 D0:22	 D1:297	 D2:273	 T:22.60

0.22	 A0:45	 A1:281	 A2:109	 T:22.60
0.19	 B0:60	 B1:92	 B2:38	 T:nan
0.19	 C0:4	 C1:45	 C2:38	 T:22.60
0.22	 D0:23	 D1:297	 D2:312	 T:22.60

0.30	 A0:45	 A1:281	 A2:109	 T:22.60
0.26	 B0:60	 B1:92	 B2:38	 T:nan
0.27	 C0:4	 C1:45	 C2:38	 T:22.60
0.30	 D0:22	 D1:297	 D2:294	 T:22.60

0.37	 A0:45	 A1:281	 A2:109	 T:22.60
0.33	 B0:60	 B1:92	 B2:38	 T:nan
0.34	 C0:5	 C1:45	 C2:38	 T:22.60
0.37	 D0:22	 D1:298	 D2:294	 T:22.60

0.45	 A0:45	 A1:281	 A2:109	 T:22.60
0.40	 B0:60	 B1:92	 B2:37	 T:nan
0.41	 C0:4	 C1:45	 C2:38	 T:22.60
0.45	 D0:22	 D1:297	 D2:276	 T:22.60

0.53	 A0:45	 A1:281	 A2:109	 T:22.60
0.47	 B0:60	 B1:92	 B2:37	 T:nan
0.49	 C0:4	 C1:44	 C2:38	 T:22.60
0.53	 D0:22	 D1:297	 D2:312	 T:22.60

0.61	 A0:45	 A1:281	 A2:109	 T:22.60
0.54	 B0:60	 B1:92	 B2:37	 T:nan
0.56	 C0:4	 C1:44	 C2:38	 T:22.60
0.61	 D0:22	 D1:297	 D2:294	 T:22.60

0.69	 A0:45	 A1:281	 A2:109	 T:22.60
0.61	 B0:60	 B1:92	 B2:38	 T:nan
0.63	 C0:4	 C1:44	 C2:38	 T:22.60
0.69	 D0:23	 D1:297	 D2:291	 T:22.60

0.77	 A0:45	 A1:281	 A2:109	 T:22.60
0.68	 B0:60	 B1:92	 B2:37	 T:nan
0.70	 C0:4	 C1:45	 C2:38	 T:22.60
0.77	 D0:22	 D1:297	 D2:279	 T:22.60

0.85	 A0:45	 A1:281	 A2:109	 T:22.60
0.75	 B0:60	 B1:91	 B2:38	 T:nan
0.78	 C0:4	 C1:45	 C2:38	 T:22.60
0.85	 D0:22	 D1:297	 D2:312	 T:22.60

0.93	 A0:44	 A1:281	 A2:109	 T:22.60
0.82	 B0:60	 B1:92	 B2:38	 T:nan
0.85	 C0:5	 C1:44	 C2:38	 T:22.60
0.93	 D0:22	 D1:297	 D2:296	 T:22.60

1.01	 A0:45	 A1:281	 A2:109	 T:22.60
0.90	 B0:60	 B1:92	 B2:37	 T:nan
0.92	 C0:4	 C1:45	 C2:38	 T:22.60
1.01	 D0:22	 D1:297	 D2:290	 T:22.60

1.09	 A0:44	 A1:281	 A2:109	 T:22.60
0.97	 B0:60	 B1:92	 B2:38	 T:nan
1.00	 C0:4	 C1:45	 C2:38	 T:22.60
1.09	 D0:22	 D1:297	 D2:282	 T:22.60

1.17	 A0:45	 A1:281	 A2:109	 T:22.60
1.04	 B0:60	 B1:92	 B2:38	 T:nan
1.07	 C0:4	 C1:45	 C2:38	 T:22.60
1.17	 D0:22	 D1:297	 D2:310	 T:22.60

1.25	 A0:44	 A1:281	 A2:109	 T:22.60
1.11	 B0:60	 B1:92	 B2:38	 T:nan
1.14	 C0:4	 C1:44	 C2:38	 T:22.60
1.25	 D0:22	 D1:297	 D2:296	 T:22.60

1.32	 A0:44	 A1:281	 A2:109	 T:22.60
