0.03	 A0:45	 A1:291	 A2:110	 T:23.00
0.03	 B0:58	 B1:94	 B2:39	 T:nan
0.03	 C0:4	 C1:46	 C2:37	 T:23.00
0.03	 D0:22	 D1:306	 D2:317	 T:22.60

0.06	 A0:45	 A1:290	 A2:110	 T:23.00
0.05	 B0:58	 B1:94	 B2:39	 T:nan
0.06	 C0:4	 C1:46	 C2:38	 T:23.00
0.06	 D0:21	 D1:306	 D2:291	 T:22.60

0.14	 A0:45	 A1:290	 A2:110	 T:23.00
0.12	 B0:58	 B1:94	 B2:39	 T:nan
0.12	 C0:4	 C1:46	 C2:38	 T:23.00
0.14	 D0:21	 D1:306	 D2:321	 T:22.60

0.22	 A0:45	 A1:290	 A2:110	 T:23.00
0.19	 B0:58	 B1:94	 B2:39	 T:nan
0.19	 C0:4	 C1:46	 C2:38	 T:23.00
0.22	 D0:22	 D1:306	 D2:304	 T:22.60

0.30	 A0:45	 A1:290	 A2:110	 T:23.00
0.26	 B0:58	 B1:94	 B2:39	 T:nan
0.27	 C0:4	 C1:46	 C2:38	 T:23.00
0.30	 D0:22	 D1:306	 D2:303	 T:22.60

0.37	 A0:45	 A1:290	 A2:110	 T:23.00
0.33	 B0:58	 B1:94	 B2:39	 T:nan
0.34	 C0:4	 C1:46	 C2:37	 T:23.00
0.37	 D0:21	 D1:306	 D2:282	 T:22.60

0.45	 A0:45	 A1:290	 A2:110	 T:23.00
0.40	 B0:58	 B1:94	 B2:39	 T:nan
0.41	 C0:4	 C1:46	 C2:38	 T:23.00
0.45	 D0:22	 D1:306	 D2:320	 T:22.60

0.53	 A0:45	 A1:290	 A2:110	 T:23.00
0.47	 B0:58	 B1:94	 B2:39	 T:nan
0.49	 C0:4	 C1:45	 C2:38	 T:23.00
0.53	 D0:21	 D1:305	 D2:302	 T:22.60

0.61	 A0:45	 A1:290	 A2:110	 T:23.00
0.54	 B0:58	 B1:94	 B2:39	 T:nan
0.56	 C0:4	 C1:46	 C2:37	 T:23.00
0.61	 D0:21	 D1:306	 D2:305	 T:22.60

0.69	 A0:45	 A1:290	 A2:110	 T:23.00
0.61	 B0:58	 B1:94	 B2:39	 T:nan
0.63	 C0:4	 C1:46	 C2:37	 T:23.00
0.69	 D0:21	 D1:305	 D2:278	 T:22.60

0.77	 A0:45	 A1:290	 A2:110	 T:23.00
0.68	 B0:58	 B1:94	 B2:39	 T:nan
0.70	 C0:4	 C1:46	 C2:38	 T:23.00
0.77	 D0:22	 D1:305	 D2:319	 T:22.60

0.85	 A0:45	 A1:290	 A2:110	 T:23.00
0.75	 B0:58	 B1:94	 B2:39	 T:nan
0.78	 C0:4	 C1:46	 C2:38	 T:23.00
0.85	 D0:22	 D1:305	 D2:302	 T:22.60

0.93	 A0:45	 A1:290	 A2:110	 T:23.00
0.82	 B0:58	 B1:94	 B2:39	 T:nan
0.85	 C0:4	 C1:46	 C2:38	 T:23.00
0.93	 D0:22	 D1:305	 D2:309	 T:22.60

1.01	 A0:45	 A1:290	 A2:110	 T:23.00
0.90	 B0:58	 B1:94	 B2:38	 T:nan
0.92	 C0:4	 C1:46	 C2:38	 T:23.00
1.01	 D0:22	 D1:306	 D2:277	 T:22.60

1.09	 A0:45	 A1:290	 A2:110	 T:23.00
0.97	 B0:58	 B1:94	 B2:39	 T:nan
1.00	 C0:4	 C1:46	 C2:38	 T:23.00
1.09	 D0:22	 D1:306	 D2:318	 T:22.60

1.17	 A0:45	 A1:290	 A2:110	 T:23.00
1.04	 B0:58	 B1:94	 B2:39	 T:nan
1.07	 C0:4	 C1:46	 C2:38	 T:23.00
1.17	 D0:22	 D1:305	 D2:301	 T:22.60

