0.69	 A0:44	 A1:315	 A2:110	 T:22.60
0.79	 B0:63	 B1:100	 B2:40	 T:22.60
0.06	 C0:7	 C1:51	 C2:38	 T:22.60
0.77	 D0:21	 D1:335	 D2:312	 T:22.20

0.03	 A0:44	 A1:315	 A2:110	 T:22.60
0.03	 B0:63	 B1:100	 B2:40	 T:22.60
0.12	 C0:6	 C1:51	 C2:38	 T:22.60
0.03	 D0:22	 D1:334	 D2:340	 T:22.20

0.06	 A0:44	 A1:315	 A2:111	 T:22.60
0.06	 B0:63	 B1:101	 B2:40	 T:22.60
0.19	 C0:7	 C1:51	 C2:38	 T:22.60
0.06	 D0:22	 D1:334	 D2:318	 T:22.20

0.14	 A0:44	 A1:315	 A2:111	 T:22.60
0.13	 B0:63	 B1:100	 B2:40	 T:22.60
0.27	 C0:7	 C1:51	 C2:38	 T:22.60
0.14	 D0:22	 D1:334	 D2:322	 T:22.20

0.22	 A0:44	 A1:315	 A2:111	 T:22.60
0.21	 B0:63	 B1:101	 B2:40	 T:22.60
0.34	 C0:7	 C1:51	 C2:38	 T:22.60
0.22	 D0:21	 D1:334	 D2:344	 T:22.20

0.30	 A0:44	 A1:315	 A2:111	 T:22.60
0.29	 B0:63	 B1:100	 B2:40	 T:22.60
0.41	 C0:6	 C1:51	 C2:38	 T:22.60
0.30	 D0:21	 D1:334	 D2:334	 T:22.20

0.37	 A0:44	 A1:315	 A2:111	 T:22.60
0.36	 B0:63	 B1:100	 B2:40	 T:22.60
0.49	 C0:7	 C1:51	 C2:39	 T:22.60
0.37	 D0:21	 D1:334	 D2:322	 T:22.20

0.45	 A0:44	 A1:315	 A2:110	 T:22.60
0.44	 B0:63	 B1:100	 B2:41	 T:22.60
0.56	 C0:7	 C1:51	 C2:38	 T:22.60
0.45	 D0:22	 D1:334	 D2:328	 T:22.20

0.53	 A0:44	 A1:315	 A2:111	 T:22.60
0.52	 B0:63	 B1:101	 B2:40	 T:22.60
0.63	 C0:6	 C1:51	 C2:38	 T:22.60
0.53	 D0:22	 D1:334	 D2:342	 T:22.20

0.61	 A0:43	 A1:315	 A2:111	 T:22.60
0.59	 B0:63	 B1:100	 B2:40	 T:22.60
0.70	 C0:6	 C1:51	 C2:38	 T:22.60
0.61	 D0:21	 D1:333	 D2:336	 T:22.20

0.69	 A0:44	 A1:315	 A2:111	 T:22.60
0.67	 B0:63	 B1:100	 B2:40	 T:22.60
0.78	 C0:7	 C1:51	 C2:39	 T:22.60
0.69	 D0:21	 D1:334	 D2:318	 T:22.20

0.77	 A0:44	 A1:315	 A2:111	 T:22.60
0.75	 B0:63	 B1:100	 B2:40	 T:22.60
0.85	 C0:7	 C1:51	 C2:38	 T:22.60
0.77	 D0:22	 D1:333	 D2:330	 T:22.20

0.85	 A0:44	 A1:315	 A2:111	 T:22.60
0.83	 B0:63	 B1:100	 B2:40	 T:22.60
0.92	 C0:7	 C1:51	 C2:39	 T:22.60
0.85	 D0:22	 D1:333	 D2:342	 T:22.20

0.93	 A0:44	 A1:315	 A2:111	 T:22.60
0.90	 B0:63	 B1:101	 B2:40	 T:22.60
1.00	 C0:7	 C1:51	 C2:38	 T:22.60
0.93	 D0:21	 D1:333	 D2:336	 T:22.20

1.01	 A0:44	 A1:315	 A2:111	 T:22.60
0.98	 B0:63	 B1:100	 B2:40	 T:22.60
1.07	 C0:7	 C1:51	 C2:38	 T:22.60
1.01	 D0:21	 D1:334	 D2:314	 T:22.20

1.09	 A0:44	 A1:315	 A2:111	 T:22.60
1.06	 B0:63	 B1:100	 B2:40	 T:22.60
1.14	 C0:7	 C1:51	 C2:39	 T:22.60
1.09	 D0:22	 D1:334	 D2:334	 T:22.20

1.17	 A0:44	 A1:315	 A2:111	 T:22.60
1.13	 B0:63	 B1:100	 B2:40	 T:22.60
1.22	 C0:7	 C1:51	 C2:38	 T:22.60
1.17	 D0:21	 D1:333	 D2:340	 T:22.20

1.25	 A0:44	 A1:315	 A2:111	 T:22.60
1.21	 B0:63	 B1:100	 B2:40	 T:22.60
1.29	 C0:7	 C1:51	 C2:38	 T:22.60
1.25	 D0:21	 D1:333	 D2:337	 T:22.20

1.32	 A0:44	 A1:315	 A2:111	 T:22.60
1.29	 B0:63	 B1:100	 B2:40	 T:22.60
1.36	 C0:7	 C1:51	 C2:38	 T:22.60
1.32	 D0:22	 D1:334	 D2:312	 T:22.20

1.40	 A0:44	 A1:315	 A2:111	 T:22.60
1.36	 B0:63	 B1:100	 B2:40	 T:22.60
1.43	 C0:7	 C1:51	 C2:38	 T:22.60
1.40	 D0:22	 D1:334	 D2:337	 T:22.20

1.48	 A0:44	 A1:315	 A2:111	 T:22.60
1.44	 B0:63	 B1:100	 B2:40	 T:22.60
1.51	 C0:6	 C1:51	 C2:39	 T:22.60
1.48	 D0:21	 D1:333	 D2:336	 T:22.20

1.56	 A0:44	 A1:315	 A2:111	 T:22.60
1.52	 B0:62	 B1:100	 B2:40	 T:22.60
1.58	 C0:7	 C1:51	 C2:38	 T:22.60
1.56	 D0:22	 D1:333	 D2:337	 T:22.20

1.64	 A0:44	 A1:315	 A2:111	 T:22.60
1.60	 B0:63	 B1:101	 B2:40	 T:22.60
1.65	 C0:6	 C1:51	 C2:38	 T:22.60
1.64	 D0:21	 D1:334	 D2:309	 T:22.20

1.72	 A0:44	 A1:315	 A2:111	 T:22.60
1.67	 B0:63	 B1:100	 B2:40	 T:22.60
1.72	 C0:7	 C1:51	 C2:38	 T:22.60
1.72	 D0:22	 D1:334	 D2:339	 T:22.20

1.80	 A0:44	 A1:315	 A2:111	 T:22.60
1.75	 B0:63	 B1:100	 B2:40	 T:22.60
1.80	 C0:7	 C1:51	 C2:38	 T:22.60
1.80	 D0:22	 D1:333	 D2:334	 T:22.20

1.88	 A0:44	 A1:315	 A2:111	 T:22.60
1.83	 B0:62	 B1:100	 B2:40	 T:22.60
1.87	 C0:7	 C1:51	 C2:39	 T:22.60
1.88	 D0:21	 D1:333	 D2:338	 T:22.20

1.96	 A0:44	 A1:315	 A2:111	 T:22.60
1.90	 B0:62	 B1:100	 B2:40	 T:22.60
1.94	 C0:7	 C1:51	 C2:38	 T:22.60
1.96	 D0:21	 D1:334	 D2:305	 T:22.20

2.05	 A0:44	 A1:315	 A2:111	 T:22.60
1.98	 B0:62	 B1:100	 B2:40	 T:22.60
2.02	 C0:7	 C1:51	 C2:39	 T:22.60
2.05	 D0:21	 D1:334	 D2:319	 T:22.20

2.11	 A0:44	 A1:315	 A2:111	 T:22.60
2.06	 B0:62	 B1:100	 B2:40	 T:22.60
2.09	 C0:7	 C1:51	 C2:38	 T:22.60
2.11	 D0:22	 D1:334	 D2:345	 T:22.20

2.19	 A0:44	 A1:315	 A2:111	 T:22.60
2.13	 B0:62	 B1:100	 B2:40	 T:22.60
2.16	 C0:7	 C1:51	 C2:38	 T:22.60
2.19	 D0:22	 D1:334	 D2:334	 T:22.20

2.27	 A0:44	 A1:315	 A2:111	 T:22.60
2.21	 B0:62	 B1:100	 B2:40	 T:22.60
2.23	 C0:7	 C1:51	 C2:38	 T:22.60
2.27	 D0:22	 D1:334	 D2:322	 T:22.20

2.35	 A0:44	 A1:315	 A2:111	 T:22.60
2.29	 B0:62	 B1:100	 B2:40	 T:22.60
2.31	 C0:7	 C1:51	 C2:38	 T:22.60
2.35	 D0:21	 D1:334	 D2:327	 T:22.20

2.43	 A0:44	 A1:315	 A2:111	 T:22.60
2.36	 B0:62	 B1:100	 B2:40	 T:22.60
2.38	 C0:7	 C1:51	 C2:38	 T:22.60
2.43	 D0:22	 D1:334	 D2:343	 T:22.20

2.51	 A0:44	 A1:315	 A2:111	 T:22.60
2.44	 B0:62	 B1:101	 B2:40	 T:22.60
2.45	 C0:7	 C1:51	 C2:38	 T:22.60
2.51	 D0:21	 D1:333	 D2:335	 T:22.20

2.59	 A0:44	 A1:315	 A2:111	 T:22.60
2.52	 B0:62	 B1:100	 B2:40	 T:22.60
2.53	 C0:7	 C1:51	 C2:38	 T:22.60
2.59	 D0:21	 D1:334	 D2:319	 T:22.20

2.67	 A0:44	 A1:315	 A2:111	 T:22.60
2.59	 B0:62	 B1:100	 B2:40	 T:22.60
2.60	 C0:6	 C1:51	 C2:38	 T:22.60
2.67	 D0:22	 D1:334	 D2:329	 T:22.20

2.75	 A0:44	 A1:315	 A2:111	 T:22.60
2.67	 B0:62	 B1:100	 B2:40	 T:22.60
2.67	 C0:7	 C1:51	 C2:38	 T:22.60
2.75	 D0:22	 D1:333	 D2:342	 T:22.20

2.83	 A0:44	 A1:315	 A2:111	 T:22.60
2.75	 B0:62	 B1:101	 B2:40	 T:22.60
2.74	 C0:6	 C1:51	 C2:39	 T:22.60
2.83	 D0:21	 D1:333	 D2:336	 T:22.20

2.90	 A0:44	 A1:315	 A2:111	 T:22.60
2.83	 B0:62	 B1:100	 B2:40	 T:22.60
2.82	 C0:7	 C1:51	 C2:38	 T:22.60
2.90	 D0:22	 D1:334	 D2:314	 T:22.20

2.98	 A0:44	 A1:315	 A2:111	 T:22.60
2.90	 B0:62	 B1:100	 B2:40	 T:22.60
2.89	 C0:7	 C1:51	 C2:38	 T:22.60
2.98	 D0:22	 D1:333	 D2:333	 T:22.20

3.06	 A0:44	 A1:315	 A2:111	 T:22.60
2.98	 B0:62	 B1:100	 B2:40	 T:22.60
2.96	 C0:7	 C1:51	 C2:38	 T:22.60
3.06	 D0:22	 D1:333	 D2:341	 T:22.20

3.14	 A0:44	 A1:315	 A2:111	 T:22.60
3.06	 B0:62	 B1:100	 B2:40	 T:22.60
3.03	 C0:7	 C1:51	 C2:38	 T:22.60
3.14	 D0:21	 D1:334	 D2:336	 T:22.20

3.22	 A0:44	 A1:315	 A2:111	 T:22.60
3.13	 B0:62	 B1:100	 B2:40	 T:22.60
3.11	 C0:7	 C1:51	 C2:38	 T:22.60
3.22	 D0:22	 D1:334	 D2:312	 T:22.20

3.30	 A0:44	 A1:315	 A2:111	 T:22.60
3.21	 B0:62	 B1:100	 B2:40	 T:22.60
