2.02	 A0:16	 A1:210	 A2:49	 T:nan

2.02	 B0:70	 B1:140	 B2:60	 T:nan

2.08	 C0:14	 C1:59	 C2:17	 T:22.20

1.74	 D0:9	 D1:134	 D2:62	 T:nan


2.09	 A0:16	 A1:209	 A2:48	 T:nan

2.09	 B0:70	 B1:140	 B2:60	 T:nan

2.15	 C0:13	 C1:60	 C2:16	 T:22.20

1.81	 D0:9	 D1:134	 D2:62	 T:nan


2.16	 A0:16	 A1:210	 A2:48	 T:nan

2.16	 B0:70	 B1:140	 B2:60	 T:nan

2.23	 C0:13	 C1:59	 C2:16	 T:22.20

1.88	 D0:9	 D1:134	 D2:62	 T:nan


2.23	 A0:16	 A1:210	 A2:49	 T:nan

2.23	 B0:70	 B1:140	 B2:60	 T:nan

2.30	 C0:12	 C1:59	 C2:16	 T:22.20

1.96	 D0:9	 D1:134	 D2:62	 T:nan


2.31	 A0:16	 A1:210	 A2:48	 T:nan

2.31	 B0:70	 B1:140	 B2:60	 T:nan

2.37	 C0:13	 C1:59	 C2:16	 T:22.20

2.04	 D0:9	 D1:134	 D2:62	 T:nan


2.38	 A0:16	 A1:209	 A2:48	 T:nan

2.38	 B0:70	 B1:140	 B2:60	 T:nan

2.45	 C0:13	 C1:59	 C2:16	 T:22.20

2.10	 D0:9	 D1:134	 D2:62	 T:nan


2.45	 A0:16	 A1:210	 A2:49	 T:nan

2.45	 B0:70	 B1:140	 B2:60	 T:nan

2.52	 C0:13	 C1:60	 C2:16	 T:22.20

2.17	 D0:9	 D1:134	 D2:62	 T:nan


2.53	 A0:16	 A1:210	 A2:48	 T:nan

2.53	 B0:70	 B1:140	 B2:60	 T:nan

2.60	 C0:13	 C1:60	 C2:16	 T:22.20

2.24	 D0:9	 D1:134	 D2:62	 T:nan


2.60	 A0:16	 A1:210	 A2:49	 T:nan

2.60	 B0:70	 B1:140	 B2:60	 T:nan

2.67	 C0:13	 C1:59	 C2:16	 T:22.20

2.31	 D0:9	 D1:134	 D2:62	 T:nan


2.67	 A0:16	 A1:210	 A2:49	 T:nan

2.67	 B0:70	 B1:140	 B2:60	 T:nan

2.75	 C0:12	 C1:59	 C2:16	 T:22.20

2.38	 D0:9	 D1:134	 D2:62	 T:nan


2.74	 A0:16	 A1:210	 A2:49	 T:nan

2.74	 B0:70	 B1:140	 B2:60	 T:nan

2.82	 C0:13	 C1:59	 C2:16	 T:22.20

2.45	 D0:9	 D1:134	 D2:62	 T:nan


2.82	 A0:16	 A1:210	 A2:49	 T:nan

2.82	 B0:70	 B1:140	 B2:60	 T:nan

2.90	 C0:13	 C1:59	 C2:16	 T:22.20

2.52	 D0:9	 D1:134	 D2:62	 T:nan


2.89	 A0:16	 A1:210	 A2:48	 T:nan

2.89	 B0:70	 B1:140	 B2:60	 T:nan

2.97	 C0:13	 C1:59	 C2:16	 T:22.20

2.59	 D0:9	 D1:134	 D2:62	 T:nan


