1.58	 D0:11	 D1:131	 D2:73	 T:nan

1.87	 A0:22	 A1:197	 A2:57	 T:nan
1.76	 B0:77	 B1:135	 B2:60	 T:nan
2.08	 C0:17	 C1:59	 C2:16	 T:22.20
1.65	 D0:11	 D1:130	 D2:72	 T:nan

1.94	 A0:23	 A1:197	 A2:57	 T:nan
1.83	 B0:77	 B1:135	 B2:59	 T:nan
2.15	 C0:17	 C1:59	 C2:16	 T:22.20
1.72	 D0:11	 D1:131	 D2:73	 T:nan

2.02	 A0:23	 A1:196	 A2:57	 T:nan
1.91	 B0:77	 B1:135	 B2:60	 T:nan
2.23	 C0:17	 C1:60	 C2:17	 T:22.20
1.80	 D0:12	 D1:131	 D2:72	 T:nan

2.09	 A0:22	 A1:196	 A2:57	 T:nan
1.98	 B0:77	 B1:135	 B2:59	 T:nan
2.30	 C0:17	 C1:59	 C2:16	 T:22.20
1.87	 D0:12	 D1:131	 D2:72	 T:nan

2.16	 A0:22	 A1:197	 A2:57	 T:nan
2.07	 B0:77	 B1:135	 B2:59	 T:nan
2.37	 C0:18	 C1:59	 C2:16	 T:22.20
1.94	 D0:11	 D1:130	 D2:73	 T:nan

2.23	 A0:22	 A1:197	 A2:57	 T:nan
2.12	 B0:77	 B1:135	 B2:59	 T:nan
2.45	 C0:17	 C1:60	 C2:16	 T:22.20
2.02	 D0:11	 D1:131	 D2:73	 T:nan

2.31	 A0:23	 A1:197	 A2:57	 T:nan
2.20	 B0:77	 B1:135	 B2:59	 T:nan
2.52	 C0:17	 C1:60	 C2:16	 T:22.20
2.09	 D0:12	 D1:131	 D2:72	 T:nan

2.38	 A0:22	 A1:196	 A2:57	 T:nan
2.27	 B0:77	 B1:135	 B2:59	 T:nan
2.60	 C0:17	 C1:60	 C2:16	 T:22.20
2.16	 D0:11	 D1:130	 D2:72	 T:nan

2.45	 A0:22	 A1:196	 A2:57	 T:nan
2.34	 B0:77	 B1:135	 B2:59	 T:nan
2.67	 C0:18	 C1:60	 C2:16	 T:22.20
2.23	 D0:11	 D1:130	 D2:72	 T:nan

2.53	 A0:23	 A1:197	 A2:57	 T:nan
2.42	 B0:77	 B1:135	 B2:59	 T:nan
2.75	 C0:17	 C1:60	 C2:16	 T:22.20
2.31	 D0:12	 D1:131	 D2:72	 T:nan

2.60	 A0:22	 A1:196	 A2:57	 T:nan
2.49	 B0:77	 B1:135	 B2:59	 T:nan
2.82	 C0:17	 C1:60	 C2:16	 T:22.20
2.38	 D0:11	 D1:130	 D2:72	 T:nan

2.67	 A0:23	 A1:197	 A2:57	 T:nan
2.56	 B0:77	 B1:135	 B2:59	 T:nan
2.90	 C0:17	 C1:59	 C2:16	 T:22.20
2.45	 D0:11	 D1:130	 D2:72	 T:nan

2.74	 A0:23	 A1:197	 A2:57	 T:nan
2.63	 B0:77	 B1:135	 B2:59	 T:nan
2.97	 C0:17	 C1:60	 C2:16	 T:22.20
2.53	 D0:12	 D1:131	 D2:72	 T:nan

2.82	 A0:22	 A1:196	 A2:57	 T:nan
2.71	 B0:78	 B1:135	 B2:59	 T:nan
3.05	 C0:17	 C1:60	 C2:16	 T:22.20
2.60	 D0:12	 D1:130	 D2:72	 T:nan

2.89	 A0:22	 A1:197	 A2:57	 T:nan
2.78	 B0:77	 B1:135	 B2:59	 T:nan
3.12	 C0:17	 C1:59	 C2:16	 T:22.20
2.67	 D0:12	 D1:131	 D2:72	 T:nan

2.96	 A0:22	 A1:197	 A2:57	 T:nan
2.85	 B0:77	 B1:135	 B2:59	 T:nan
3.20	 C0:17	 C1:60	 C2:16	 T:22.20
2.74	 D0:11	 D1:130	 D2:72	 T:nan

3.03	 A0:22	 A1:197	 A2:57	 T:nan
2.93	 B0:78	 B1:135	 B2:59	 T:nan
3.27	 C0:17	 C1:60	 C2:16	 T:22.20
2.82	 D0:11	 D1:131	 D2:72	 T:nan

3.11	 A0:22	 A1:197	 A2:57	 T:nan
3.00	 B0:78	 B1:135	 B2:59	 T:nan
3.35	 C0:17	 C1:60	 C2:16	 T:22.20
2.89	 D0:12	 D1:131	 D2:72	 T:nan

3.18	 A0:22	 A1:197	 A2:57	 T:nan
3.07	 B0:78	 B1:135	 B2:59	 T:nan
3.42	 C0:17	 C1:60	 C2:16	 T:22.20
2.96	 D0:11	 D1:130	 D2:72	 T:nan

3.25	 A0:22	 A1:196	 A2:57	 T:nan
3.14	 B0:78	 B1:135	 B2:60	 T:nan
3.50	 C0:17	 C1:59	 C2:16	 T:22.20
3.03	 D0:11	 D1:130	 D2:72	 T:nan

3.33	 A0:22	 A1:197	 A2:57	 T:nan
3.22	 B0:78	 B1:135	 B2:59	 T:nan
3.57	 C0:17	 C1:59	 C2:16	 T:22.20
3.11	 D0:11	 D1:130	 D2:72	 T:nan

3.40	 A0:22	 A1:197	 A2:57	 T:nan
3.29	 B0:78	 B1:135	 B2:59	 T:nan
3.65	 C0:17	 C1:59	 C2:16	 T:22.20
3.18	 D0:11	 D1:131	 D2:72	 T:nan

3.47	 A0:22	 A1:196	 A2:57	 T:nan
3.36	 B0:78	 B1:135	 B2:59	 T:nan
3.72	 C0:16	 C1:59	 C2:17	 T:22.20
3.25	 D0:11	 D1:131	 D2:72	 T:nan

3.54	 A0:23	 A1:196	 A2:57	 T:nan
3.43	 B0:78	 B1:135	 B2:59	 T:nan
3.80	 C0:17	 C1:60	 C2:16	 T:22.20
