0.14	 A0:45	 A1:310	 A2:107	 T:21.80
0.03	 B0:65	 B1:108	 B2:33	 T:21.80
0.12	 C0:7	 C1:52	 C2:40	 T:21.80
0.12	 D0:20	 D1:327	 D2:100	 T:nan

0.22	 A0:45	 A1:310	 A2:107	 T:21.80
0.06	 B0:65	 B1:108	 B2:33	 T:21.80
0.19	 C0:7	 C1:52	 C2:40	 T:21.80
0.20	 D0:20	 D1:327	 D2:100	 T:nan

0.30	 A0:45	 A1:310	 A2:107	 T:21.80
0.13	 B0:65	 B1:108	 B2:33	 T:21.80
0.27	 C0:7	 C1:52	 C2:40	 T:21.80
0.27	 D0:20	 D1:327	 D2:100	 T:nan

0.37	 A0:45	 A1:309	 A2:107	 T:21.80
0.21	 B0:65	 B1:108	 B2:33	 T:21.80
0.34	 C0:7	 C1:52	 C2:40	 T:21.80
0.35	 D0:20	 D1:327	 D2:100	 T:nan

0.45	 A0:45	 A1:309	 A2:107	 T:21.80
0.29	 B0:65	 B1:108	 B2:33	 T:21.80
0.41	 C0:7	 C1:52	 C2:40	 T:21.80
0.42	 D0:20	 D1:327	 D2:100	 T:nan

0.53	 A0:45	 A1:309	 A2:107	 T:21.80
0.36	 B0:65	 B1:108	 B2:33	 T:21.80
0.49	 C0:7	 C1:52	 C2:40	 T:21.80
0.50	 D0:20	 D1:326	 D2:100	 T:nan

0.61	 A0:45	 A1:309	 A2:108	 T:21.80
0.44	 B0:65	 B1:108	 B2:32	 T:21.80
0.56	 C0:7	 C1:52	 C2:40	 T:21.80
0.57	 D0:20	 D1:327	 D2:100	 T:nan

0.69	 A0:45	 A1:310	 A2:108	 T:21.80
0.52	 B0:65	 B1:108	 B2:32	 T:21.80
0.63	 C0:7	 C1:52	 C2:40	 T:21.80
0.65	 D0:20	 D1:326	 D2:100	 T:nan

0.77	 A0:46	 A1:310	 A2:108	 T:21.80
0.59	 B0:65	 B1:108	 B2:32	 T:21.80
0.70	 C0:7	 C1:51	 C2:40	 T:21.80
0.72	 D0:20	 D1:327	 D2:100	 T:nan

0.85	 A0:45	 A1:310	 A2:107	 T:21.80
0.67	 B0:65	 B1:108	 B2:33	 T:21.80
0.78	 C0:7	 C1:52	 C2:40	 T:21.80
0.80	 D0:20	 D1:327	 D2:100	 T:nan

0.93	 A0:45	 A1:310	 A2:108	 T:21.80
0.75	 B0:65	 B1:108	 B2:33	 T:21.80
0.85	 C0:7	 C1:52	 C2:40	 T:21.80
0.87	 D0:20	 D1:326	 D2:100	 T:nan

1.01	 A0:46	 A1:310	 A2:107	 T:21.80
0.83	 B0:65	 B1:108	 B2:32	 T:21.80
0.92	 C0:7	 C1:52	 C2:40	 T:21.80
0.95	 D0:20	 D1:327	 D2:100	 T:nan

1.09	 A0:45	 A1:310	 A2:108	 T:21.80
0.90	 B0:65	 B1:108	 B2:32	 T:21.80
1.00	 C0:7	 C1:52	 C2:40	 T:21.80
1.02	 D0:20	 D1:326	 D2:100	 T:nan

1.17	 A0:45	 A1:309	 A2:108	 T:21.80
0.98	 B0:65	 B1:108	 B2:32	 T:21.80
1.07	 C0:7	 C1:52	 C2:40	 T:21.80
1.10	 D0:20	 D1:327	 D2:100	 T:nan

1.25	 A0:45	 A1:309	 A2:108	 T:21.80
1.06	 B0:65	 B1:108	 B2:32	 T:21.80
1.14	 C0:7	 C1:52	 C2:40	 T:21.80
1.17	 D0:20	 D1:326	 D2:100	 T:nan

1.32	 A0:45	 A1:309	 A2:107	 T:21.80
1.13	 B0:65	 B1:108	 B2:32	 T:21.80
1.21	 C0:7	 C1:52	 C2:40	 T:21.80
1.25	 D0:20	 D1:327	 D2:100	 T:nan

1.40	 A0:45	 A1:310	 A2:108	 T:21.80
1.21	 B0:65	 B1:108	 B2:32	 T:21.80
1.29	 C0:7	 C1:52	 C2:40	 T:21.80
1.32	 D0:20	 D1:326	 D2:100	 T:nan

1.48	 A0:46	 A1:309	 A2:108	 T:21.80
