0.03	 A0:41	 A1:300	 A2:105	 T:22.60
0.03	 B0:57	 B1:104	 B2:30	 T:22.20
0.19	 C0:6	 C1:50	 C2:39	 T:22.20
0.20	 D0:21	 D1:314	 D2:100	 T:nan

0.06	 A0:41	 A1:300	 A2:105	 T:22.60
0.06	 B0:57	 B1:105	 B2:30	 T:22.20
0.27	 C0:6	 C1:50	 C2:39	 T:22.20
0.28	 D0:21	 D1:315	 D2:100	 T:nan

0.14	 A0:42	 A1:300	 A2:105	 T:22.60
0.13	 B0:57	 B1:105	 B2:29	 T:22.20
0.34	 C0:7	 C1:50	 C2:39	 T:22.20
0.35	 D0:21	 D1:314	 D2:100	 T:nan

0.22	 A0:41	 A1:300	 A2:105	 T:22.60
0.21	 B0:57	 B1:105	 B2:30	 T:22.20
0.41	 C0:7	 C1:50	 C2:39	 T:22.20
0.43	 D0:21	 D1:315	 D2:100	 T:nan

0.30	 A0:41	 A1:300	 A2:105	 T:22.60
0.29	 B0:57	 B1:105	 B2:29	 T:22.20
0.49	 C0:6	 C1:50	 C2:39	 T:22.20
0.50	 D0:21	 D1:314	 D2:100	 T:nan

0.37	 A0:41	 A1:300	 A2:105	 T:22.60
0.36	 B0:57	 B1:105	 B2:29	 T:22.20
0.56	 C0:7	 C1:51	 C2:39	 T:22.20
0.58	 D0:21	 D1:314	 D2:100	 T:nan

0.45	 A0:41	 A1:300	 A2:105	 T:22.60
0.44	 B0:57	 B1:105	 B2:30	 T:22.20
0.63	 C0:7	 C1:50	 C2:39	 T:22.20
0.65	 D0:21	 D1:314	 D2:100	 T:nan

0.53	 A0:42	 A1:300	 A2:105	 T:22.60
0.52	 B0:57	 B1:105	 B2:30	 T:22.20
0.70	 C0:6	 C1:50	 C2:39	 T:22.20
0.73	 D0:21	 D1:314	 D2:100	 T:nan

0.61	 A0:41	 A1:300	 A2:105	 T:22.60
0.59	 B0:57	 B1:105	 B2:30	 T:22.20
0.78	 C0:6	 C1:50	 C2:39	 T:22.20
0.80	 D0:21	 D1:314	 D2:100	 T:nan

