1.25	 A0:51	 A1:426	 A2:114	 T:23.40
0.03	 B0:73	 B1:140	 B2:30	 T:23.40
0.03	 C0:6	 C1:72	 C2:43	 T:23.60
0.03	 D0:26	 D1:427	 D2:118	 T:nan

1.32	 A0:52	 A1:426	 A2:114	 T:23.40
0.06	 B0:73	 B1:140	 B2:30	 T:23.40
0.06	 C0:6	 C1:71	 C2:43	 T:23.60
0.05	 D0:26	 D1:428	 D2:118	 T:nan

1.25	 A0:51	 A1:426	 A2:114	 T:23.40
0.13	 B0:72	 B1:139	 B2:30	 T:23.40
0.12	 C0:6	 C1:72	 C2:43	 T:23.60
0.13	 D0:26	 D1:428	 D2:118	 T:nan

1.32	 A0:52	 A1:426	 A2:114	 T:23.40
0.21	 B0:73	 B1:140	 B2:30	 T:23.40
0.19	 C0:6	 C1:72	 C2:43	 T:23.60
0.20	 D0:27	 D1:428	 D2:118	 T:nan

0.03	 A0:52	 A1:426	 A2:114	 T:23.40
0.29	 B0:72	 B1:140	 B2:30	 T:23.40
0.27	 C0:6	 C1:71	 C2:43	 T:23.60
0.28	 D0:26	 D1:428	 D2:118	 T:nan

0.06	 A0:51	 A1:426	 A2:114	 T:23.40
0.36	 B0:72	 B1:139	 B2:30	 T:23.40
0.34	 C0:6	 C1:71	 C2:43	 T:23.60
0.35	 D0:26	 D1:428	 D2:118	 T:nan

0.14	 A0:51	 A1:426	 A2:114	 T:23.40
0.44	 B0:72	 B1:140	 B2:30	 T:23.40
0.41	 C0:6	 C1:71	 C2:43	 T:23.60
0.43	 D0:26	 D1:427	 D2:118	 T:nan

0.22	 A0:52	 A1:426	 A2:115	 T:23.40
0.52	 B0:73	 B1:139	 B2:30	 T:23.40
0.49	 C0:6	 C1:72	 C2:43	 T:23.60
0.50	 D0:26	 D1:427	 D2:118	 T:nan

0.30	 A0:51	 A1:426	 A2:114	 T:23.40
0.59	 B0:72	 B1:139	 B2:30	 T:23.40
0.56	 C0:6	 C1:71	 C2:43	 T:23.60
0.58	 D0:26	 D1:427	 D2:118	 T:nan

0.37	 A0:51	 A1:426	 A2:114	 T:23.40
0.67	 B0:72	 B1:139	 B2:30	 T:23.40
0.63	 C0:6	 C1:72	 C2:43	 T:23.60
0.65	 D0:26	 D1:427	 D2:118	 T:nan

0.45	 A0:52	 A1:426	 A2:115	 T:23.40
0.75	 B0:72	 B1:139	 B2:30	 T:23.40
0.70	 C0:6	 C1:72	 C2:43	 T:23.60
0.73	 D0:26	 D1:427	 D2:118	 T:nan

0.53	 A0:52	 A1:426	 A2:115	 T:23.40
0.83	 B0:72	 B1:139	 B2:30	 T:23.40
0.78	 C0:6	 C1:71	 C2:43	 T:23.60
0.80	 D0:26	 D1:427	 D2:118	 T:nan

0.61	 A0:51	 A1:426	 A2:114	 T:23.40
0.90	 B0:73	 B1:140	 B2:30	 T:23.40
0.85	 C0:6	 C1:72	 C2:43	 T:23.60
0.88	 D0:26	 D1:427	 D2:118	 T:nan

0.69	 A0:51	 A1:426	 A2:114	 T:23.40
0.98	 B0:73	 B1:139	 B2:30	 T:23.40
0.92	 C0:6	 C1:71	 C2:43	 T:23.60
0.95	 D0:26	 D1:427	 D2:118	 T:nan

0.77	 A0:51	 A1:426	 A2:114	 T:23.40
1.06	 B0:72	 B1:139	 B2:30	 T:23.40
1.00	 C0:6	 C1:71	 C2:43	 T:23.60
1.03	 D0:26	 D1:427	 D2:118	 T:nan

0.85	 A0:52	 A1:426	 A2:115	 T:23.40
1.13	 B0:73	 B1:139	 B2:30	 T:23.40
1.07	 C0:6	 C1:72	 C2:43	 T:23.60
1.10	 D0:26	 D1:427	 D2:118	 T:nan

0.93	 A0:52	 A1:426	 A2:115	 T:23.40
1.21	 B0:72	 B1:140	 B2:30	 T:23.40
1.14	 C0:6	 C1:71	 C2:43	 T:23.60
1.18	 D0:26	 D1:427	 D2:119	 T:nan

1.01	 A0:52	 A1:426	 A2:114	 T:23.40
1.29	 B0:73	 B1:139	 B2:30	 T:23.40
1.22	 C0:6	 C1:71	 C2:43	 T:23.60
1.25	 D0:26	 D1:427	 D2:118	 T:nan

1.09	 A0:51	 A1:426	 A2:114	 T:23.40
1.36	 B0:73	 B1:140	 B2:30	 T:23.40
1.29	 C0:6	 C1:71	 C2:43	 T:23.60
