0.00	 A0:58	 A1:448	 A2:119	 T:22.60
0.05	 B0:84	 B1:155	 B2:35	 T:22.60
0.19	 C0:6	 C1:81	 C2:46	 T:22.60
0.04	 D0:30	 D1:446	 D2:122	 T:nan

0.05	 A0:58	 A1:448	 A2:119	 T:22.60
0.10	 B0:84	 B1:155	 B2:35	 T:22.60
0.27	 C0:6	 C1:81	 C2:46	 T:22.60
0.09	 D0:30	 D1:446	 D2:122	 T:nan

0.10	 A0:58	 A1:448	 A2:119	 T:22.60
0.17	 B0:85	 B1:155	 B2:35	 T:22.60
0.34	 C0:6	 C1:81	 C2:47	 T:22.60
0.17	 D0:30	 D1:446	 D2:122	 T:nan

0.18	 A0:58	 A1:448	 A2:119	 T:22.60
0.25	 B0:84	 B1:155	 B2:35	 T:22.60
0.41	 C0:6	 C1:81	 C2:46	 T:22.60
0.24	 D0:30	 D1:446	 D2:122	 T:nan

0.26	 A0:58	 A1:448	 A2:119	 T:22.60
0.32	 B0:85	 B1:155	 B2:35	 T:22.60
0.49	 C0:6	 C1:81	 C2:46	 T:22.60
0.31	 D0:30	 D1:446	 D2:122	 T:nan

0.34	 A0:58	 A1:448	 A2:119	 T:22.60
0.40	 B0:85	 B1:155	 B2:35	 T:22.60
0.56	 C0:6	 C1:81	 C2:46	 T:22.60
0.39	 D0:30	 D1:446	 D2:122	 T:nan

0.41	 A0:58	 A1:448	 A2:119	 T:22.60
0.48	 B0:84	 B1:155	 B2:35	 T:22.60
0.63	 C0:6	 C1:81	 C2:46	 T:22.60
0.46	 D0:30	 D1:446	 D2:122	 T:nan

0.49	 A0:58	 A1:448	 A2:119	 T:22.60
0.56	 B0:84	 B1:155	 B2:35	 T:22.60
0.70	 C0:6	 C1:81	 C2:46	 T:22.60
0.54	 D0:30	 D1:446	 D2:122	 T:nan

0.57	 A0:58	 A1:448	 A2:119	 T:22.60
0.63	 B0:84	 B1:155	 B2:35	 T:22.60
0.78	 C0:6	 C1:81	 C2:46	 T:22.60
0.61	 D0:30	 D1:445	 D2:122	 T:nan

0.65	 A0:58	 A1:448	 A2:119	 T:22.60
0.71	 B0:84	 B1:155	 B2:35	 T:22.60
0.85	 C0:6	 C1:81	 C2:46	 T:22.60
0.69	 D0:30	 D1:446	 D2:122	 T:nan

0.73	 A0:58	 A1:448	 A2:119	 T:22.60
0.79	 B0:84	 B1:155	 B2:35	 T:22.60
0.92	 C0:6	 C1:81	 C2:46	 T:22.60
0.76	 D0:30	 D1:445	 D2:122	 T:nan

0.81	 A0:58	 A1:448	 A2:119	 T:22.60
0.86	 B0:84	 B1:155	 B2:35	 T:22.60
1.00	 C0:6	 C1:81	 C2:46	 T:22.60
0.84	 D0:30	 D1:446	 D2:122	 T:nan

0.89	 A0:58	 A1:448	 A2:118	 T:22.60
0.94	 B0:85	 B1:155	 B2:35	 T:22.60
1.07	 C0:6	 C1:81	 C2:46	 T:22.60
0.91	 D0:30	 D1:445	 D2:122	 T:nan

0.97	 A0:58	 A1:448	 A2:119	 T:22.60
1.02	 B0:84	 B1:155	 B2:35	 T:22.60
1.14	 C0:6	 C1:81	 C2:46	 T:22.60
0.99	 D0:29	 D1:446	 D2:122	 T:nan

1.05	 A0:58	 A1:448	 A2:119	 T:22.60
1.10	 B0:84	 B1:155	 B2:35	 T:22.60
1.21	 C0:6	 C1:81	 C2:46	 T:22.60
1.06	 D0:30	 D1:445	 D2:122	 T:nan

1.13	 A0:58	 A1:448	 A2:119	 T:22.60
1.17	 B0:84	 B1:155	 B2:35	 T:22.60
1.29	 C0:6	 C1:81	 C2:46	 T:22.60
1.14	 D0:30	 D1:446	 D2:122	 T:nan

1.21	 A0:58	 A1:448	 A2:119	 T:22.60
1.25	 B0:84	 B1:155	 B2:35	 T:22.60
1.36	 C0:6	 C1:81	 C2:46	 T:22.60
1.21	 D0:30	 D1:445	 D2:122	 T:nan

1.28	 A0:58	 A1:448	 A2:119	 T:22.60
1.33	 B0:84	 B1:155	 B2:35	 T:22.60
1.43	 C0:6	 C1:81	 C2:46	 T:22.60
1.29	 D0:30	 D1:446	 D2:122	 T:nan

1.36	 A0:58	 A1:448	 A2:119	 T:22.60
1.40	 B0:84	 B1:155	 B2:35	 T:22.60
1.51	 C0:6	 C1:81	 C2:46	 T:22.60
1.36	 D0:30	 D1:445	 D2:122	 T:nan

1.44	 A0:58	 A1:448	 A2:119	 T:22.60
1.48	 B0:84	 B1:155	 B2:35	 T:22.60
1.58	 C0:6	 C1:81	 C2:46	 T:22.60
1.44	 D0:30	 D1:446	 D2:122	 T:nan

1.52	 A0:58	 A1:448	 A2:119	 T:22.60
1.56	 B0:85	 B1:155	 B2:35	 T:22.60
1.65	 C0:7	 C1:81	 C2:47	 T:22.60
1.51	 D0:30	 D1:445	 D2:122	 T:nan

1.60	 A0:58	 A1:448	 A2:119	 T:22.60
1.63	 B0:84	 B1:155	 B2:35	 T:22.60
1.72	 C0:6	 C1:81	 C2:46	 T:22.60
1.59	 D0:30	 D1:446	 D2:122	 T:nan

1.68	 A0:58	 A1:448	 A2:119	 T:22.60
1.71	 B0:85	 B1:154	 B2:35	 T:22.60
1.80	 C0:6	 C1:81	 C2:47	 T:22.60
1.66	 D0:30	 D1:445	 D2:122	 T:nan

1.76	 A0:58	 A1:448	 A2:118	 T:22.60
1.79	 B0:85	 B1:155	 B2:35	 T:22.60
1.87	 C0:6	 C1:81	 C2:46	 T:22.60
1.74	 D0:30	 D1:446	 D2:122	 T:nan

1.84	 A0:58	 A1:448	 A2:118	 T:22.60
1.86	 B0:84	 B1:155	 B2:35	 T:22.60
1.94	 C0:6	 C1:81	 C2:46	 T:22.60
1.81	 D0:30	 D1:445	 D2:122	 T:nan

1.92	 A0:58	 A1:448	 A2:118	 T:22.60
1.94	 B0:85	 B1:155	 B2:35	 T:22.60
2.02	 C0:6	 C1:81	 C2:46	 T:22.60
1.89	 D0:30	 D1:446	 D2:122	 T:nan

2.00	 A0:58	 A1:448	 A2:119	 T:22.60
2.03	 B0:85	 B1:155	 B2:35	 T:22.60
2.09	 C0:6	 C1:81	 C2:46	 T:22.60
1.96	 D0:30	 D1:445	 D2:122	 T:nan

2.07	 A0:58	 A1:448	 A2:119	 T:22.60
2.10	 B0:84	 B1:155	 B2:35	 T:22.60
2.16	 C0:6	 C1:81	 C2:46	 T:22.60
2.06	 D0:30	 D1:446	 D2:122	 T:nan

2.15	 A0:58	 A1:448	 A2:118	 T:22.60
2.17	 B0:85	 B1:155	 B2:35	 T:22.60
2.23	 C0:6	 C1:81	 C2:46	 T:22.60
2.11	 D0:30	 D1:446	 D2:122	 T:nan

2.23	 A0:58	 A1:448	 A2:119	 T:22.60
2.25	 B0:84	 B1:155	 B2:35	 T:22.60
