0.06	 A0:42	 A1:298	 A2:107	 T:22.60
0.03	 B0:60	 B1:106	 B2:31	 T:22.60
0.19	 C0:6	 C1:52	 C2:38	 T:22.60
0.03	 D0:21	 D1:313	 D2:100	 T:nan

0.14	 A0:42	 A1:298	 A2:107	 T:22.60
0.06	 B0:60	 B1:106	 B2:31	 T:22.60
0.27	 C0:6	 C1:51	 C2:38	 T:22.60
0.05	 D0:21	 D1:312	 D2:100	 T:nan

0.22	 A0:42	 A1:298	 A2:107	 T:22.60
0.13	 B0:60	 B1:106	 B2:31	 T:22.60
0.34	 C0:6	 C1:51	 C2:38	 T:22.60
0.13	 D0:21	 D1:313	 D2:100	 T:nan

0.30	 A0:42	 A1:298	 A2:107	 T:22.60
0.21	 B0:60	 B1:106	 B2:31	 T:22.60
0.41	 C0:6	 C1:51	 C2:38	 T:22.60
0.20	 D0:21	 D1:313	 D2:100	 T:nan

0.37	 A0:42	 A1:298	 A2:107	 T:22.60
0.29	 B0:60	 B1:106	 B2:30	 T:22.60
0.49	 C0:6	 C1:51	 C2:38	 T:22.60
0.28	 D0:21	 D1:313	 D2:100	 T:nan

0.45	 A0:42	 A1:298	 A2:107	 T:22.60
0.36	 B0:60	 B1:106	 B2:31	 T:22.60
0.56	 C0:7	 C1:51	 C2:38	 T:22.60
0.35	 D0:21	 D1:313	 D2:100	 T:nan

0.53	 A0:42	 A1:298	 A2:107	 T:22.60
0.44	 B0:60	 B1:106	 B2:30	 T:22.60
0.63	 C0:6	 C1:51	 C2:39	 T:22.60
0.43	 D0:21	 D1:313	 D2:100	 T:nan

0.61	 A0:42	 A1:298	 A2:107	 T:22.60
0.52	 B0:60	 B1:106	 B2:31	 T:22.60
0.70	 C0:7	 C1:51	 C2:38	 T:22.60
0.50	 D0:21	 D1:313	 D2:100	 T:nan

0.69	 A0:42	 A1:298	 A2:107	 T:22.60
0.59	 B0:60	 B1:106	 B2:31	 T:22.60
0.78	 C0:7	 C1:51	 C2:38	 T:22.60
0.58	 D0:21	 D1:313	 D2:100	 T:nan

0.77	 A0:42	 A1:298	 A2:107	 T:22.60
0.67	 B0:60	 B1:106	 B2:30	 T:22.60
0.85	 C0:6	 C1:51	 C2:38	 T:22.60
0.65	 D0:21	 D1:313	 D2:100	 T:nan

0.85	 A0:42	 A1:298	 A2:107	 T:22.60
0.75	 B0:60	 B1:106	 B2:31	 T:22.60
0.92	 C0:7	 C1:51	 C2:38	 T:22.60
0.73	 D0:21	 D1:312	 D2:100	 T:nan

0.93	 A0:42	 A1:298	 A2:107	 T:22.60
0.83	 B0:60	 B1:106	 B2:30	 T:22.60
1.00	 C0:7	 C1:51	 C2:38	 T:22.60
0.80	 D0:21	 D1:313	 D2:100	 T:nan

1.01	 A0:42	 A1:298	 A2:107	 T:22.60
0.90	 B0:60	 B1:106	 B2:30	 T:22.60
1.07	 C0:6	 C1:51	 C2:38	 T:22.60
0.88	 D0:21	 D1:313	 D2:100	 T:nan

1.09	 A0:42	 A1:298	 A2:107	 T:22.60
0.98	 B0:60	 B1:106	 B2:31	 T:22.60
1.14	 C0:6	 C1:51	 C2:38	 T:22.60
0.95	 D0:21	 D1:313	 D2:100	 T:nan

1.17	 A0:41	 A1:298	 A2:107	 T:22.60
1.06	 B0:59	 B1:106	 B2:31	 T:22.60
1.22	 C0:6	 C1:51	 C2:38	 T:22.60
1.03	 D0:21	 D1:313	 D2:100	 T:nan

1.25	 A0:42	 A1:298	 A2:107	 T:22.60
1.13	 B0:60	 B1:106	 B2:30	 T:22.60
1.29	 C0:6	 C1:51	 C2:38	 T:22.60
1.10	 D0:21	 D1:313	 D2:100	 T:nan

1.32	 A0:42	 A1:298	 A2:107	 T:22.60
1.21	 B0:60	 B1:106	 B2:30	 T:22.60
1.36	 C0:6	 C1:51	 C2:38	 T:22.60
1.18	 D0:21	 D1:312	 D2:100	 T:nan

1.40	 A0:42	 A1:298	 A2:107	 T:22.60
1.29	 B0:60	 B1:106	 B2:31	 T:22.60
1.43	 C0:7	 C1:51	 C2:38	 T:22.60
1.25	 D0:21	 D1:313	 D2:100	 T:nan

1.48	 A0:42	 A1:298	 A2:107	 T:22.60
1.36	 B0:60	 B1:106	 B2:30	 T:22.60
1.51	 C0:6	 C1:51	 C2:38	 T:22.60
1.33	 D0:21	 D1:312	 D2:100	 T:nan

