0.03	 A0:21	 A1:239	 A2:74	 T:22.20
0.03	 B0:72	 B1:151	 B2:81	 T:nan
0.03	 D0:12	 D1:150	 D2:84	 T:nan
0.03	 C0:13	 C1:61	 C2:19	 T:21.80

0.06	 A0:20	 A1:239	 A2:74	 T:22.20
0.05	 B0:72	 B1:151	 B2:81	 T:nan
0.05	 D0:12	 D1:150	 D2:84	 T:nan
0.06	 C0:12	 C1:61	 C2:19	 T:21.80

0.13	 A0:20	 A1:239	 A2:74	 T:22.20
0.12	 B0:72	 B1:151	 B2:81	 T:nan
0.12	 D0:12	 D1:150	 D2:84	 T:nan
0.13	 C0:13	 C1:61	 C2:19	 T:21.80

0.21	 A0:20	 A1:239	 A2:74	 T:22.20
0.19	 B0:72	 B1:151	 B2:81	 T:nan
0.19	 D0:12	 D1:150	 D2:84	 T:nan
0.20	 C0:13	 C1:61	 C2:19	 T:21.80

0.29	 A0:20	 A1:239	 A2:74	 T:22.20
0.27	 B0:72	 B1:151	 B2:81	 T:nan
0.27	 D0:13	 D1:150	 D2:84	 T:nan
0.28	 C0:12	 C1:61	 C2:19	 T:21.80

0.36	 A0:20	 A1:239	 A2:74	 T:22.20
0.34	 B0:72	 B1:151	 B2:81	 T:nan
0.34	 D0:12	 D1:150	 D2:84	 T:nan
0.35	 C0:13	 C1:62	 C2:19	 T:21.80

0.44	 A0:20	 A1:239	 A2:75	 T:22.20
0.41	 B0:72	 B1:151	 B2:81	 T:nan
0.41	 D0:12	 D1:150	 D2:84	 T:nan
0.43	 C0:12	 C1:61	 C2:19	 T:21.80

0.52	 A0:21	 A1:239	 A2:74	 T:22.20
0.49	 B0:72	 B1:151	 B2:81	 T:nan
0.49	 D0:13	 D1:150	 D2:84	 T:nan
0.50	 C0:13	 C1:61	 C2:19	 T:21.80

0.59	 A0:20	 A1:239	 A2:74	 T:22.20
0.56	 B0:72	 B1:151	 B2:81	 T:nan
0.56	 D0:13	 D1:150	 D2:84	 T:nan
0.58	 C0:13	 C1:61	 C2:19	 T:21.80

0.67	 A0:20	 A1:239	 A2:74	 T:22.20
0.63	 B0:72	 B1:151	 B2:81	 T:nan
0.63	 D0:13	 D1:150	 D2:84	 T:nan
0.65	 C0:13	 C1:61	 C2:19	 T:21.80

0.75	 A0:21	 A1:239	 A2:74	 T:22.20
0.70	 B0:72	 B1:151	 B2:81	 T:nan
0.70	 D0:12	 D1:150	 D2:84	 T:nan
0.73	 C0:13	 C1:61	 C2:19	 T:21.80

0.83	 A0:20	 A1:239	 A2:74	 T:22.20
0.78	 B0:72	 B1:151	 B2:81	 T:nan
0.78	 D0:12	 D1:150	 D2:84	 T:nan
0.80	 C0:13	 C1:61	 C2:19	 T:21.80

0.90	 A0:20	 A1:239	 A2:74	 T:22.20
0.85	 B0:72	 B1:151	 B2:81	 T:nan
0.85	 D0:12	 D1:150	 D2:84	 T:nan
0.88	 C0:13	 C1:61	 C2:19	 T:21.80

0.98	 A0:20	 A1:238	 A2:74	 T:22.20
0.92	 B0:72	 B1:151	 B2:81	 T:nan
0.92	 D0:12	 D1:150	 D2:84	 T:nan
0.95	 C0:13	 C1:61	 C2:19	 T:21.80

1.06	 A0:20	 A1:239	 A2:74	 T:22.20
1.00	 B0:72	 B1:151	 B2:81	 T:nan
1.00	 D0:12	 D1:150	 D2:84	 T:nan
1.03	 C0:13	 C1:61	 C2:19	 T:21.80

1.13	 A0:20	 A1:239	 A2:74	 T:22.20
1.07	 B0:72	 B1:151	 B2:81	 T:nan
