1.10	 A T:21.80
2.00	 C0:16	 C1:75	 C2:19	 T:21.80
1.94	 D0:14	 D1:215	 D2:84	 T:nan

1.94	 A0:27	 A1:185	 A2:68	 T:21.80
1.91	 B0:80	 B1:154	 B2:86	 T:nan
2.07	 C0:16	 C1:75	 C2:18	 T:21.80
2.02	 D0:13	 D1:215	 D2:84	 T:nan

2.03	 A0:27	 A1:185	 A2:68	 T:21.80
1.98	 B0:80	 B1:154	 B2:86	 T:nan
2.15	 C0:16	 C1:75	 C2:19	 T:21.80
2.09	 D0:13	 D1:215	 D2:84	 T:nan

2.10	 A0:27	 A1:185	 A2:68	 T:21.80
2.07	 B0:80	 B1:153	 B2:86	 T:nan
2.23	 C0:16	 C1:75	 C2:19	 T:21.80
2.16	 D0:13	 D1:215	 D2:84	 T:nan

2.17	 A0:28	 A1:185	 A2:68	 T:21.80
2.12	 B0:80	 B1:154	 B2:86	 T:nan
2.30	 C0:16	 C1:75	 C2:18	 T:21.80
2.23	 D0:13	 D1:215	 D2:84	 T:nan

2.25	 A0:28	 A1:185	 A2:68	 T:21.80
2.20	 B0:80	 B1:153	 B2:86	 T:nan
2.37	 C0:16	 C1:75	 C2:18	 T:21.80
2.31	 D0:13	 D1:215	 D2:84	 T:nan

2.33	 A0:28	 A1:185	 A2:68	 T:21.80
2.27	 B0:80	 B1:153	 B2:86	 T:nan
2.45	 C0:16	 C1:75	 C2:18	 T:21.80
2.38	 D0:13	 D1:215	 D2:84	 T:nan

2.40	 A0:28	 A1:185	 A2:68	 T:21.80
2.34	 B0:80	 B1:154	 B2:86	 T:nan
2.52	 C0:16	 C1:75	 C2:19	 T:21.80
2.45	 D0:13	 D1:215	 D2:84	 T:nan

2.48	 A0:28	 A1:185	 A2:68	 T:21.80
2.42	 B0:80	 B1:153	 B2:86	 T:nan
2.60	 C0:16	 C1:75	 C2:19	 T:21.80
2.53	 D0:13	 D1:215	 D2:84	 T:nan

2.56	 A0:27	 A1:185	 A2:68	 T:21.80
2.49	 B0:80	 B1:153	 B2:86	 T:nan
2.67	 C0:16	 C1:75	 C2:19	 T:21.80
2.60	 D0:13	 D1:215	 D2:84	 T:nan

2.63	 A0:28	 A1:185	 A2:68	 T:21.80
2.56	 B0:80	 B1:154	 B2:86	 T:nan
2.75	 C0:16	 C1:75	 C2:19	 T:21.80
2.67	 D0:13	 D1:215	 D2:84	 T:nan

2.71	 A0:28	 A1:185	 A2:68	 T:21.80
2.63	 B0:80	 B1:153	 B2:85	 T:nan
2.82	 C0:16	 C1:75	 C2:19	 T:21.80
2.74	 D0:13	 D1:215	 D2:84	 T:nan

2.79	 A0:27	 A1:185	 A2:68	 T:21.80
2.71	 B0:80	 B1:153	 B2:86	 T:nan
2.90	 C0:16	 C1:75	 C2:19	 T:21.80
2.82	 D0:13	 D1:215	 D2:84	 T:nan

2.86	 A0:27	 A1:185	 A2:68	 T:21.80
2.78	 B0:80	 B1:154	 B2:85	 T:nan
2.97	 C0:16	 C1:75	 C2:18	 T:21.80
2.89	 D0:13	 D1:215	 D2:84	 T:nan

2.94	 A0:27	 A1:185	 A2:68	 T:21.80
2.85	 B0:81	 B1:154	 B2:85	 T:nan
3.05	 C0:16	 C1:75	 C2:19	 T:21.80
2.96	 D0:13	 D1:215	 D2:84	 T:nan

3.02	 A0:28	 A1:185	 A2:68	 T:21.80
2.93	 B0:81	 B1:154	 B2:86	 T:nan
3.12	 C0:16	 C1:75	 C2:19	 T:21.80
3.03	 D0:13	 D1:215	 D2:84	 T:nan

3.10	 A0:28	 A1:185	 A2:68	 T:21.80
3.00	 B0:80	 B1:154	 B2:86	 T:nan
3.20	 C0:16	 C1:75	 C2:19	 T:21.80
3.11	 D0:13	 D1:215	 D2:84	 T:nan

3.17	 A0:27	 A1:185	 A2:68	 T:21.80
3.07	 B0:80	 B1:154	 B2:86	 T:nan
3.27	 C0:16	 C1:75	 C2:18	 T:21.80
3.18	 D0:13	 D1:215	 D2:84	 T:nan

3.25	 A0:28	 A1:185	 A2:68	 T:21.80
3.14	 B0:81	 B1:154	 B2:85	 T:nan
3.35	 C0:16	 C1:75	 C2:18	 T:21.80
3.25	 D0:14	 D1:215	 D2:84	 T:nan

3.33	 A0:28	 A1:185	 A2:68	 T:21.80
3.22	 B0:81	 B1:154	 B2:86	 T:nan
3.42	 C0:16	 C1:75	 C2:18	 T:21.80
3.33	 D0:13	 D1:215	 D2:84	 T:nan

3.40	 A0:27	 A1:185	 A2:68	 T:21.80
3.29	 B0:81	 B1:154	 B2:86	 T:nan
3.50	 C0:16	 C1:75	 C2:19	 T:21.80
3.40	 D0:13	 D1:215	 D2:84	 T:nan

3.48	 A0:28	 A1:185	 A2:68	 T:21.80
3.36	 B0:81	 B1:154	 B2:85	 T:nan
3.57	 C0:16	 C1:75	 C2:19	 T:21.80
3.47	 D0:13	 D1:215	 D2:84	 T:nan

3.56	 A0:27	 A1:185	 A2:68	 T:21.80
3.43	 B0:80	 B1:154	 B2:86	 T:nan
3.65	 C0:16	 C1:75	 C2:19	 T:21.80
3.54	 D0:13	 D1:215	 D2:84	 T:nan

3.63	 A0:27	 A1:185	 A2:68	 T:21.80
3.51	 B0:81	 B1:154	 B2:86	 T:nan
3.72	 C0:16	 C1:75	 C2:18	 T:21.80
3.62	 D0:13	 D1:215	 D2:84	 T:nan

3.71	 A0:28	 A1:185	 A2:68	 T:21.80
3.58	 B0:81	 B1:154	 B2:86	 T:nan
3.80	 C0:16	 C1:75	 C2:19	 T:21.80
3.69	 D0:13	 D1:215	 D2:84	 T:nan

3.79	 A0:28	 A1:185	 A2:68	 T:21.80
3.65	 B0:81	 B1:154	 B2:86	 T:nan
3.87	 C0:16	 C1:75	 C2:18	 T:21.80
3.76	 D0:13	 D1:215	 D2:84	 T:nan

3.86	 A0:28	 A1:185	 A2:68	 T:21.80
