0.03	 A0:26	 A1:178	 A2:68	 T:22.30

1.54	 B0:87	 B1:146	 B2:66	 T:nan

0.13	 C0:16	 C1:74	 C2:19	 T:22.20

1.54	 D0:13	 D1:202	 D2:72	 T:nan


0.13	 A0:26	 A1:178	 A2:68	 T:22.30

0.04	 B0:87	 B1:146	 B2:66	 T:nan

0.28	 C0:16	 C1:75	 C2:19	 T:22.20

0.04	 D0:13	 D1:202	 D2:73	 T:nan


0.21	 A0:26	 A1:178	 A2:69	 T:22.30

0.09	 B0:87	 B1:146	 B2:66	 T:nan

0.35	 C0:16	 C1:75	 C2:19	 T:22.20

0.09	 D0:13	 D1:202	 D2:73	 T:nan


0.29	 A0:26	 A1:178	 A2:68	 T:22.30

0.16	 B0:87	 B1:146	 B2:66	 T:nan

0.43	 C0:16	 C1:75	 C2:19	 T:22.20

0.16	 D0:13	 D1:202	 D2:73	 T:nan


0.36	 A0:26	 A1:178	 A2:69	 T:22.30

0.23	 B0:87	 B1:146	 B2:66	 T:nan

0.50	 C0:16	 C1:74	 C2:19	 T:22.20

0.23	 D0:13	 D1:202	 D2:73	 T:nan


0.44	 A0:26	 A1:178	 A2:68	 T:22.30

0.30	 B0:87	 B1:146	 B2:67	 T:nan

0.58	 C0:16	 C1:75	 C2:19	 T:22.20

0.30	 D0:13	 D1:202	 D2:73	 T:nan


0.52	 A0:26	 A1:178	 A2:68	 T:22.30

0.38	 B0:87	 B1:146	 B2:66	 T:nan

0.65	 C0:16	 C1:74	 C2:19	 T:22.20

0.38	 D0:13	 D1:202	 D2:73	 T:nan


0.59	 A0:26	 A1:178	 A2:68	 T:22.30

0.45	 B0:87	 B1:146	 B2:66	 T:nan

0.73	 C0:16	 C1:75	 C2:19	 T:22.20

0.45	 D0:13	 D1:202	 D2:73	 T:nan


0.67	 A0:26	 A1:178	 A2:68	 T:22.30

0.52	 B0:87	 B1:146	 B2:66	 T:nan

0.80	 C0:16	 C1:74	 C2:19	 T:22.20

0.52	 D0:13	 D1:202	 D2:73	 T:nan


0.75	 A0:26	 A1:178	 A2:68	 T:22.30

0.60	 B0:87	 B1:146	 B2:66	 T:nan

0.88	 C0:16	 C1:74	 C2:19	 T:22.20

0.60	 D0:13	 D1:202	 D2:73	 T:nan


0.83	 A0:26	 A1:178	 A2:68	 T:22.30

0.67	 B0:87	 B1:146	 B2:66	 T:nan

0.95	 C0:16	 C1:74	 C2:19	 T:22.20

0.67	 D0:13	 D1:202	 D2:73	 T:nan


0.90	 A0:26	 A1:178	 A2:68	 T:22.30

0.74	 B0:87	 B1:146	 B2:66	 T:nan

1.03	 C0:16	 C1:74	 C2:19	 T:22.20

0.74	 D0:13	 D1:202	 D2:73	 T:nan


0.98	 A0:26	 A1:178	 A2:68	 T:22.30

0.81	 B0:86	 B1:146	 B2:66	 T:nan

1.10	 C0:16	 C1:74	 C2:19	 T:22.20

0.81	 D0:13	 D1:202	 D2:73	 T:nan


1.06	 A0:26	 A1:178	 A2:68	 T:22.30

0.89	 B0:87	 B1:146	 B2:66	 T:nan

1.18	 C0:16	 C1:74	 C2:19	 T:22.20

0.89	 D0:13	 D1:202	 D2:73	 T:nan


1.13	 A0:26	 A1:178	 A2:68	 T:22.30

0.96	 B0:87	 B1:146	 B2:67	 T:nan

1.25	 C0:16	 C1:74	 C2:19	 T:22.20

0.96	 D0:13	 D1:202	 D2:72	 T:nan


1.21	 A0:26	 A1:178	 A2:68	 T:22.30

1.03	 B0:87	 B1:146	 B2:66	 T:nan

1.33	 C0:16	 C1:75	 C2:19	 T:22.20

1.03	 D0:13	 D1:202	 D2:72	 T:nan


1.29	 A0:26	 A1:178	 A2:68	 T:22.30

1.11	 B0:86	 B1:146	 B2:66	 T:nan

1.40	 C0:16	 C1:75	 C2:19	 T:22.20

1.11	 D0:12	 D1:202	 D2:73	 T:nan


1.36	 A0:26	 A1:178	 A2:68	 T:22.30

1.18	 B0:87	 B1:146	 B2:66	 T:nan

1.48	 C0:16	 C1:74	 C2:19	 T:22.20

1.18	 D0:13	 D1:202	 D2:73	 T:nan


1.44	 A0:26	 A1:178	 A2:68	 T:22.30

1.25	 B0:87	 B1:146	 B2:66	 T:nan

1.55	 C0:16	 C1:74	 C2:19	 T:22.20

1.25	 D0:13	 D1:202	 D2:73	 T:nan


1.52	 A0:26	 A1:178	 A2:68	 T:22.30

1.32	 B0:87	 B1:146	 B2:66	 T:nan

1.63	 C0:16	 C1:74	 C2:19	 T:22.20

1.32	 D0:13	 D1:202	 D2:72	 T:nan


1.60	 A0:26	 A1:178	 A2:68	 T:22.30

1.40	 B0:87	 B1:146	 B2:66	 T:nan

1.70	 C0:16	 C1:74	 C2:19	 T:22.20

1.40	 D0:13	 D1:202	 D2:73	 T:nan


1.67	 A0:26	 A1:178	 A2:68	 T:22.30

1.47	 B0:87	 B1:146	 B2:66	 T:nan

1.77	 C0:16	 C1:74	 C2:19	 T:22.20

1.47	 D0:13	 D1:202	 D2:73	 T:nan


1.75	 A0:26	 A1:178	 A2:68	 T:22.30

