0.03	 A0:37	 A1:267	 A2:96	 T:22.20
0.03	 B0:49	 B1:84	 B2:28	 T:22.20
0.19	 C0:6	 C1:39	 C2:40	 T:22.20
0.05	 D0:20	 D1:281	 D2:280	 T:21.80

0.06	 A0:37	 A1:267	 A2:96	 T:22.20
0.06	 B0:49	 B1:84	 B2:29	 T:22.20
0.27	 C0:6	 C1:39	 C2:40	 T:22.20
0.10	 D0:21	 D1:280	 D2:276	 T:21.80

0.13	 A0:37	 A1:267	 A2:96	 T:22.20
0.13	 B0:49	 B1:84	 B2:28	 T:22.20
0.34	 C0:6	 C1:39	 C2:40	 T:22.20
0.18	 D0:21	 D1:281	 D2:285	 T:21.80

0.21	 A0:37	 A1:267	 A2:96	 T:22.20
0.20	 B0:49	 B1:84	 B2:29	 T:22.20
0.41	 C0:6	 C1:39	 C2:40	 T:22.20
0.26	 D0:20	 D1:281	 D2:251	 T:21.80

0.29	 A0:37	 A1:267	 A2:96	 T:22.20
0.28	 B0:49	 B1:84	 B2:28	 T:22.20
0.49	 C0:6	 C1:39	 C2:40	 T:22.20
0.34	 D0:21	 D1:281	 D2:294	 T:21.80

0.36	 A0:37	 A1:267	 A2:96	 T:22.20
0.35	 B0:49	 B1:84	 B2:29	 T:22.20
0.56	 C0:6	 C1:39	 C2:40	 T:22.20
0.41	 D0:21	 D1:280	 D2:276	 T:21.80

0.44	 A0:37	 A1:267	 A2:96	 T:22.20
0.43	 B0:49	 B1:84	 B2:29	 T:22.20
0.63	 C0:7	 C1:39	 C2:40	 T:22.20
0.49	 D0:20	 D1:281	 D2:283	 T:21.80

0.52	 A0:37	 A1:267	 A2:96	 T:22.20
0.50	 B0:49	 B1:84	 B2:28	 T:22.20
0.70	 C0:6	 C1:39	 C2:40	 T:22.20
0.57	 D0:20	 D1:280	 D2:252	 T:21.80

0.59	 A0:37	 A1:267	 A2:96	 T:22.20
0.58	 B0:49	 B1:84	 B2:29	 T:22.20
0.78	 C0:6	 C1:39	 C2:40	 T:22.20
0.65	 D0:21	 D1:280	 D2:294	 T:21.80

0.67	 A0:37	 A1:267	 A2:96	 T:22.20
0.65	 B0:49	 B1:84	 B2:29	 T:22.20
0.85	 C0:6	 C1:39	 C2:40	 T:22.20
0.73	 D0:20	 D1:280	 D2:277	 T:21.80

0.75	 A0:37	 A1:267	 A2:96	 T:22.20
0.73	 B0:49	 B1:84	 B2:28	 T:22.20
0.92	 C0:6	 C1:39	 C2:40	 T:22.20
0.81	 D0:20	 D1:280	 D2:280	 T:21.80

0.83	 A0:37	 A1:267	 A2:96	 T:22.20
0.80	 B0:49	 B1:84	 B2:28	 T:22.20
1.00	 C0:6	 C1:39	 C2:40	 T:22.20
0.89	 D0:20	 D1:280	 D2:255	 T:21.80

0.90	 A0:37	 A1:267	 A2:96	 T:22.20
0.88	 B0:49	 B1:84	 B2:29	 T:22.20
1.07	 C0:6	 C1:39	 C2:40	 T:22.20
0.97	 D0:20	 D1:280	 D2:294	 T:21.80

0.98	 A0:37	 A1:267	 A2:96	 T:22.20
0.95	 B0:49	 B1:84	 B2:29	 T:22.20
1.14	 C0:6	 C1:39	 C2:40	 T:22.20
1.05	 D0:20	 D1:280	 D2:278	 T:21.80

1.06	 A0:37	 A1:267	 A2:97	 T:22.20
1.03	 B0:49	 B1:84	 B2:29	 T:22.20
1.22	 C0:6	 C1:39	 C2:40	 T:22.20
1.13	 D0:20	 D1:280	 D2:276	 T:21.80

1.13	 A0:37	 A1:267	 A2:96	 T:22.20
1.10	 B0:49	 B1:84	 B2:28	 T:22.20
1.29	 C0:6	 C1:39	 C2:40	 T:22.20
1.21	 D0:20	 D1:280	 D2:259	 T:21.80

1.21	 A0:37	 A1:267	 A2:96	 T:22.20
1.18	 B0:49	 B1:84	 B2:28	 T:22.20
1.36	 C0:6	 C1:39	 C2:40	 T:22.20
1.28	 D0:20	 D1:280	 D2:295	 T:21.80

1.29	 A0:37	 A1:267	 A2:96	 T:22.20
1.25	 B0:49	 B1:84	 B2:29	 T:22.20
1.43	 C0:6	 C1:39	 C2:40	 T:22.20
1.36	 D0:20	 D1:280	 D2:279	 T:21.80

1.36	 A0:37	 A1:267	 A2:96	 T:22.20
1.33	 B0:49	 B1:84	 B2:29	 T:22.20
1.51	 C0:6	 C1:39	 C2:40	 T:22.20
1.44	 D0:21	 D1:280	 D2:274	 T:21.80

1.44	 A0:37	 A1:267	 A2:96	 T:22.20
1.40	 B0:49	 B1:84	 B2:28	 T:22.20
1.58	 C0:6	 C1:39	 C2:40	 T:22.20
1.52	 D0:21	 D1:280	 D2:263	 T:21.80

1.52	 A0:37	 A1:267	 A2:96	 T:22.20
1.48	 B0:49	 B1:84	 B2:29	 T:22.20
1.65	 C0:6	 C1:39	 C2:40	 T:22.20
1.60	 D0:21	 D1:280	 D2:294	 T:21.80

1.60	 A0:37	 A1:267	 A2:96	 T:22.20
1.55	 B0:49	 B1:84	 B2:29	 T:22.20
1.72	 C0:6	 C1:39	 C2:40	 T:22.20
1.68	 D0:21	 D1:280	 D2:279	 T:21.80

1.67	 A0:37	 A1:267	 A2:96	 T:22.20
1.63	 B0:49	 B1:84	 B2:29	 T:22.20
1.80	 C0:6	 C1:39	 C2:40	 T:22.20
1.76	 D0:21	 D1:280	 D2:272	 T:21.80

1.75	 A0:37	 A1:267	 A2:96	 T:22.20
1.70	 B0:49	 B1:84	 B2:29	 T:22.20
1.87	 C0:6	 C1:39	 C2:40	 T:22.20
1.84	 D0:20	 D1:280	 D2:268	 T:21.80

1.83	 A0:37	 A1:267	 A2:96	 T:22.20
1.77	 B0:49	 B1:84	 B2:29	 T:22.20
1.94	 C0:6	 C1:39	 C2:40	 T:22.20
1.92	 D0:20	 D1:280	 D2:292	 T:21.80

1.90	 A0:37	 A1:267	 A2:96	 T:22.20
1.85	 B0:49	 B1:84	 B2:28	 T:22.20
2.02	 C0:6	 C1:39	 C2:40	 T:22.20
2.00	 D0:20	 D1:280	 D2:280	 T:21.80

1.98	 A0:37	 A1:267	 A2:96	 T:22.20
1.92	 B0:49	 B1:84	 B2:29	 T:22.20
2.09	 C0:6	 C1:39	 C2:40	 T:22.20
2.07	 D0:21	 D1:281	 D2:286	 T:21.80

2.06	 A0:37	 A1:267	 A2:96	 T:22.20
