0.03	 A0:39	 A1:291	 A2:100	 T:23.00
0.20	 B0:51	 B1:90	 B2:30	 T:23.00
0.19	 C0:6	 C1:41	 C2:41	 T:23.00
0.03	 D0:19	 D1:306	 D2:299	 T:22.90

0.06	 A0:39	 A1:291	 A2:101	 T:23.00
0.28	 B0:51	 B1:90	 B2:30	 T:23.00
0.27	 C0:6	 C1:41	 C2:41	 T:23.00
0.06	 D0:19	 D1:306	 D2:305	 T:22.90

0.14	 A0:39	 A1:291	 A2:100	 T:23.00
0.35	 B0:51	 B1:90	 B2:30	 T:23.00
0.34	 C0:6	 C1:40	 C2:41	 T:23.00
0.14	 D0:19	 D1:307	 D2:298	 T:22.90

0.22	 A0:39	 A1:291	 A2:100	 T:23.00
0.43	 B0:51	 B1:90	 B2:31	 T:23.00
0.41	 C0:6	 C1:41	 C2:41	 T:23.00
0.22	 D0:19	 D1:307	 D2:293	 T:22.90

0.30	 A0:39	 A1:291	 A2:100	 T:23.00
0.50	 B0:51	 B1:90	 B2:30	 T:23.00
0.49	 C0:6	 C1:41	 C2:42	 T:23.00
0.30	 D0:19	 D1:307	 D2:319	 T:22.90

0.37	 A0:39	 A1:291	 A2:100	 T:23.00
0.58	 B0:51	 B1:90	 B2:30	 T:23.00
0.56	 C0:6	 C1:40	 C2:41	 T:23.00
0.37	 D0:19	 D1:306	 D2:307	 T:22.90

0.45	 A0:39	 A1:291	 A2:100	 T:23.00
0.65	 B0:51	 B1:90	 B2:30	 T:23.00
0.63	 C0:6	 C1:40	 C2:41	 T:23.00
0.45	 D0:19	 D1:307	 D2:298	 T:22.90

0.53	 A0:39	 A1:291	 A2:100	 T:23.00
0.73	 B0:51	 B1:90	 B2:30	 T:23.00
0.70	 C0:6	 C1:40	 C2:41	 T:23.00
0.53	 D0:19	 D1:306	 D2:294	 T:22.90

0.61	 A0:39	 A1:291	 A2:100	 T:23.00
0.80	 B0:51	 B1:90	 B2:30	 T:23.00
0.78	 C0:6	 C1:41	 C2:41	 T:23.00
0.61	 D0:19	 D1:306	 D2:318	 T:22.90

0.69	 A0:39	 A1:291	 A2:100	 T:23.00
0.88	 B0:51	 B1:90	 B2:30	 T:23.00
0.85	 C0:6	 C1:40	 C2:41	 T:23.00
0.69	 D0:19	 D1:306	 D2:306	 T:22.90

0.77	 A0:39	 A1:291	 A2:100	 T:23.00
0.95	 B0:51	 B1:90	 B2:30	 T:23.00
0.92	 C0:6	 C1:41	 C2:42	 T:23.00
0.77	 D0:19	 D1:306	 D2:296	 T:22.90

0.85	 A0:39	 A1:291	 A2:101	 T:23.00
1.03	 B0:51	 B1:90	 B2:30	 T:23.00
1.00	 C0:6	 C1:41	 C2:41	 T:23.00
0.85	 D0:19	 D1:306	 D2:295	 T:22.90

0.93	 A0:39	 A1:291	 A2:100	 T:23.00
1.10	 B0:51	 B1:90	 B2:30	 T:23.00
1.07	 C0:6	 C1:41	 C2:42	 T:23.00
0.93	 D0:19	 D1:306	 D2:318	 T:22.90

1.01	 A0:39	 A1:291	 A2:100	 T:23.00
1.18	 B0:51	 B1:90	 B2:30	 T:23.00
1.14	 C0:6	 C1:41	 C2:41	 T:23.00
1.01	 D0:19	 D1:306	 D2:306	 T:22.90

1.09	 A0:39	 A1:291	 A2:100	 T:23.00
1.25	 B0:51	 B1:90	 B2:30	 T:23.00
1.22	 C0:6	 C1:40	 C2:41	 T:23.00
1.09	 D0:19	 D1:306	 D2:296	 T:22.90

1.17	 A0:39	 A1:291	 A2:100	 T:23.00
1.33	 B0:51	 B1:90	 B2:30	 T:23.00
1.29	 C0:6	 C1:40	 C2:41	 T:23.00
1.17	 D0:19	 D1:306	 D2:297	 T:22.90

1.25	 A0:39	 A1:291	 A2:100	 T:23.00
1.40	 B0:51	 B1:90	 B2:30	 T:23.00
1.36	 C0:6	 C1:41	 C2:41	 T:23.00
1.25	 D0:19	 D1:306	 D2:317	 T:22.90

1.32	 A0:39	 A1:291	 A2:100	 T:23.00
1.48	 B0:51	 B1:90	 B2:30	 T:23.00
1.43	 C0:6	 C1:40	 C2:41	 T:23.00
1.32	 D0:19	 D1:306	 D2:305	 T:22.90

1.40	 A0:38	 A1:291	 A2:100	 T:23.00
1.55	 B0:51	 B1:90	 B2:30	 T:23.00
1.51	 C0:6	 C1:41	 C2:41	 T:23.00
1.40	 D0:19	 D1:306	 D2:296	 T:22.90

1.48	 A0:39	 A1:291	 A2:100	 T:23.00
1.63	 B0:51	 B1:90	 B2:30	 T:23.00
1.58	 C0:6	 C1:40	 C2:41	 T:23.00
1.48	 D0:19	 D1:306	 D2:296	 T:22.90

1.56	 A0:39	 A1:291	 A2:100	 T:23.00
1.70	 B0:51	 B1:90	 B2:30	 T:23.00
1.65	 C0:6	 C1:40	 C2:42	 T:23.00
1.56	 D0:19	 D1:306	 D2:317	 T:22.90

1.64	 A0:38	 A1:291	 A2:101	 T:23.00
1.77	 B0:51	 B1:90	 B2:30	 T:23.00
1.72	 C0:6	 C1:40	 C2:41	 T:23.00
1.64	 D0:19	 D1:306	 D2:307	 T:22.90

1.72	 A0:39	 A1:291	 A2:100	 T:23.00
1.85	 B0:51	 B1:90	 B2:30	 T:23.00
1.80	 C0:6	 C1:40	 C2:41	 T:23.00
1.72	 D0:19	 D1:306	 D2:295	 T:22.90

1.80	 A0:39	 A1:291	 A2:100	 T:23.00
1.92	 B0:51	 B1:90	 B2:30	 T:23.00
1.87	 C0:6	 C1:40	 C2:41	 T:23.00
1.80	 D0:19	 D1:306	 D2:299	 T:22.90

1.88	 A0:39	 A1:291	 A2:100	 T:23.00
2.00	 B0:51	 B1:90	 B2:30	 T:23.00
1.94	 C0:6	 C1:40	 C2:41	 T:23.00
1.88	 D0:19	 D1:306	 D2:317	 T:22.90

1.96	 A0:39	 A1:292	 A2:100	 T:23.00
2.07	 B0:51	 B1:90	 B2:30	 T:23.00
2.02	 C0:6	 C1:40	 C2:41	 T:23.00
1.96	 D0:19	 D1:306	 D2:307	 T:22.90

2.05	 A0:39	 A1:291	 A2:100	 T:23.00
2.15	 B0:51	 B1:90	 B2:30	 T:23.00
2.09	 C0:6	 C1:41	 C2:41	 T:23.00
2.05	 D0:19	 D1:307	 D2:310	 T:23.00

2.11	 A0:39	 A1:291	 A2:100	 T:23.00
2.23	 B0:51	 B1:90	 B2:30	 T:23.00
2.16	 C0:6	 C1:40	 C2:41	 T:23.00
2.11	 D0:19	 D1:307	 D2:275	 T:23.00

2.19	 A0:38	 A1:291	 A2:100	 T:23.00
2.30	 B0:51	 B1:90	 B2:30	 T:23.00
2.23	 C0:6	 C1:41	 C2:41	 T:23.00
2.19	 D0:20	 D1:307	 D2:319	 T:23.00

2.27	 A0:38	 A1:291	 A2:100	 T:23.00
2.37	 B0:51	 B1:90	 B2:30	 T:23.00
2.31	 C0:6	 C1:41	 C2:41	 T:23.00
2.27	 D0:20	 D1:306	 D2:304	 T:23.00

2.35	 A0:38	 A1:291	 A2:100	 T:23.00
2.45	 B0:51	 B1:90	 B2:30	 T:23.00
2.38	 C0:6	 C1:41	 C2:41	 T:23.00
2.35	 D0:19	 D1:307	 D2:311	 T:23.00

2.43	 A0:38	 A1:291	 A2:100	 T:23.00
2.52	 B0:51	 B1:90	 B2:30	 T:23.00
2.45	 C0:6	 C1:40	 C2:41	 T:23.00
2.43	 D0:19	 D1:307	 D2:275	 T:23.00

2.51	 A0:38	 A1:291	 A2:100	 T:23.00
2.60	 B0:51	 B1:90	 B2:30	 T:23.00
2.52	 C0:6	 C1:41	 C2:41	 T:23.00
2.51	 D0:19	 D1:306	 D2:320	 T:23.00

2.59	 A0:38	 A1:291	 A2:100	 T:23.00
2.67	 B0:51	 B1:90	 B2:30	 T:23.00
2.60	 C0:6	 C1:40	 C2:41	 T:23.00
2.59	 D0:19	 D1:306	 D2:303	 T:23.00

2.67	 A0:39	 A1:291	 A2:100	 T:23.00
2.75	 B0:51	 B1:90	 B2:30	 T:23.00
2.67	 C0:6	 C1:41	 C2:41	 T:23.00
2.67	 D0:19	 D1:306	 D2:310	 T:23.00

2.75	 A0:38	 A1:291	 A2:100	 T:23.00
2.82	 B0:51	 B1:90	 B2:30	 T:23.00
2.74	 C0:6	 C1:41	 C2:41	 T:23.00
2.75	 D0:19	 D1:306	 D2:276	 T:23.00

2.83	 A0:39	 A1:291	 A2:100	 T:23.00
2.90	 B0:51	 B1:90	 B2:30	 T:23.00
2.82	 C0:6	 C1:41	 C2:42	 T:23.00
2.83	 D0:19	 D1:306	 D2:320	 T:23.00

2.91	 A0:38	 A1:291	 A2:100	 T:23.00
