0.03	 A0:44	 A1:324	 A2:103	 T:23.80
0.03	 B0:58	 B1:103	 B2:34	 T:24.10
0.03	 C0:6	 C1:48	 C2:34	 T:24.10
0.03	 D0:19	 D1:348	 D2:358	 T:23.80

0.06	 A0:44	 A1:324	 A2:103	 T:23.80
0.06	 B0:57	 B1:103	 B2:34	 T:24.10
0.06	 C0:5	 C1:48	 C2:34	 T:24.10
0.06	 D0:19	 D1:347	 D2:314	 T:23.80

0.14	 A0:44	 A1:324	 A2:103	 T:23.80
0.13	 B0:58	 B1:103	 B2:34	 T:24.10
0.12	 C0:6	 C1:49	 C2:34	 T:24.10
0.14	 D0:19	 D1:348	 D2:358	 T:23.80

0.22	 A0:44	 A1:324	 A2:103	 T:23.80
0.21	 B0:58	 B1:103	 B2:34	 T:24.10
0.19	 C0:5	 C1:49	 C2:34	 T:24.10
0.22	 D0:19	 D1:347	 D2:346	 T:23.80

0.30	 A0:44	 A1:324	 A2:103	 T:23.80
0.29	 B0:58	 B1:103	 B2:34	 T:24.10
0.27	 C0:5	 C1:49	 C2:34	 T:24.10
0.30	 D0:19	 D1:348	 D2:349	 T:23.80

0.37	 A0:44	 A1:324	 A2:103	 T:23.80
0.36	 B0:58	 B1:103	 B2:34	 T:24.10
0.34	 C0:5	 C1:49	 C2:34	 T:24.10
0.37	 D0:19	 D1:348	 D2:318	 T:23.80

0.45	 A0:44	 A1:324	 A2:103	 T:23.80
0.44	 B0:57	 B1:103	 B2:34	 T:24.10
0.41	 C0:6	 C1:48	 C2:34	 T:24.10
0.45	 D0:19	 D1:348	 D2:362	 T:23.80

0.53	 A0:44	 A1:324	 A2:104	 T:23.80
0.52	 B0:58	 B1:103	 B2:34	 T:24.10
0.49	 C0:6	 C1:49	 C2:34	 T:24.10
0.53	 D0:19	 D1:347	 D2:343	 T:23.80

0.61	 A0:44	 A1:324	 A2:103	 T:23.80
0.59	 B0:57	 B1:103	 B2:34	 T:24.10
0.56	 C0:6	 C1:49	 C2:34	 T:24.10
0.61	 D0:19	 D1:347	 D2:345	 T:23.80

0.69	 A0:44	 A1:324	 A2:104	 T:23.80
0.67	 B0:57	 B1:103	 B2:34	 T:24.10
0.63	 C0:6	 C1:49	 C2:34	 T:24.10
0.69	 D0:20	 D1:347	 D2:323	 T:23.80

0.77	 A0:44	 A1:324	 A2:104	 T:23.80
0.75	 B0:58	 B1:103	 B2:34	 T:24.10
0.70	 C0:6	 C1:48	 C2:34	 T:24.10
0.77	 D0:19	 D1:347	 D2:361	 T:23.80

0.85	 A0:44	 A1:324	 A2:104	 T:23.80
0.83	 B0:58	 B1:103	 B2:34	 T:24.10
0.78	 C0:5	 C1:49	 C2:34	 T:24.10
0.85	 D0:19	 D1:347	 D2:344	 T:23.80

0.93	 A0:44	 A1:324	 A2:104	 T:23.80
0.90	 B0:58	 B1:103	 B2:34	 T:24.10
0.85	 C0:6	 C1:49	 C2:34	 T:24.10
0.93	 D0:19	 D1:347	 D2:340	 T:23.80

1.01	 A0:45	 A1:324	 A2:104	 T:23.80
0.98	 B0:57	 B1:103	 B2:34	 T:24.10
0.92	 C0:6	 C1:49	 C2:34	 T:24.10
1.01	 D0:19	 D1:347	 D2:332	 T:23.80

1.09	 A0:44	 A1:324	 A2:104	 T:23.80
1.06	 B0:58	 B1:103	 B2:34	 T:24.10
1.00	 C0:6	 C1:49	 C2:34	 T:24.10
