,time_A,A0,A1,A2,time_B,B0,B1,B2,time_C,C0,C1,C2,time_C,C0,C1,C2
74,2.17,44,356,102,2.25,160,323,115,2.17,58,141,360,2.17,58,141,360
75,2.20,44,356,102,2.28,160,324,114,2.20,58,140,360,2.20,58,140,360
76,2.23,44,356,102,2.31,160,324,114,2.23,59,141,360,2.23,59,141,360
77,2.26,44,356,102,2.34,160,323,115,2.26,58,140,360,2.26,58,140,360
78,2.29,44,356,102,2.38,160,323,114,2.29,58,140,360,2.29,58,140,360
79,2.32,44,356,102,2.41,160,323,114,2.32,58,141,360,2.32,58,141,360
80,2.36,44,356,102,2.44,160,323,114,2.36,58,141,360,2.36,58,141,360
81,2.38,44,357,102,2.47,160,323,115,2.38,58,141,360,2.38,58,141,360
82,2.42,44,356,102,2.50,160,323,114,2.42,58,140,360,2.42,58,140,360
83,2.45,44,356,102,2.53,160,323,114,2.45,58,140,360,2.45,58,140,360
84,2.48,44,356,102,2.56,160,323,114,2.48,58,140,360,2.48,58,140,360
85,2.51,44,356,102,2.59,160,323,115,2.51,58,140,360,2.51,58,140,360
86,2.54,44,357,102,2.63,160,323,114,2.54,58,140,360,2.54,58,140,360
87,2.57,44,356,102,2.66,160,323,114,2.57,58,140,360,2.57,58,140,360
88,2.60,44,357,102,2.69,160,323,114,2.60,58,141,360,2.60,58,141,360
89,2.63,44,357,102,2.72,160,323,114,2.63,58,140,360,2.63,58,140,360
90,2.66,44,356,102,2.75,160,323,114,2.66,58,140,360,2.66,58,140,360
91,2.69,44,356,102,2.78,160,323,114,2.69,58,141,360,2.69,58,141,360
92,2.72,44,357,102,2.81,160,323,114,2.72,58,140,360,2.72,58,140,360
93,2.75,44,357,102,2.84,160,324,114,2.75,58,140,360,2.75,58,140,360
94,2.78,44,356,102,2.87,160,323,114,2.78,58,140,360,2.78,58,140,360
95,2.81,44,356,102,2.91,160,324,115,2.81,58,140,360,2.81,58,140,360
96,2.84,44,356,102,2.94,160,324,114,2.84,58,141,360,2.84,58,141,360
97,2.87,44,356,102,2.97,160,324,114,2.87,58,140,360,2.87,58,140,360
98,2.90,44,356,102,3.00,160,324,114,2.90,58,140,360,2.90,58,140,360
99,2.93,44,356,102,3.03,160,323,115,2.93,58,141,360,2.93,58,141,360
100,2.96,44,356,102,3.06,160,324,114,2.96,58,141,360,2.96,58,141,360
101,2.99,44,357,102,3.09,160,323,114,2.99,58,140,360,2.99,58,140,360
102,3.02,44,357,102,3.12,160,323,115,3.02,58,140,360,3.02,58,140,360
103,3.05,44,356,102,3.16,160,324,114,3.05,58,141,360,3.05,58,141,360
104,3.08,44,357,102,3.19,160,323,114,3.08,58,140,360,3.08,58,140,360
105,3.11,44,357,102,3.22,160,324,114,3.11,58,141,360,3.11,58,141,360
106,3.14,44,357,102,3.25,160,324,114,3.14,58,140,360,3.14,58,140,360
107,3.17,44,357,102,3.28,160,323,114,3.17,58,140,360,3.17,58,140,360
108,3.20,44,357,102,3.31,160,323,114,3.20,58,140,360,3.20,58,140,360
109,3.23,44,356,102,3.34,160,323,115,3.23,58,140,360,3.23,58,140,360
110,3.26,44,357,102,3.37,160,324,114,3.26,58,141,360,3.26,58,141,360
111,3.29,44,357,102,3.40,160,324,114,3.29,58,140,360,3.29,58,140,360
112,3.32,44,357,102,3.44,160,324,114,3.32,58,141,360,3.32,58,141,360
113,3.35,44,357,102,3.47,160,323,114,3.35,58,140,360,3.35,58,140,360
114,3.38,44,357,102,3.50,160,324,115,3.38,58,141,360,3.38,58,141,360
115,3.41,44,357,102,3.53,160,323,114,3.41,58,140,360,3.41,58,140,360
116,3.44,44,357,102,3.56,160,323,114,3.44,58,141,360,3.44,58,141,360
117,3.47,44,357,102,3.59,160,323,114,3.47,59,140,360,3.47,59,140,360
118,3.50,44,357,102,3.62,160,324,114,3.50,58,140,360,3.50,58,140,360
119,3.53,44,357,102,3.65,160,323,115,3.53,58,140,360,3.53,58,140,360
120,3.56,44,357,102,3.69,160,324,114,3.56,58,140,360,3.56,58,140,360
121,3.59,44,357,102,3.72,160,324,114,3.59,58,141,360,3.59,58,141,360
122,3.62,44,357,102,3.75,160,323,114,3.62,58,140,360,3.62,58,140,360
123,3.65,44,357,102,3.78,160,324,114,3.65,58,141,360,3.65,58,141,360
124,3.68,44,357,102,3.81,160,324,114,3.68,58,141,360,3.68,58,141,360
125,3.71,44,357,102,3.84,160,323,114,3.71,58,140,360,3.71,58,140,360
126,3.74,44,357,102,3.87,160,324,114,3.74,58,141,360,3.74,58,141,360
127,3.77,44,357,102,3.90,160,323,114,3.77,58,140,360,3.77,58,140,360
128,3.80,44,357,101,3.94,160,323,114,3.80,58,140,360,3.80,58,140,360
129,3.83,44,357,102,3.97,160,323,114,3.83,58,141,360,3.83,58,141,360
130,3.86,44,357,101,4.00,160,323,114,3.86,58,140,360,3.86,58,140,360
131,3.89,44,357,101,4.03,160,324,114,3.89,58,140,360,3.89,58,140,360
132,3.92,44,357,102,4.06,160,323,114,3.92,58,140,360,3.92,58,140,360
133,3.95,44,357,102,4.09,160,324,114,3.95,58,140,360,3.95,58,140,360
134,3.98,44,357,102,4.12,160,324,114,3.98,58,140,360,3.98,58,140,360
135,4.01,44,357,102,4.15,160,323,114,4.01,58,140,360,4.01,58,140,360
136,4.04,44,357,102,4.19,160,323,114,4.04,58,141,360,4.04,58,141,360
137,4.07,44,357,101,4.22,160,323,114,4.07,58,141,360,4.07,58,141,360
138,4.10,44,357,102,4.25,160,324,115,4.10,58,140,360,4.10,58,140,360
139,4.13,44,357,102,4.28,160,323,114,4.13,58,140,360,4.13,58,140,360
140,4.16,44,357,102,4.31,160,323,114,4.16,58,140,360,4.16,58,140,360
141,4.19,44,357,102,4.34,160,324,114,4.19,58,140,360,4.19,58,140,360
142,4.23,44,357,101,4.37,160,323,114,4.23,58,141,360,4.23,58,141,360
143,4.25,44,357,102,4.40,160,324,114,4.25,58,140,360,4.25,58,140,360
144,4.28,44,357,101,4.43,160,323,114,4.28,58,140,360,4.28,58,140,360
145,4.32,44,357,101,4.47,160,323,114,4.32,58,140,360,4.32,58,140,360
146,4.34,44,357,102,4.50,160,323,115,4.34,58,140,360,4.34,58,140,360
147,4.38,44,357,102,4.53,160,324,114,4.38,58,140,360,4.38,58,140,360
148,4.41,44,357,102,4.56,160,324,114,4.41,59,140,360,4.41,59,140,360
149,4.44,44,357,102,4.59,160,323,114,4.44,58,140,360,4.44,58,140,360
150,4.47,44,357,102,4.62,160,323,114,4.47,58,140,360,4.47,58,140,360
151,4.50,44,357,101,4.65,160,323,114,4.50,58,140,360,4.50,58,140,360
