0.05	 A0:22	 A1:154	 A2:64	 T:23.40
0.12	 B0:74	 B1:120	 B2:69	 T:nan
0.13	 C0:13	 C1:59	 C2:16	 T:23.40
0.12	 D0:13	 D1:168	 D2:77	 T:nan

0.10	 A0:22	 A1:154	 A2:64	 T:23.40
0.19	 B0:74	 B1:120	 B2:69	 T:nan
0.20	 C0:13	 C1:59	 C2:16	 T:23.40
0.19	 D0:14	 D1:168	 D2:77	 T:nan

0.17	 A0:23	 A1:154	 A2:64	 T:23.40
0.27	 B0:74	 B1:120	 B2:69	 T:nan
0.28	 C0:14	 C1:59	 C2:16	 T:23.40
0.27	 D0:14	 D1:168	 D2:78	 T:nan

0.25	 A0:22	 A1:154	 A2:64	 T:23.40
0.34	 B0:74	 B1:120	 B2:69	 T:nan
0.35	 C0:13	 C1:59	 C2:16	 T:23.40
0.34	 D0:13	 D1:168	 D2:77	 T:nan

0.32	 A0:22	 A1:154	 A2:64	 T:23.40
0.41	 B0:74	 B1:120	 B2:69	 T:nan
0.43	 C0:13	 C1:59	 C2:16	 T:23.40
0.41	 D0:14	 D1:167	 D2:77	 T:nan

0.40	 A0:23	 A1:154	 A2:64	 T:23.40
0.49	 B0:74	 B1:120	 B2:69	 T:nan
0.50	 C0:13	 C1:59	 C2:15	 T:23.40
0.49	 D0:14	 D1:168	 D2:77	 T:nan

0.48	 A0:22	 A1:154	 A2:64	 T:23.40
0.56	 B0:74	 B1:120	 B2:69	 T:nan
0.58	 C0:13	 C1:59	 C2:16	 T:23.40
0.56	 D0:14	 D1:168	 D2:77	 T:nan

0.56	 A0:22	 A1:154	 A2:64	 T:23.40
0.63	 B0:74	 B1:120	 B2:69	 T:nan
0.65	 C0:13	 C1:59	 C2:16	 T:23.40
0.63	 D0:14	 D1:167	 D2:77	 T:nan

0.63	 A0:23	 A1:154	 A2:64	 T:23.40
0.70	 B0:74	 B1:120	 B2:69	 T:nan
0.73	 C0:13	 C1:59	 C2:16	 T:23.40
0.70	 D0:14	 D1:167	 D2:77	 T:nan

0.71	 A0:22	 A1:154	 A2:64	 T:23.40
0.78	 B0:74	 B1:120	 B2:69	 T:nan
0.80	 C0:13	 C1:59	 C2:16	 T:23.40
0.78	 D0:13	 D1:168	 D2:77	 T:nan

0.79	 A0:23	 A1:154	 A2:64	 T:23.40
0.85	 B0:74	 B1:120	 B2:69	 T:nan
0.88	 C0:13	 C1:59	 C2:16	 T:23.40
0.85	 D0:14	 D1:168	 D2:78	 T:nan

0.86	 A0:22	 A1:154	 A2:64	 T:23.40
0.92	 B0:74	 B1:120	 B2:69	 T:nan
0.95	 C0:13	 C1:59	 C2:16	 T:23.40
0.92	 D0:14	 D1:168	 D2:77	 T:nan

0.94	 A0:22	 A1:154	 A2:64	 T:23.40
1.00	 B0:74	 B1:120	 B2:69	 T:nan
1.03	 C0:13	 C1:59	 C2:16	 T:23.40
1.00	 D0:14	 D1:168	 D2:77	 T:nan

1.02	 A0:22	 A1:154	 A2:64	 T:23.40
1.07	 B0:74	 B1:120	 B2:69	 T:nan
1.10	 C0:13	 C1:59	 C2:16	 T:23.40
1.07	 D0:14	 D1:167	 D2:78	 T:nan

1.10	 A0:22	 A1:154	 A2:64	 T:23.40
1.14	 B0:74	 B1:120	 B2:69	 T:nan
1.18	 C0:13	 C1:59	 C2:16	 T:23.40
1.14	 D0:14	 D1:168	 D2:77	 T:nan

1.17	 A0:22	 A1:154	 A2:64	 T:23.40
1.21	 B0:74	 B1:120	 B2:69	 T:nan
1.25	 C0:13	 C1:59	 C2:16	 T:23.40
1.21	 D0:14	 D1:168	 D2:77	 T:nan

1.25	 A0:22	 A1:154	 A2:64	 T:23.40
1.29	 B0:74	 B1:120	 B2:70	 T:nan
1.33	 C0:13	 C1:59	 C2:16	 T:23.40
1.29	 D0:13	 D1:168	 D2:77	 T:nan

1.33	 A0:23	 A1:154	 A2:64	 T:23.40
1.36	 B0:74	 B1:120	 B2:70	 T:nan
1.40	 C0:13	 C1:59	 C2:16	 T:23.40
1.36	 D0:13	 D1:168	 D2:77	 T:nan

1.40	 A0:23	 A1:154	 A2:64	 T:23.40
1.43	 B0:74	 B1:120	 B2:70	 T:nan
1.48	 C0:13	 C1:59	 C2:16	 T:23.40
1.43	 D0:14	 D1:168	 D2:77	 T:nan

1.48	 A0:22	 A1:154	 A2:64	 T:23.40
1.51	 B0:74	 B1:120	 B2:69	 T:nan
1.55	 C0:13	 C1:59	 C2:16	 T:23.40
1.51	 D0:14	 D1:167	 D2:77	 T:nan

1.56	 A0:22	 A1:154	 A2:64	 T:23.40
1.58	 B0:74	 B1:120	 B2:70	 T:nan
1.63	 C0:13	 C1:59	 C2:16	 T:23.40
1.58	 D0:13	 D1:168	 D2:77	 T:nan

1.63	 A0:23	 A1:154	 A2:64	 T:23.40
1.65	 B0:74	 B1:120	 B2:69	 T:nan
1.70	 C0:13	 C1:59	 C2:16	 T:23.40
1.65	 D0:14	 D1:168	 D2:77	 T:nan

1.71	 A0:22	 A1:154	 A2:64	 T:23.40
1.72	 B0:74	 B1:120	 B2:69	 T:nan
1.77	 C0:14	 C1:59	 C2:16	 T:23.40
1.72	 D0:14	 D1:168	 D2:77	 T:nan

1.79	 A0:22	 A1:154	 A2:64	 T:23.40
1.80	 B0:74	 B1:120	 B2:69	 T:nan
1.85	 C0:13	 C1:59	 C2:16	 T:23.40
1.80	 D0:14	 D1:168	 D2:78	 T:nan

1.86	 A0:22	 A1:154	 A2:64	 T:23.40
1.87	 B0:74	 B1:120	 B2:69	 T:nan
1.92	 C0:13	 C1:59	 C2:16	 T:23.40
1.87	 D0:14	 D1:168	 D2:77	 T:nan

1.94	 A0:22	 A1:154	 A2:64	 T:23.40
1.94	 B0:74	 B1:120	 B2:69	 T:nan
2.00	 C0:13	 C1:59	 C2:16	 T:23.40
1.94	 D0:14	 D1:168	 D2:77	 T:nan

2.03	 A0:22	 A1:154	 A2:64	 T:23.40
2.02	 B0:74	 B1:120	 B2:70	 T:nan
2.07	 C0:13	 C1:59	 C2:16	 T:23.40
2.02	 D0:14	 D1:168	 D2:77	 T:nan

2.10	 A0:22	 A1:154	 A2:64	 T:23.40
2.09	 B0:74	 B1:120	 B2:70	 T:nan
2.15	 C0:13	 C1:59	 C2:16	 T:23.40
2.09	 D0:14	 D1:168	 D2:77	 T:nan

2.17	 A0:22	 A1:154	 A2:64	 T:23.40
2.16	 B0:74	 B1:120	 B2:70	 T:nan
2.23	 C0:13	 C1:59	 C2:16	 T:23.40
2.16	 D0:14	 D1:167	 D2:77	 T:nan

2.25	 A0:22	 A1:154	 A2:64	 T:23.40
2.23	 B0:74	 B1:120	 B2:69	 T:nan
2.30	 C0:13	 C1:59	 C2:16	 T:23.40
2.23	 D0:14	 D1:167	 D2:77	 T:nan

2.33	 A0:22	 A1:154	 A2:64	 T:23.40
2.31	 B0:74	 B1:120	 B2:70	 T:nan
2.37	 C0:13	 C1:59	 C2:16	 T:23.40
2.31	 D0:14	 D1:168	 D2:77	 T:nan

2.40	 A0:23	 A1:154	 A2:64	 T:23.40
2.38	 B0:74	 B1:120	 B2:70	 T:nan
2.45	 C0:13	 C1:59	 C2:16	 T:23.40
2.38	 D0:14	 D1:167	 D2:77	 T:nan

2.48	 A0:22	 A1:154	 A2:64	 T:23.40
2.45	 B0:74	 B1:120	 B2:70	 T:nan
2.52	 C0:13	 C1:59	 C2:16	 T:23.40
2.45	 D0:14	 D1:167	 D2:77	 T:nan

2.56	 A0:22	 A1:154	 A2:64	 T:23.40
2.53	 B0:74	 B1:120	 B2:69	 T:nan
2.60	 C0:13	 C1:59	 C2:16	 T:23.40
2.53	 D0:13	 D1:167	 D2:77	 T:nan

2.63	 A0:22	 A1:154	 A2:64	 T:23.40
2.60	 B0:74	 B1:120	 B2:69	 T:nan
2.67	 C0:13	 C1:59	 C2:16	 T:23.40
