0.10	 A0:24	 A1:146	 A2:61	 T:23.00
0.04	 B0:70	 B1:113	 B2:79	 T:nan
0.20	 C0:12	 C1:55	 C2:15	 T:23.00
0.19	 D0:13	 D1:161	 D2:73	 T:nan

0.17	 A0:23	 A1:146	 A2:61	 T:23.00
0.09	 B0:70	 B1:113	 B2:74	 T:nan
0.28	 C0:12	 C1:55	 C2:14	 T:23.00
0.27	 D0:13	 D1:161	 D2:73	 T:nan

0.25	 A0:23	 A1:146	 A2:61	 T:23.00
0.16	 B0:70	 B1:113	 B2:82	 T:nan
0.35	 C0:12	 C1:55	 C2:14	 T:23.00
0.34	 D0:12	 D1:161	 D2:73	 T:nan

0.32	 A0:24	 A1:146	 A2:61	 T:23.00
0.23	 B0:70	 B1:113	 B2:78	 T:nan
0.43	 C0:12	 C1:55	 C2:14	 T:23.00
0.41	 D0:13	 D1:161	 D2:73	 T:nan

0.40	 A0:24	 A1:146	 A2:61	 T:23.00
0.30	 B0:70	 B1:113	 B2:71	 T:nan
0.50	 C0:12	 C1:55	 C2:14	 T:23.00
0.49	 D0:12	 D1:161	 D2:73	 T:nan

0.48	 A0:23	 A1:146	 A2:61	 T:23.00
0.38	 B0:70	 B1:113	 B2:83	 T:nan
0.58	 C0:12	 C1:55	 C2:14	 T:23.00
0.56	 D0:13	 D1:161	 D2:73	 T:nan

0.56	 A0:23	 A1:146	 A2:61	 T:23.00
0.45	 B0:70	 B1:113	 B2:80	 T:nan
0.65	 C0:12	 C1:55	 C2:14	 T:23.00
0.63	 D0:12	 D1:161	 D2:73	 T:nan

0.63	 A0:24	 A1:146	 A2:61	 T:23.00
0.52	 B0:70	 B1:113	 B2:72	 T:nan
0.73	 C0:12	 C1:55	 C2:14	 T:23.00
0.70	 D0:12	 D1:161	 D2:73	 T:nan

0.71	 A0:23	 A1:146	 A2:61	 T:23.00
0.60	 B0:70	 B1:113	 B2:80	 T:nan
0.80	 C0:12	 C1:55	 C2:13	 T:23.00
0.78	 D0:13	 D1:161	 D2:73	 T:nan

0.79	 A0:23	 A1:146	 A2:61	 T:23.00
0.67	 B0:70	 B1:113	 B2:77	 T:nan
0.88	 C0:12	 C1:55	 C2:14	 T:23.00
0.85	 D0:12	 D1:161	 D2:73	 T:nan

0.86	 A0:23	 A1:146	 A2:61	 T:23.00
0.74	 B0:70	 B1:113	 B2:79	 T:nan
0.95	 C0:12	 C1:55	 C2:14	 T:23.00
0.92	 D0:12	 D1:161	 D2:73	 T:nan

0.94	 A0:23	 A1:146	 A2:61	 T:23.00
0.81	 B0:70	 B1:113	 B2:78	 T:nan
1.03	 C0:12	 C1:55	 C2:14	 T:23.00
1.00	 D0:12	 D1:160	 D2:73	 T:nan

1.02	 A0:24	 A1:146	 A2:61	 T:23.00
0.89	 B0:70	 B1:113	 B2:74	 T:nan
1.10	 C0:12	 C1:55	 C2:14	 T:23.00
1.07	 D0:12	 D1:161	 D2:73	 T:nan

1.10	 A0:23	 A1:146	 A2:61	 T:23.00
0.96	 B0:70	 B1:113	 B2:83	 T:nan
1.18	 C0:12	 C1:55	 C2:14	 T:23.00
1.14	 D0:13	 D1:161	 D2:73	 T:nan

1.17	 A0:23	 A1:146	 A2:62	 T:23.00
1.03	 B0:70	 B1:113	 B2:79	 T:nan
1.25	 C0:12	 C1:55	 C2:14	 T:23.00
1.21	 D0:12	 D1:161	 D2:73	 T:nan

1.25	 A0:24	 A1:146	 A2:61	 T:23.00
1.11	 B0:70	 B1:113	 B2:71	 T:nan
1.33	 C0:12	 C1:55	 C2:14	 T:23.00
1.29	 D0:12	 D1:161	 D2:73	 T:nan

1.33	 A0:24	 A1:146	 A2:61	 T:23.00
1.18	 B0:70	 B1:113	 B2:82	 T:nan
1.40	 C0:12	 C1:55	 C2:15	 T:23.00
1.36	 D0:12	 D1:161	 D2:73	 T:nan

1.40	 A0:24	 A1:146	 A2:61	 T:23.00
1.25	 B0:70	 B1:113	 B2:79	 T:nan
1.48	 C0:12	 C1:55	 C2:14	 T:23.00
1.43	 D0:12	 D1:161	 D2:73	 T:nan

1.48	 A0:23	 A1:146	 A2:61	 T:23.00
1.32	 B0:70	 B1:113	 B2:72	 T:nan
1.55	 C0:12	 C1:55	 C2:14	 T:23.00
1.51	 D0:12	 D1:161	 D2:73	 T:nan

1.56	 A0:23	 A1:146	 A2:62	 T:23.00
1.40	 B0:70	 B1:113	 B2:80	 T:nan
1.63	 C0:12	 C1:55	 C2:14	 T:23.00
1.58	 D0:12	 D1:161	 D2:73	 T:nan

1.63	 A0:23	 A1:146	 A2:61	 T:23.00
1.47	 B0:70	 B1:113	 B2:76	 T:nan
1.70	 C0:12	 C1:55	 C2:14	 T:23.00
1.65	 D0:12	 D1:161	 D2:73	 T:nan

1.71	 A0:24	 A1:146	 A2:61	 T:23.00
1.54	 B0:70	 B1:113	 B2:81	 T:nan
1.77	 C0:12	 C1:55	 C2:14	 T:23.00
1.72	 D0:12	 D1:161	 D2:73	 T:nan

1.79	 A0:23	 A1:146	 A2:61	 T:23.00
1.61	 B0:71	 B1:113	 B2:79	 T:nan
1.85	 C0:12	 C1:55	 C2:14	 T:23.00
1.80	 D0:12	 D1:161	 D2:73	 T:nan

