0.05	 A0:28	 A1:178	 A2:68	 T:22.60
0.04	 B0:77	 B1:122	 B2:87	 T:nan
0.20	 C0:14	 C1:81	 C2:14	 T:22.60
0.04	 D0:13	 D1:201	 D2:75	 T:nan

0.10	 A0:28	 A1:178	 A2:68	 T:22.60
0.09	 B0:77	 B1:122	 B2:82	 T:nan
0.28	 C0:13	 C1:81	 C2:14	 T:22.60
0.09	 D0:13	 D1:200	 D2:75	 T:nan

0.17	 A0:28	 A1:178	 A2:68	 T:22.60
0.16	 B0:77	 B1:122	 B2:80	 T:nan
0.35	 C0:13	 C1:81	 C2:14	 T:22.60
0.16	 D0:13	 D1:200	 D2:74	 T:nan

0.25	 A0:28	 A1:178	 A2:68	 T:22.60
0.23	 B0:77	 B1:122	 B2:83	 T:nan
0.43	 C0:13	 C1:81	 C2:14	 T:22.60
0.23	 D0:13	 D1:201	 D2:75	 T:nan

0.32	 A0:28	 A1:178	 A2:68	 T:22.60
0.30	 B0:77	 B1:122	 B2:78	 T:nan
0.50	 C0:14	 C1:81	 C2:14	 T:22.60
0.30	 D0:13	 D1:200	 D2:75	 T:nan

0.40	 A0:28	 A1:178	 A2:68	 T:22.60
0.38	 B0:77	 B1:122	 B2:85	 T:nan
0.58	 C0:14	 C1:81	 C2:14	 T:22.60
0.38	 D0:13	 D1:200	 D2:74	 T:nan

0.48	 A0:28	 A1:178	 A2:68	 T:22.60
0.45	 B0:76	 B1:122	 B2:81	 T:nan
0.65	 C0:13	 C1:81	 C2:14	 T:22.60
0.45	 D0:13	 D1:201	 D2:75	 T:nan

0.56	 A0:28	 A1:178	 A2:68	 T:22.60
0.52	 B0:77	 B1:122	 B2:72	 T:nan
0.73	 C0:13	 C1:81	 C2:14	 T:22.60
0.52	 D0:13	 D1:200	 D2:75	 T:nan

0.63	 A0:28	 A1:178	 A2:68	 T:22.60
0.60	 B0:77	 B1:122	 B2:89	 T:nan
0.80	 C0:14	 C1:81	 C2:14	 T:22.60
0.60	 D0:13	 D1:200	 D2:75	 T:nan

0.71	 A0:28	 A1:178	 A2:68	 T:22.60
0.67	 B0:77	 B1:122	 B2:83	 T:nan
0.88	 C0:13	 C1:81	 C2:14	 T:22.60
0.67	 D0:14	 D1:200	 D2:74	 T:nan

0.79	 A0:28	 A1:178	 A2:68	 T:22.60
0.74	 B0:77	 B1:122	 B2:72	 T:nan
0.95	 C0:14	 C1:82	 C2:14	 T:22.60
0.74	 D0:13	 D1:200	 D2:75	 T:nan

0.86	 A0:28	 A1:178	 A2:68	 T:22.60
0.81	 B0:77	 B1:122	 B2:88	 T:nan
1.03	 C0:13	 C1:81	 C2:14	 T:22.60
0.81	 D0:13	 D1:201	 D2:74	 T:nan

0.94	 A0:28	 A1:178	 A2:68	 T:22.60
0.89	 B0:77	 B1:122	 B2:83	 T:nan
1.10	 C0:14	 C1:81	 C2:14	 T:22.60
0.89	 D0:13	 D1:200	 D2:75	 T:nan

1.02	 A0:28	 A1:178	 A2:68	 T:22.60
0.96	 B0:77	 B1:122	 B2:73	 T:nan
1.18	 C0:14	 C1:81	 C2:14	 T:22.60
0.96	 D0:13	 D1:200	 D2:74	 T:nan

1.10	 A0:28	 A1:178	 A2:68	 T:22.60
1.03	 B0:77	 B1:122	 B2:82	 T:nan
1.25	 C0:14	 C1:81	 C2:14	 T:22.60
1.03	 D0:13	 D1:200	 D2:74	 T:nan

1.17	 A0:28	 A1:178	 A2:68	 T:22.60
1.11	 B0:77	 B1:122	 B2:79	 T:nan
1.33	 C0:14	 C1:81	 C2:14	 T:22.60
1.11	 D0:13	 D1:200	 D2:75	 T:nan

1.25	 A0:28	 A1:178	 A2:68	 T:22.60
1.18	 B0:77	 B1:122	 B2:84	 T:nan
