2.06	 D0:15	 D1:191	 D2:79	 T:23.00

1.72	 A0:27	 A1:178	 A2:68	 T:nan
2.02	 B0:86	 B1:128	 B2:92	 T:nan
2.05	 C0:17	 C1:74	 C2:19	 T:23.00
2.13	 D0:15	 D1:191	 D2:79	 T:23.00

1.80	 A0:28	 A1:178	 A2:67	 T:nan
2.09	 B0:86	 B1:128	 B2:94	 T:nan
2.11	 C0:17	 C1:74	 C2:19	 T:23.00
2.21	 D0:15	 D1:191	 D2:79	 T:23.00

1.87	 A0:27	 A1:179	 A2:67	 T:nan
2.16	 B0:86	 B1:128	 B2:93	 T:nan
2.19	 C0:17	 C1:74	 C2:19	 T:23.00
2.29	 D0:15	 D1:191	 D2:79	 T:23.00

1.94	 A0:27	 A1:178	 A2:67	 T:nan
2.23	 B0:86	 B1:128	 B2:94	 T:nan
2.26	 C0:17	 C1:74	 C2:19	 T:23.00
2.36	 D0:15	 D1:191	 D2:79	 T:23.00

2.02	 A0:27	 A1:178	 A2:67	 T:nan
2.31	 B0:86	 B1:128	 B2:94	 T:nan
2.34	 C0:17	 C1:74	 C2:19	 T:23.00
2.44	 D0:15	 D1:191	 D2:79	 T:23.00

2.09	 A0:27	 A1:178	 A2:68	 T:nan
2.38	 B0:85	 B1:128	 B2:93	 T:nan
2.41	 C0:17	 C1:74	 C2:19	 T:23.00
2.52	 D0:15	 D1:191	 D2:79	 T:23.00

2.16	 A0:27	 A1:178	 A2:67	 T:nan
2.45	 B0:86	 B1:128	 B2:95	 T:nan
2.49	 C0:17	 C1:74	 C2:19	 T:23.00
2.59	 D0:15	 D1:191	 D2:79	 T:23.00

2.23	 A0:27	 A1:178	 A2:68	 T:nan
2.53	 B0:86	 B1:128	 B2:94	 T:nan
2.56	 C0:17	 C1:74	 C2:19	 T:23.00
2.67	 D0:15	 D1:191	 D2:79	 T:23.00

2.31	 A0:27	 A1:178	 A2:68	 T:nan
2.60	 B0:86	 B1:128	 B2:95	 T:nan
2.64	 C0:17	 C1:74	 C2:19	 T:23.00
2.75	 D0:15	 D1:191	 D2:79	 T:23.00

2.38	 A0:27	 A1:178	 A2:67	 T:nan
2.67	 B0:86	 B1:128	 B2:95	 T:nan
2.71	 C0:17	 C1:74	 C2:19	 T:23.00
2.83	 D0:15	 D1:191	 D2:79	 T:23.00

2.45	 A0:28	 A1:178	 A2:67	 T:nan
2.74	 B0:86	 B1:128	 B2:93	 T:nan
2.79	 C0:17	 C1:74	 C2:19	 T:23.00
2.90	 D0:15	 D1:191	 D2:79	 T:23.00

2.53	 A0:27	 A1:178	 A2:67	 T:nan
2.82	 B0:86	 B1:128	 B2:95	 T:nan
2.86	 C0:17	 C1:74	 C2:19	 T:23.00
2.98	 D0:15	 D1:191	 D2:79	 T:23.00

2.60	 A0:27	 A1:179	 A2:67	 T:nan
2.89	 B0:86	 B1:128	 B2:94	 T:nan
2.94	 C0:17	 C1:74	 C2:19	 T:23.00
3.06	 D0:15	 D1:191	 D2:79	 T:23.00

2.67	 A0:27	 A1:178	 A2:67	 T:nan
2.96	 B0:86	 B1:128	 B2:94	 T:nan
3.01	 C0:17	 C1:74	 C2:19	 T:23.00
3.13	 D0:15	 D1:191	 D2:79	 T:23.00

2.74	 A0:27	 A1:178	 A2:68	 T:nan
3.03	 B0:86	 B1:128	 B2:94	 T:nan
3.09	 C0:17	 C1:74	 C2:19	 T:23.00
3.21	 D0:15	 D1:191	 D2:79	 T:23.00

2.82	 A0:27	 A1:178	 A2:68	 T:nan
3.11	 B0:86	 B1:128	 B2:93	 T:nan
3.16	 C0:17	 C1:74	 C2:19	 T:23.00
3.29	 D0:15	 D1:191	 D2:79	 T:23.00

2.89	 A0:27	 A1:178	 A2:67	 T:nan
3.18	 B0:86	 B1:128	 B2:96	 T:nan
3.24	 C0:17	 C1:74	 C2:19	 T:23.00
3.36	 D0:15	 D1:191	 D2:79	 T:23.00

2.96	 A0:27	 A1:179	 A2:67	 T:nan
3.25	 B0:86	 B1:128	 B2:93	 T:nan
3.31	 C0:17	 C1:74	 C2:19	 T:23.00
3.44	 D0:15	 D1:191	 D2:79	 T:23.00

3.03	 A0:27	 A1:178	 A2:67	 T:nan
3.33	 B0:85	 B1:128	 B2:93	 T:nan
3.39	 C0:17	 C1:74	 C2:19	 T:23.00
3.52	 D0:15	 D1:191	 D2:79	 T:23.00

3.11	 A0:27	 A1:178	 A2:67	 T:nan
3.40	 B0:85	 B1:128	 B2:97	 T:nan
3.46	 C0:17	 C1:74	 C2:19	 T:23.00
3.60	 D0:15	 D1:191	 D2:79	 T:23.00

3.18	 A0:27	 A1:179	 A2:67	 T:nan
3.47	 B0:85	 B1:128	 B2:95	 T:nan
3.53	 C0:17	 C1:74	 C2:19	 T:23.00
3.67	 D0:15	 D1:191	 D2:79	 T:23.00

3.25	 A0:28	 A1:178	 A2:68	 T:nan
3.54	 B0:86	 B1:128	 B2:94	 T:nan
3.61	 C0:17	 C1:74	 C2:19	 T:23.00
3.75	 D0:15	 D1:191	 D2:79	 T:23.00

3.33	 A0:27	 A1:179	 A2:68	 T:nan
3.62	 B0:86	 B1:128	 B2:94	 T:nan
3.69	 C0:17	 C1:74	 C2:19	 T:23.00
3.83	 D0:15	 D1:191	 D2:79	 T:23.00

3.40	 A0:27	 A1:178	 A2:68	 T:nan
3.69	 B0:86	 B1:128	 B2:93	 T:nan
3.76	 C0:17	 C1:74	 C2:19	 T:23.00
3.90	 D0:15	 D1:192	 D2:79	 T:23.00

3.47	 A0:28	 A1:178	 A2:67	 T:nan
3.76	 B0:86	 B1:128	 B2:97	 T:nan
3.83	 C0:17	 C1:74	 C2:19	 T:23.00
3.98	 D0:15	 D1:191	 D2:79	 T:23.00

3.54	 A0:27	 A1:179	 A2:67	 T:nan
3.83	 B0:86	 B1:128	 B2:96	 T:nan
3.91	 C0:17	 C1:74	 C2:19	 T:23.00
4.06	 D0:15	 D1:191	 D2:79	 T:23.00

3.62	 A0:27	 A1:178	 A2:67	 T:nan
3.91	 B0:86	 B1:128	 B2:93	 T:nan
3.98	 C0:17	 C1:74	 C2:19	 T:23.00
4.13	 D0:15	 D1:191	 D2:80	 T:23.00

3.69	 A0:27	 A1:178	 A2:67	 T:nan
3.98	 B0:86	 B1:128	 B2:96	 T:nan
4.07	 C0:17	 C1:74	 C2:19	 T:23.00
4.21	 D0:15	 D1:191	 D2:79	 T:23.00

3.76	 A0:27	 A1:178	 A2:67	 T:nan
4.07	 B0:85	 B1:128	 B2:95	 T:nan
4.13	 C0:17	 C1:74	 C2:19	 T:23.00
4.29	 D0:15	 D1:191	 D2:79	 T:23.00

3.83	 A0:28	 A1:179	 A2:68	 T:nan
4.13	 B0:86	 B1:128	 B2:95	 T:nan
4.21	 C0:17	 C1:74	 C2:19	 T:23.00
4.36	 D0:15	 D1:191	 D2:79	 T:23.00

3.91	 A0:27	 A1:178	 A2:67	 T:nan
4.20	 B0:86	 B1:128	 B2:94	 T:nan
4.28	 C0:17	 C1:74	 C2:19	 T:23.00
4.44	 D0:15	 D1:191	 D2:79	 T:23.00

3.98	 A0:27	 A1:178	 A2:68	 T:nan
4.27	 B0:85	 B1:128	 B2:96	 T:nan
4.36	 C0:17	 C1:74	 C2:19	 T:23.00
4.52	 D0:15	 D1:191	 D2:79	 T:23.00

4.07	 A0:27	 A1:178	 A2:68	 T:nan
4.34	 B0:86	 B1:128	 B2:95	 T:nan
4.43	 C0:17	 C1:74	 C2:19	 T:23.00
4.59	 D0:15	 D1:191	 D2:79	 T:23.00

4.13	 A0:27	 A1:178	 A2:67	 T:nan
4.42	 B0:85	 B1:128	 B2:94	 T:nan
4.51	 C0:17	 C1:74	 C2:19	 T:23.00
4.67	 D0:15	 D1:191	 D2:79	 T:23.00

4.20	 A0:27	 A1:178	 A2:67	 T:nan
4.49	 B0:85	 B1:128	 B2:94	 T:nan
4.58	 C0:17	 C1:74	 C2:19	 T:23.00
4.75	 D0:15	 D1:191	 D2:79	 T:23.00

4.27	 A0:27	 A1:178	 A2:67	 T:nan
4.56	 B0:85	 B1:128	 B2:95	 T:nan
4.66	 C0:17	 C1:74	 C2:19	 T:23.00
4.83	 D0:15	 D1:191	 D2:79	 T:23.00

4.34	 A0:27	 A1:178	 A2:68	 T:nan
4.64	 B0:85	 B1:128	 B2:95	 T:nan
4.73	 C0:17	 C1:74	 C2:19	 T:23.00
4.90	 D0:15	 D1:191	 D2:79	 T:23.00

4.42	 A0:27	 A1:178	 A2:68	 T:nan
4.71	 B0:85	 B1:128	 B2:95	 T:nan
4.81	 C0:17	 C1:74	 C2:18	 T:23.00
4.98	 D0:15	 D1:191	 D2:79	 T:23.00

4.49	 A0:27	 A1:178	 A2:67	 T:nan
4.78	 B0:86	 B1:128	 B2:94	 T:nan
4.88	 C0:17	 C1:74	 C2:19	 T:23.00
5.06	 D0:15	 D1:191	 D2:79	 T:23.00

4.56	 A0:27	 A1:178	 A2:67	 T:nan
4.85	 B0:85	 B1:128	 B2:97	 T:nan
4.96	 C0:17	 C1:74	 C2:19	 T:23.00
5.13	 D0:15	 D1:191	 D2:79	 T:23.00

4.64	 A0:27	 A1:178	 A2:68	 T:nan
4.93	 B0:85	 B1:128	 B2:96	 T:nan
5.03	 C0:17	 C1:74	 C2:19	 T:23.00
5.21	 D0:15	 D1:191	 D2:79	 T:23.00

4.71	 A0:27	 A1:178	 A2:68	 T:nan
5.00	 B0:85	 B1:128	 B2:94	 T:nan
5.11	 C0:17	 C1:74	 C2:19	 T:23.00
5.29	 D0:15	 D1:191	 D2:79	 T:23.00

4.78	 A0:27	 A1:178	 A2:67	 T:nan
5.07	 B0:85	 B1:128	 B2:96	 T:nan
5.18	 C0:17	 C1:74	 C2:19	 T:23.00
5.36	 D0:15	 D1:191	 D2:79	 T:23.00

4.85	 A0:27	 A1:178	 A2:67	 T:nan
5.15	 B0:85	 B1:128	 B2:95	 T:nan
5.26	 C0:17	 C1:74	 C2:19	 T:23.00
5.44	 D0:15	 D1:191	 D2:79	 T:23.00

4.93	 A0:27	 A1:178	 A2:67	 T:nan
5.22	 B0:85	 B1:128	 B2:97	 T:nan
5.33	 C0:17	 C1:74	 C2:19	 T:23.00
5.52	 D0:15	 D1:191	 D2:79	 T:23.00

5.00	 A0:27	 A1:178	 A2:67	 T:nan
5.29	 B0:85	 B1:128	 B2:95	 T:nan
5.41	 C0:17	 C1:74	 C2:19	 T:23.00
5.59	 D0:14	 D1:191	 D2:79	 T:23.00

