0.10	 A0:32	 A1:187	 A2:73	 T:23.80
0.04	 B0:91	 B1:133	 B2:100	 T:nan
0.28	 C0:20	 C1:81	 C2:21	 T:23.80
0.05	 D0:17	 D1:200	 D2:84	 T:23.40

0.17	 A0:32	 A1:187	 A2:73	 T:23.80
0.09	 B0:91	 B1:133	 B2:98	 T:nan
0.35	 C0:20	 C1:81	 C2:21	 T:23.80
0.10	 D0:17	 D1:200	 D2:84	 T:23.40

0.25	 A0:31	 A1:188	 A2:73	 T:23.80
0.16	 B0:91	 B1:133	 B2:100	 T:nan
0.43	 C0:20	 C1:81	 C2:21	 T:23.80
0.17	 D0:17	 D1:200	 D2:84	 T:23.40

0.32	 A0:32	 A1:187	 A2:73	 T:23.80
0.24	 B0:91	 B1:133	 B2:98	 T:nan
0.50	 C0:20	 C1:81	 C2:21	 T:23.80
0.25	 D0:17	 D1:200	 D2:84	 T:23.40

0.40	 A0:31	 A1:188	 A2:73	 T:23.80
0.31	 B0:91	 B1:133	 B2:100	 T:nan
0.58	 C0:20	 C1:81	 C2:21	 T:23.80
0.32	 D0:17	 D1:199	 D2:84	 T:23.40

0.48	 A0:32	 A1:187	 A2:73	 T:23.80
0.38	 B0:91	 B1:133	 B2:100	 T:nan
0.65	 C0:20	 C1:81	 C2:21	 T:23.80
0.40	 D0:17	 D1:199	 D2:84	 T:23.40

0.56	 A0:31	 A1:187	 A2:73	 T:23.80
0.46	 B0:91	 B1:133	 B2:100	 T:nan
0.73	 C0:20	 C1:81	 C2:21	 T:23.80
0.48	 D0:17	 D1:200	 D2:84	 T:23.40

0.63	 A0:32	 A1:187	 A2:73	 T:23.80
0.53	 B0:91	 B1:133	 B2:100	 T:nan
0.80	 C0:20	 C1:81	 C2:21	 T:23.80
0.56	 D0:17	 D1:200	 D2:84	 T:23.40

0.71	 A0:31	 A1:187	 A2:73	 T:23.80
0.61	 B0:91	 B1:133	 B2:99	 T:nan
0.88	 C0:20	 C1:81	 C2:21	 T:23.80
0.63	 D0:17	 D1:199	 D2:84	 T:23.40

0.79	 A0:31	 A1:187	 A2:73	 T:23.80
0.68	 B0:91	 B1:133	 B2:99	 T:nan
0.95	 C0:20	 C1:81	 C2:21	 T:23.80
0.71	 D0:17	 D1:199	 D2:84	 T:23.40

0.86	 A0:31	 A1:187	 A2:73	 T:23.80
0.75	 B0:91	 B1:133	 B2:98	 T:nan
1.03	 C0:20	 C1:81	 C2:21	 T:23.80
0.79	 D0:17	 D1:199	 D2:84	 T:23.40

0.94	 A0:31	 A1:187	 A2:73	 T:23.80
0.83	 B0:91	 B1:133	 B2:101	 T:nan
1.10	 C0:20	 C1:81	 C2:21	 T:23.80
0.86	 D0:17	 D1:200	 D2:84	 T:23.40

1.02	 A0:32	 A1:187	 A2:73	 T:23.80
0.90	 B0:91	 B1:133	 B2:99	 T:nan
1.18	 C0:20	 C1:81	 C2:21	 T:23.80
0.94	 D0:17	 D1:199	 D2:84	 T:23.40

1.10	 A0:32	 A1:187	 A2:73	 T:23.80
0.97	 B0:91	 B1:133	 B2:101	 T:nan
1.25	 C0:20	 C1:81	 C2:21	 T:23.80
1.02	 D0:17	 D1:199	 D2:84	 T:23.40

1.17	 A0:31	 A1:187	 A2:73	 T:23.80
1.05	 B0:91	 B1:133	 B2:100	 T:nan
1.33	 C0:20	 C1:82	 C2:21	 T:23.80
1.10	 D0:16	 D1:199	 D2:84	 T:23.40

1.25	 A0:32	 A1:187	 A2:73	 T:23.80
1.12	 B0:91	 B1:133	 B2:99	 T:nan
1.40	 C0:20	 C1:81	 C2:21	 T:23.80
1.17	 D0:17	 D1:199	 D2:84	 T:23.40

1.33	 A0:31	 A1:187	 A2:73	 T:23.80
1.20	 B0:91	 B1:133	 B2:100	 T:nan
1.48	 C0:20	 C1:81	 C2:21	 T:23.80
1.25	 D0:17	 D1:200	 D2:84	 T:23.40

1.40	 A0:32	 A1:187	 A2:73	 T:23.80
1.27	 B0:91	 B1:133	 B2:98	 T:nan
1.55	 C0:20	 C1:81	 C2:21	 T:23.80
1.33	 D0:17	 D1:200	 D2:84	 T:23.40

1.48	 A0:31	 A1:187	 A2:73	 T:23.80
1.34	 B0:91	 B1:133	 B2:100	 T:nan
1.63	 C0:20	 C1:81	 C2:21	 T:23.80
1.40	 D0:17	 D1:199	 D2:84	 T:23.40

1.56	 A0:32	 A1:187	 A2:73	 T:23.80
1.42	 B0:91	 B1:133	 B2:99	 T:nan
1.70	 C0:20	 C1:81	 C2:21	 T:23.80
1.48	 D0:17	 D1:200	 D2:84	 T:23.40

1.63	 A0:32	 A1:187	 A2:73	 T:23.80
1.49	 B0:91	 B1:133	 B2:101	 T:nan
1.77	 C0:20	 C1:81	 C2:21	 T:23.80
1.56	 D0:17	 D1:199	 D2:84	 T:23.40

1.71	 A0:32	 A1:187	 A2:73	 T:23.80
1.57	 B0:90	 B1:133	 B2:99	 T:nan
1.85	 C0:20	 C1:81	 C2:21	 T:23.80
1.63	 D0:17	 D1:199	 D2:84	 T:23.40

1.79	 A0:31	 A1:187	 A2:73	 T:23.80
1.64	 B0:91	 B1:133	 B2:101	 T:nan
1.92	 C0:20	 C1:81	 C2:21	 T:23.80
1.71	 D0:17	 D1:199	 D2:84	 T:23.40

1.86	 A0:31	 A1:187	 A2:73	 T:23.80
1.71	 B0:91	 B1:133	 B2:100	 T:nan
2.00	 C0:20	 C1:81	 C2:21	 T:23.80
1.79	 D0:17	 D1:199	 D2:84	 T:23.40

1.94	 A0:32	 A1:187	 A2:73	 T:23.80
1.79	 B0:90	 B1:133	 B2:99	 T:nan
2.07	 C0:20	 C1:81	 C2:21	 T:23.80
1.86	 D0:17	 D1:199	 D2:84	 T:23.40

2.03	 A0:32	 A1:187	 A2:73	 T:23.80
1.86	 B0:91	 B1:133	 B2:100	 T:nan
2.15	 C0:20	 C1:81	 C2:21	 T:23.80
1.94	 D0:17	 D1:199	 D2:84	 T:23.40

2.10	 A0:32	 A1:187	 A2:73	 T:23.80
1.94	 B0:90	 B1:133	 B2:99	 T:nan
2.23	 C0:20	 C1:81	 C2:21	 T:23.80
